,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031600002,464375258,115718181852,-0.0058999998
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0254,372615534,92852475194,0.0177
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.012999999,190146234,47382749415,-0.0094
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,188047640,46859798466,0.0017
4,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,173870268,43326923526,-0.019299999
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0105,154161378,38415643526,0.0941
6,2026-01-31,"Invesco QQQ Trust, Series 1",0.007900001,116599363,29055523650,-0.0291
7,2025-12-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0058,84799565,21131296972,-0.0198
8,2025-11-30,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,0.0049,71614512,17845699098,0.082399994
9,2026-01-31,iShares Trust-iShares Russell 1000 Growth ETF,0.0034,49723657,12390692837,-0.0346
