contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL260408C00205000,2026-04-07 15:02:10+00:00,205.0,41.13,41.55,43.15,-8.369999,-16.909088,4.0,20,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00215000,2026-04-07 14:55:41+00:00,215.0,31.56,31.6,33.9,-7.4400005,-19.076925,4.0,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00220000,2026-04-07 14:41:30+00:00,220.0,27.7,26.5,28.95,-8.989998,-24.502584,3.0,6,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00222500,2026-04-07 15:23:23+00:00,222.5,24.75,23.95,26.5,-1.1200008,-4.329342,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00225000,2026-04-07 15:09:04+00:00,225.0,21.32,21.95,23.55,-10.550001,-33.103233,19.0,18,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00227500,2026-04-07 15:41:53+00:00,227.5,20.26,19.0,20.7,-0.7600002,-3.4894407,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00230000,2026-04-07 15:41:58+00:00,230.0,17.8,16.55,18.4,-10.550001,-37.21341,8.0,57,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00232500,2026-04-07 15:32:20+00:00,232.5,15.24,14.9,15.6,-1.2700005,-7.6923103,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00235000,2026-04-07 15:41:53+00:00,235.0,13.0,12.15,14.05,-11.200001,-46.550293,11.0,5,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00237500,2026-04-07 15:29:15+00:00,237.5,10.3,10.0,10.8,-10.900001,-51.415092,11.0,35,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00240000,2026-04-07 15:41:53+00:00,240.0,7.99,7.6,8.55,-7.7800007,-49.334183,122.0,27,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00242500,2026-04-07 15:43:09+00:00,242.5,6.1,5.95,6.2,-10.1,-62.34568,782.0,45,1.0000000000000003e-05,True,REGULAR,USD
AAPL260408C00245000,2026-04-07 15:44:00+00:00,245.0,4.19,4.1,4.25,-9.610001,-69.63768,2490.0,97,0.14258669921875,True,REGULAR,USD
AAPL260408C00247500,2026-04-07 15:45:44+00:00,247.5,2.57,2.57,2.6,-8.71,-77.0115,17407.0,143,0.22022264160156246,True,REGULAR,USD
AAPL260408C00250000,2026-04-07 15:45:59+00:00,250.0,1.37,1.36,1.37,-7.4800005,-84.519775,37942.0,192,0.2368240380859375,False,REGULAR,USD
AAPL260408C00252500,2026-04-07 15:46:03+00:00,252.5,0.64,0.63,0.64,-5.8900003,-90.337425,34698.0,354,0.2485426708984375,False,REGULAR,USD
AAPL260408C00255000,2026-04-07 15:45:33+00:00,255.0,0.3,0.29,0.3,-4.35,-93.548386,41327.0,1442,0.26709717285156254,False,REGULAR,USD
AAPL260408C00257500,2026-04-07 15:45:13+00:00,257.5,0.15,0.14,0.15,-2.77,-94.863014,19116.0,738,0.29004616210937495,False,REGULAR,USD
AAPL260408C00260000,2026-04-07 15:45:47+00:00,260.0,0.08,0.07,0.08,-1.5,-94.93671,9080.0,2858,0.31445998046874996,False,REGULAR,USD
AAPL260408C00262500,2026-04-07 15:44:49+00:00,262.5,0.05,0.03,0.05,-0.68,-93.15068,4270.0,3047,0.34570966796874997,False,REGULAR,USD
AAPL260408C00265000,2026-04-07 15:43:25+00:00,265.0,0.03,0.02,0.03,-0.24000001,-88.888885,2208.0,4102,0.3711000390625,False,REGULAR,USD
AAPL260408C00267500,2026-04-07 15:44:05+00:00,267.5,0.01,0.01,0.02,-0.080000006,-88.88889,901.0,1897,0.398443515625,False,REGULAR,USD
AAPL260408C00270000,2026-04-07 15:45:21+00:00,270.0,0.01,0.01,0.02,-0.02,-66.66667,263.0,1763,0.4414118359375,False,REGULAR,USD
AAPL260408C00272500,2026-04-07 15:31:49+00:00,272.5,0.01,0.0,0.01,-0.01,-50.0,167.0,792,0.45313046875,False,REGULAR,USD
AAPL260408C00275000,2026-04-07 15:12:41+00:00,275.0,0.01,0.0,0.01,0.0,0.0,1.0,159,0.49219257812500006,False,REGULAR,USD
AAPL260408C00277500,2026-04-07 15:13:05+00:00,277.5,0.01,0.0,0.04,0.0,0.0,1.0,60,0.570316796875,False,REGULAR,USD
AAPL260408C00280000,2026-04-06 17:12:25+00:00,280.0,0.01,,0.01,0.0,0.0,1.0,39,0.570316796875,False,REGULAR,USD
AAPL260408C00285000,2026-04-06 14:03:40+00:00,285.0,0.18,0.0,0.05,0.0,0.0,3.0,5,0.7148466015625,False,REGULAR,USD
AAPL260408C00290000,2026-04-02 17:52:02+00:00,290.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.6875031250000001,False,REGULAR,USD
AAPL260408C00300000,2026-04-06 15:52:05+00:00,300.0,0.01,0.0,0.05,0.0,0.0,2.0,3,0.9531254687499999,False,REGULAR,USD
AAPL260408C00305000,2026-04-06 19:33:28+00:00,305.0,0.08,,0.05,0.0,0.0,,2,1.1054732226562503,False,REGULAR,USD
AAPL260408C00310000,2026-04-07 14:53:27+00:00,310.0,0.07,,0.05,-0.020000003,-22.222223,5.0,273,1.18359783203125,False,REGULAR,USD
AAPL260408C00315000,2026-04-07 14:53:27+00:00,315.0,0.01,,0.01,-0.02,-66.66667,7.0,273,1.0625046875000002,False,REGULAR,USD
AAPL260408C00320000,2026-04-06 19:36:35+00:00,320.0,0.01,,0.01,0.0,0.0,,47,1.140629296875,False,REGULAR,USD
AAPL260408C00325000,2026-04-07 15:07:22+00:00,325.0,0.01,,0.01,0.0,0.0,8.0,48,1.203128984375,False,REGULAR,USD
