,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.151406,0.143047,0.151665,0.174,0.070438
Net Income From Continuing Operation Net Minority Interest,1238000000.0,1350000000.0,1237000000.0,574000000.0,935000000.0
Reconciled Depreciation,47000000.0,49000000.0,48000000.0,49000000.0,99000000.0
EBIT,1425000000.0,1540000000.0,1449000000.0,713000000.0,974000000.0
Net Interest Income,-38000000.0,-37000000.0,-38000000.0,-35000000.0,-37000000.0
Interest Expense,38000000.0,37000000.0,38000000.0,35000000.0,37000000.0
Interest Income,,10000000.0,,,
Normalized Income,1238000000.0,1350000000.0,1237000000.0,574000000.0,935000000.0
Net Income From Continuing And Discontinued Operation,1238000000.0,1350000000.0,1237000000.0,574000000.0,935000000.0
Total Expenses,3373000000.0,3474000000.0,3554000000.0,3914000000.0,3569000000.0
Diluted Average Shares,366600000.0,376100000.0,379900000.0,381900000.0,382800000.0
Basic Average Shares,359400000.0,369000000.0,372200000.0,372900000.0,373300000.0
Diluted EPS,3.35,3.56,3.23,1.48,2.42
Basic EPS,3.42,3.63,3.3,1.51,2.48
Diluted NI Availto Com Stockholders,1228000000.0,1340000000.0,1227000000.0,564000000.0,925000000.0
Net Income Common Stockholders,1228000000.0,1340000000.0,1227000000.0,564000000.0,925000000.0
Preferred Stock Dividends,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
Net Income,1238000000.0,1350000000.0,1237000000.0,574000000.0,935000000.0
Net Income Including Noncontrolling Interests,1238000000.0,1350000000.0,1237000000.0,574000000.0,935000000.0
Net Income Continuous Operations,1238000000.0,1350000000.0,1237000000.0,574000000.0,935000000.0
Earnings From Equity Interest Net Of Tax,61000000.0,62000000.0,40000000.0,17000000.0,64000000.0
Tax Provision,210000000.0,215000000.0,214000000.0,121000000.0,66000000.0
Pretax Income,1387000000.0,1503000000.0,1411000000.0,678000000.0,937000000.0
Other Income Expense,68000000.0,72000000.0,80000000.0,51000000.0,18000000.0
Net Non Operating Interest Income Expense,-38000000.0,-37000000.0,-38000000.0,-35000000.0,-37000000.0
Interest Expense Non Operating,38000000.0,37000000.0,38000000.0,35000000.0,37000000.0
Other Operating Expenses,384000000.0,536000000.0,503000000.0,532000000.0,462000000.0
Depreciation And Amortization In Income Statement,47000000.0,49000000.0,48000000.0,49000000.0,99000000.0
Amortization,47000000.0,49000000.0,48000000.0,49000000.0,99000000.0
Total Revenue,4760000000.0,4977000000.0,4965000000.0,4592000000.0,4506000000.0
Operating Revenue,4760000000.0,4977000000.0,4965000000.0,4592000000.0,4506000000.0
Loss Adjustment Expense,2280000000.0,2200000000.0,2303000000.0,2587000000.0,2384000000.0
Net Policyholder Benefits And Claims,2280000000.0,2200000000.0,2303000000.0,2587000000.0,2384000000.0
Policyholder Benefits Gross,3319000000.0,2980000000.0,3088000000.0,3848000000.0,3440000000.0
Policyholder Benefits Ceded,1039000000.0,780000000.0,785000000.0,1261000000.0,1056000000.0
