,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Artisan Partners Funds Inc.-Artisan International Value Fund,0.0481,17126653,1668307331,-0.014199999
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0304,10821893,1054160636,-0.0305
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0256,9106223,887037215,-0.0069999998
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.021,7498559,730434659,-0.0438
4,2025-12-31,BARON INVESTMENT Fd.S TRT -BARON GROWTH Fd.,0.02,7135000,695020376,-0.0722
5,2025-12-31,BARON SELECT FUNDS-Baron Partners Fund,0.0173,6175000,601506772,0.0
6,2025-12-31,INVESTMENT MANAGERS SERIES TRUST-WCM Focused International Growth Fund,0.0137,4880020,475362766,-0.0456
7,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.012999999,4646693,452634382,-0.0094
8,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128999995,4595422,447640073,0.0017
9,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0119,4253808,414363452,-0.0185
