contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ACN260410C00120000,2026-03-06 20:59:57+00:00,120.0,96.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN260410C00125000,2026-03-06 20:59:57+00:00,125.0,91.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
ACN260410C00150000,2026-03-27 13:53:12+00:00,150.0,42.35,47.1,49.5,0.0,0.0,2.0,2,1.23047259765625,True,REGULAR,USD
ACN260410C00160000,2026-03-26 18:36:51+00:00,160.0,36.36,37.1,39.5,0.0,0.0,,1,0.9765627343750001,True,REGULAR,USD
ACN260410C00180000,2026-03-31 14:54:11+00:00,180.0,17.2,16.7,19.5,0.0,0.0,1.0,1,0.877930908203125,True,REGULAR,USD
ACN260410C00185000,2026-04-01 16:50:42+00:00,185.0,13.1,12.3,14.3,0.0,0.0,,1,0.6621127539062501,True,REGULAR,USD
ACN260410C00190000,2026-04-02 18:28:48+00:00,190.0,10.4,7.5,10.0,0.0,0.0,3.0,8,0.5986368261718751,True,REGULAR,USD
ACN260410C00192500,2026-04-02 19:02:05+00:00,192.5,8.8,6.2,6.9,0.0,0.0,4.0,13,0.4062559375,True,REGULAR,USD
ACN260410C00195000,2026-04-07 14:09:04+00:00,195.0,4.6,4.3,5.1,-1.1399999,-19.860626,2.0,37,0.3979552392578125,True,REGULAR,USD
ACN260410C00197500,2026-04-07 15:20:22+00:00,197.5,3.2,2.95,3.6,-0.8599999,-21.182264,2.0,67,0.39331661376953125,True,REGULAR,USD
ACN260410C00200000,2026-04-07 14:27:12+00:00,200.0,2.51,1.8,2.45,-0.28999996,-10.3571415,10.0,174,0.39453730468750003,False,REGULAR,USD
ACN260410C00202500,2026-04-07 14:49:58+00:00,202.5,1.37,1.0,1.6,-0.34000003,-19.883043,9.0,149,0.39722282470703124,False,REGULAR,USD
ACN260410C00205000,2026-04-07 13:58:36+00:00,205.0,1.0,0.6,1.05,0.04000002,4.166669,37.0,104,0.40820904296875,False,REGULAR,USD
ACN260410C00207500,2026-04-07 15:29:03+00:00,207.5,0.4,0.35,0.7,-0.07999998,-16.666662,16.0,100,0.42383388671875,False,REGULAR,USD
ACN260410C00210000,2026-04-07 15:28:57+00:00,210.0,0.28,0.2,0.4,-0.03999999,-12.499997,11.0,1106,0.42188078125,False,REGULAR,USD
ACN260410C00212500,2026-04-07 15:28:21+00:00,212.5,0.2,0.0,0.4,0.040000007,25.000004,3.0,42,0.48389187988281257,False,REGULAR,USD
ACN260410C00215000,2026-04-06 18:47:34+00:00,215.0,0.08,0.0,0.15,0.0,0.0,47.0,112,0.4414118359375,False,REGULAR,USD
ACN260410C00217500,2026-04-06 18:41:29+00:00,217.5,0.05,0.0,0.7,0.0,0.0,1.0,3,0.5825237060546875,False,REGULAR,USD
ACN260410C00220000,2026-04-06 16:26:26+00:00,220.0,0.05,0.0,0.5,0.0,0.0,9.0,28,0.594730615234375,False,REGULAR,USD
ACN260410C00222500,2026-03-30 18:51:12+00:00,222.5,0.22,0.0,4.8,0.0,0.0,2.0,2,1.1748088134765624,False,REGULAR,USD
ACN260410C00225000,2026-03-20 15:57:17+00:00,225.0,1.15,0.0,4.8,0.0,0.0,27.0,27,1.243900264892578,False,REGULAR,USD
ACN260410C00230000,2026-04-01 17:14:50+00:00,230.0,1.3,0.0,3.0,0.0,0.0,1.0,5,1.1889688989257814,False,REGULAR,USD
ACN260410C00235000,2026-04-01 17:14:50+00:00,235.0,1.07,0.0,4.8,0.0,0.0,1.0,4,1.501955615234375,False,REGULAR,USD
ACN260410C00240000,2026-04-07 15:08:13+00:00,240.0,0.95,0.0,0.75,0.51,115.90909,3.0,34,1.040043862304688,False,REGULAR,USD
ACN260410C00245000,2026-03-27 14:53:24+00:00,245.0,0.18,0.0,4.8,0.0,0.0,1.0,69,1.7368177221679688,False,REGULAR,USD
ACN260410C00250000,2026-03-18 13:42:06+00:00,250.0,0.47,0.0,4.8,0.0,0.0,1.0,1,1.8469245935058591,False,REGULAR,USD
ACN260410C00275000,2026-03-23 13:44:34+00:00,275.0,0.08,0.0,4.8,0.0,0.0,,10,2.3422893005371086,False,REGULAR,USD
ACN260410C00310000,2026-03-06 20:35:23+00:00,310.0,0.05,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
