contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ADBE260410P00160000,2026-03-27 13:56:40+00:00,160.0,0.05,0.0,4.3,0.0,0.0,1.0,1,2.8027373681640624,False,REGULAR,USD
ADBE260410P00175000,2026-03-26 14:36:18+00:00,175.0,2.15,0.0,4.3,0.0,0.0,,3,2.3007854980468747,False,REGULAR,USD
ADBE260410P00180000,2026-03-06 19:42:38+00:00,180.0,0.31,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
ADBE260410P00185000,2026-03-13 13:52:41+00:00,185.0,0.35,0.0,4.3,0.0,0.0,2.0,17,1.9829102416992188,False,REGULAR,USD
ADBE260410P00190000,2026-04-02 19:51:46+00:00,190.0,0.07,0.0,0.94,0.0,0.0,15.0,23,1.2880894970703123,False,REGULAR,USD
ADBE260410P00195000,2026-04-01 13:30:03+00:00,195.0,0.58,0.0,0.18,0.0,0.0,1.0,11,0.8945323046874999,False,REGULAR,USD
ADBE260410P00197500,2026-04-02 16:49:32+00:00,197.5,0.05,0.0,0.24,0.0,0.0,1.0,4,0.8828136718749999,False,REGULAR,USD
ADBE260410P00200000,2026-04-07 13:47:32+00:00,200.0,0.06,0.0,0.04,0.02,50.0,1.0,53,0.6640658593750002,False,REGULAR,USD
ADBE260410P00202500,2026-04-06 17:16:36+00:00,202.5,0.05,0.0,0.15,0.0,0.0,1.0,63,0.73437765625,False,REGULAR,USD
ADBE260410P00205000,2026-04-07 15:26:59+00:00,205.0,0.06,0.02,0.06,-0.030000005,-33.333336,100.0,59,0.632816171875,False,REGULAR,USD
ADBE260410P00207500,2026-04-06 13:45:21+00:00,207.5,0.01,0.01,0.06,0.0,0.0,1.0,19,0.5820354296875,False,REGULAR,USD
ADBE260410P00210000,2026-04-07 15:03:31+00:00,210.0,0.05,0.0,0.06,0.020000001,66.66668,50.0,332,0.5312546875,False,REGULAR,USD
ADBE260410P00212500,2026-04-06 19:55:30+00:00,212.5,0.06,0.0,0.29,0.0,0.0,11.0,103,0.6093789062500001,False,REGULAR,USD
ADBE260410P00215000,2026-04-07 14:43:17+00:00,215.0,0.09,0.05,0.14,0.080000006,800.00024,2.0,625,0.523442265625,False,REGULAR,USD
ADBE260410P00217500,2026-04-06 17:07:38+00:00,217.5,0.11,0.0,0.33,0.0,0.0,63.0,108,0.5224657128906249,False,REGULAR,USD
ADBE260410P00220000,2026-04-07 15:10:50+00:00,220.0,0.25,0.15,0.25,0.120000005,92.30769,68.0,753,0.5117236328125,False,REGULAR,USD
