contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ADI260410P00180000,2026-04-07 14:12:55+00:00,180.0,0.47,,1.05,0.42,839.9998,1.0,1,3.090822585449218,False,REGULAR,USD
ADI260410P00185000,2026-04-07 14:12:55+00:00,185.0,0.47,,1.1,0.36,327.27277,1.0,1,2.989260339355469,False,REGULAR,USD
ADI260410P00230000,2026-03-20 14:47:20+00:00,230.0,1.25,0.0,1.3,0.0,0.0,3.0,3,1.7822276513671875,False,REGULAR,USD
ADI260410P00235000,2026-03-20 14:56:33+00:00,235.0,0.4,0.0,1.35,0.0,0.0,1.0,2,1.6982436962890626,False,REGULAR,USD
ADI260410P00245000,2026-03-20 14:47:20+00:00,245.0,1.35,0.0,1.15,0.0,0.0,3.0,3,1.466799541015625,False,REGULAR,USD
ADI260410P00250000,2026-04-02 18:25:22+00:00,250.0,0.4,0.0,1.35,0.0,0.0,15.0,22,1.4179716601562502,False,REGULAR,USD
ADI260410P00255000,2026-04-06 13:38:54+00:00,255.0,0.05,0.0,0.6,0.0,0.0,1.0,5,1.1533245458984376,False,REGULAR,USD
ADI260410P00257500,2026-04-02 16:58:19+00:00,257.5,0.59,0.0,0.75,0.0,0.0,3.0,3,1.154301103515625,False,REGULAR,USD
ADI260410P00260000,2026-04-07 14:50:46+00:00,260.0,0.05,0.05,0.2,-0.040000003,-44.444447,27.0,525,0.9433599414062499,False,REGULAR,USD
ADI260410P00262500,2026-04-02 17:00:20+00:00,262.5,0.85,0.0,1.3,0.0,0.0,1.0,1,1.1845743896484375,False,REGULAR,USD
ADI260410P00265000,2026-04-07 14:46:29+00:00,265.0,0.25,0.0,0.65,0.08,47.058823,11.0,39,1.0068409033203123,False,REGULAR,USD
ADI260410P00267500,2026-04-07 15:26:26+00:00,267.5,0.05,0.05,0.2,-0.13000001,-72.22222,3.0,2,0.8359391406249999,False,REGULAR,USD
ADI260410P00270000,2026-04-07 15:34:27+00:00,270.0,0.07,0.05,0.25,-1.4599999,-95.42483,4.0,5,0.82226740234375,False,REGULAR,USD
ADI260410P00272500,2026-04-02 17:51:24+00:00,272.5,0.8,0.0,1.35,0.0,0.0,13.0,13,1.017583037109375,False,REGULAR,USD
ADI260410P00275000,2026-04-07 14:39:53+00:00,275.0,0.15,0.0,1.2,-0.35,-70.0,1.0,114,0.9511723632812499,False,REGULAR,USD
ADI260410P00277500,2026-03-30 16:52:01+00:00,277.5,1.9,0.0,1.3,0.0,0.0,,1,0.9233406103515626,False,REGULAR,USD
ADI260410P00280000,2026-04-02 18:33:27+00:00,280.0,1.01,0.1,1.45,0.0,0.0,3.0,20,0.914063359375,False,REGULAR,USD
ADI260410P00282500,2026-04-06 18:25:12+00:00,282.5,0.3,0.0,0.75,0.0,0.0,2.0,20,0.7500025,False,REGULAR,USD
ADI260410P00285000,2026-04-06 13:30:08+00:00,285.0,0.7,0.0,0.75,0.0,0.0,1.0,2370,0.710940390625,False,REGULAR,USD
ADI260410P00287500,2026-04-06 14:31:03+00:00,287.5,0.6,0.0,0.75,0.0,0.0,1.0,29,0.6709017285156251,False,REGULAR,USD
ADI260410P00290000,2026-04-06 14:52:26+00:00,290.0,0.55,0.0,0.5,0.0,0.0,3.0,47,0.5854533642578125,False,REGULAR,USD
ADI260410P00292500,2026-04-02 19:30:11+00:00,292.5,1.45,0.05,0.75,0.0,0.0,3.0,23,0.5996133789062501,False,REGULAR,USD
ADI260410P00295000,2026-04-06 17:41:46+00:00,295.0,0.46,0.15,0.65,0.0,0.0,24.0,36,0.559574716796875,False,REGULAR,USD
ADI260410P00297500,2026-04-07 14:14:45+00:00,297.5,0.5,0.15,0.85,-1.02,-67.10526,20.0,84,0.5449264257812501,False,REGULAR,USD
ADI260410P00300000,2026-04-07 15:07:27+00:00,300.0,0.8,0.55,1.05,0.19999999,33.33333,7.0,151,0.5644574804687501,False,REGULAR,USD
ADI260410P00302500,2026-04-07 14:50:31+00:00,302.5,0.95,0.65,1.2,-0.78000003,-45.086704,2.0,11,0.540287800292969,False,REGULAR,USD
ADI260410P00305000,2026-04-07 15:32:23+00:00,305.0,1.0,0.65,1.4,0.06999999,7.5268807,1.0,34,0.5085498364257812,False,REGULAR,USD
ADI260410P00307500,2026-04-07 14:14:45+00:00,307.5,1.41,1.1,1.95,0.06999993,5.2238755,20.0,32,0.5251512329101562,False,REGULAR,USD
ADI260410P00310000,2026-04-07 13:44:44+00:00,310.0,1.52,1.5,2.1,-0.25,-14.124294,2.0,1169,0.503056727294922,False,REGULAR,USD
ADI260410P00312500,2026-04-07 14:06:51+00:00,312.5,2.25,1.9,2.55,-3.3000002,-59.45946,1.0,29,0.5212450219726561,False,REGULAR,USD
ADI260410P00315000,2026-04-06 16:48:08+00:00,315.0,2.6,2.45,3.1,0.0,0.0,8.0,31,0.5081836291503907,False,REGULAR,USD
ADI260410P00317500,2026-04-02 16:42:46+00:00,317.5,7.5,3.0,3.7,0.0,0.0,12.0,217,0.4907277490234375,False,REGULAR,USD
ADI260410P00320000,2026-04-07 14:06:13+00:00,320.0,4.7,3.9,4.7,1.7399998,58.78377,7.0,129,0.495122236328125,False,REGULAR,USD
ADI260410P00322500,2026-04-06 19:26:05+00:00,322.5,4.57,4.7,5.6,0.0,0.0,1.0,20,0.4809622216796875,False,REGULAR,USD
ADI260410P00325000,2026-04-07 15:15:56+00:00,325.0,6.6,5.8,6.8,0.8800001,15.384619,2.0,15,0.47827670166015623,True,REGULAR,USD
ADI260410P00327500,2026-04-06 16:07:58+00:00,327.5,7.6,6.8,8.6,0.0,0.0,2.0,12,0.5090381127929688,True,REGULAR,USD
ADI260410P00330000,2026-04-01 19:59:14+00:00,330.0,12.02,8.8,10.0,0.0,0.0,10.0,21,0.4995167236328125,True,REGULAR,USD
ADI260410P00335000,2026-03-30 19:39:45+00:00,335.0,33.92,12.4,15.1,0.0,0.0,10.0,11,0.5255174401855469,True,REGULAR,USD
ADI260410P00340000,2026-04-01 15:22:49+00:00,340.0,16.71,16.4,19.4,0.0,0.0,1.0,6,0.5549360913085939,True,REGULAR,USD
ADI260410P00345000,2026-04-02 15:35:58+00:00,345.0,27.85,20.8,24.0,0.0,0.0,2.0,1,0.5961954443359375,True,REGULAR,USD
ADI260410P00347500,2026-04-02 15:35:58+00:00,347.5,30.3,23.2,26.4,0.0,0.0,2.0,1,0.6281775463867189,True,REGULAR,USD
