contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ADM260417C00047500,2026-03-20 16:30:59+00:00,47.5,19.3,24.6,26.5,0.0,0.0,10.0,10,1.8437507812499998,True,REGULAR,USD
ADM260417C00055000,2026-02-26 18:40:43+00:00,55.0,12.87,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
ADM260417C00057500,2026-03-25 13:42:10+00:00,57.5,14.04,14.8,16.7,0.0,0.0,,5,1.2407264526367183,True,REGULAR,USD
ADM260417C00060000,2026-03-30 19:55:11+00:00,60.0,11.8,12.4,14.2,0.0,0.0,2.0,166,1.091801416015625,True,REGULAR,USD
ADM260417C00062500,2026-04-06 13:49:12+00:00,62.5,11.05,9.9,11.7,0.0,0.0,1.0,40,0.9248054394531251,True,REGULAR,USD
ADM260417C00065000,2026-04-06 13:43:30+00:00,65.0,8.9,7.6,9.1,0.0,0.0,1.0,1262,0.7719749365234375,True,REGULAR,USD
ADM260417C00067500,2026-04-06 14:56:53+00:00,67.5,6.0,5.2,6.0,0.0,0.0,20.0,864,0.534184345703125,True,REGULAR,USD
ADM260417C00070000,2026-04-07 15:10:30+00:00,70.0,3.5,3.3,3.8,-0.5100002,-12.718209,4.0,1151,0.5151415673828125,True,REGULAR,USD
ADM260417C00072500,2026-04-07 14:57:39+00:00,72.5,1.97,1.75,1.85,-0.21000004,-9.633029,36.0,1693,0.39649041015625003,False,REGULAR,USD
ADM260417C00075000,2026-04-07 15:06:38+00:00,75.0,0.8,0.7,0.9,-0.3,-27.272728,20.0,6972,0.39014281738281253,False,REGULAR,USD
ADM260417C00077500,2026-04-07 15:05:34+00:00,77.5,0.32,0.25,0.4,-0.17000002,-34.693882,15.0,5963,0.393560751953125,False,REGULAR,USD
ADM260417C00080000,2026-04-07 14:06:48+00:00,80.0,0.1,0.15,0.25,-0.07,-41.17647,1.0,2702,0.44336494140625,False,REGULAR,USD
ADM260417C00085000,2026-04-06 18:29:42+00:00,85.0,0.05,0.0,0.15,0.0,0.0,1.0,372,0.5625043750000001,False,REGULAR,USD
ADM260417C00090000,2026-04-02 13:44:08+00:00,90.0,0.09,0.0,0.15,0.0,0.0,3.0,17,0.632816171875,False,REGULAR,USD
ADM260417C00095000,2026-04-02 13:44:08+00:00,95.0,0.04,0.0,0.1,0.0,0.0,3.0,4,0.7187528125,False,REGULAR,USD
ADM260417C00100000,2026-03-24 17:07:31+00:00,100.0,0.01,0.0,0.1,0.0,0.0,1.0,12,0.8281267187499999,False,REGULAR,USD
