contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ADP260410P00165000,2026-03-24 15:32:13+00:00,165.0,0.4,0.0,0.75,0.0,0.0,,1,1.1816447167968749,False,REGULAR,USD
ADP260410P00170000,2026-03-24 15:32:13+00:00,170.0,0.52,0.0,0.75,0.0,0.0,,1,1.0449266503906252,False,REGULAR,USD
ADP260410P00180000,2026-04-06 14:03:17+00:00,180.0,0.05,0.0,0.75,0.0,0.0,7.0,10,0.7744163183593751,False,REGULAR,USD
ADP260410P00185000,2026-04-06 19:36:32+00:00,185.0,0.16,0.0,0.75,0.0,0.0,4.0,26,0.64062859375,False,REGULAR,USD
ADP260410P00187500,2026-04-02 19:51:00+00:00,187.5,0.4,0.0,0.75,0.0,0.0,4.0,410,0.5727581787109376,False,REGULAR,USD
ADP260410P00190000,2026-04-07 14:36:52+00:00,190.0,0.3,0.2,0.5,-0.030000001,-9.090909,21.0,61,0.5429733203125001,False,REGULAR,USD
ADP260410P00192500,2026-04-07 13:50:58+00:00,192.5,0.1,0.3,2.55,-0.54999995,-84.61538,2.0,22,0.6630893066406252,False,REGULAR,USD
ADP260410P00195000,2026-04-07 15:15:49+00:00,195.0,0.55,0.5,0.7,-0.050000012,-8.333335,3.0,33,0.4414118359375,False,REGULAR,USD
ADP260410P00197500,2026-04-07 13:50:41+00:00,197.5,0.9,0.75,1.2,-0.050000012,-5.263159,3.0,30,0.44605046142578125,False,REGULAR,USD
ADP260410P00200000,2026-04-07 15:32:37+00:00,200.0,1.45,1.15,1.65,0.0,0.0,52.0,199,0.41480077392578124,False,REGULAR,USD
ADP260410P00202500,2026-04-07 15:22:33+00:00,202.5,2.2,1.75,2.35,0.10000014,4.761912,12.0,16,0.3913635083007812,False,REGULAR,USD
ADP260410P00205000,2026-04-06 18:20:42+00:00,205.0,3.15,2.8,3.3,0.0,0.0,61.0,183,0.3667055517578125,True,REGULAR,USD
ADP260410P00207500,2026-04-06 15:20:22+00:00,207.5,4.6,4.3,4.8,0.0,0.0,,115,0.3711000390625,True,REGULAR,USD
ADP260410P00210000,2026-03-30 19:21:51+00:00,210.0,7.82,5.1,8.1,0.0,0.0,2.0,5,0.577152666015625,True,REGULAR,USD
ADP260410P00215000,2026-03-31 16:55:31+00:00,215.0,11.66,10.0,12.1,0.0,0.0,1.0,1,0.6228065063476562,True,REGULAR,USD
ADP260410P00220000,2026-03-24 19:41:12+00:00,220.0,15.38,14.7,17.1,0.0,0.0,2.0,0,0.5415084912109377,True,REGULAR,USD
ADP260410P00245000,2026-03-17 14:45:23+00:00,245.0,33.4,39.8,41.9,0.0,0.0,,0,1.0522508325195314,True,REGULAR,USD
ADP260410P00250000,2026-02-27 15:31:51+00:00,250.0,39.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
