,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,315000000.0,1252000000.0,399000000.0,589000000.0,333000000.0,
Repurchase Of Capital Stock,-801000000.0,-1000000000.0,-829000000.0,-900000000.0,-750000000.0,
Repayment Of Debt,0.0,-84000000.0,,,0.0,0.0
Issuance Of Debt,0.0,0.0,1039000000.0,0.0,0.0,
Issuance Of Capital Stock,3000000.0,3000000.0,-2000000.0,4000000.0,-7000000.0,
Interest Paid Supplemental Data,64000000.0,41000000.0,52000000.0,40000000.0,53000000.0,
Income Tax Paid Supplemental Data,563000000.0,-3000000.0,604000000.0,1000000.0,562000000.0,
End Cash Position,6245000000.0,6768000000.0,6965000000.0,5231000000.0,6229000000.0,
Beginning Cash Position,6768000000.0,6965000000.0,5231000000.0,6229000000.0,5612000000.0,
Effect Of Exchange Rate Changes,-13000000.0,-15000000.0,-36000000.0,33000000.0,-149000000.0,
Changes In Cash,-510000000.0,-182000000.0,1770000000.0,-1031000000.0,766000000.0,
Financing Cash Flow,-1184000000.0,-1462000000.0,-162000000.0,-1261000000.0,-1084000000.0,
Cash Flow From Continuing Financing Activities,-1184000000.0,-1462000000.0,-162000000.0,-1261000000.0,-1084000000.0,
Net Other Financing Charges,-94000000.0,-82000000.0,-69000000.0,-59000000.0,-60000000.0,
Cash Dividends Paid,-292000000.0,-299000000.0,-301000000.0,-306000000.0,-267000000.0,
Common Stock Dividend Paid,-292000000.0,-299000000.0,-301000000.0,-306000000.0,-267000000.0,
Net Common Stock Issuance,-798000000.0,-997000000.0,-831000000.0,-896000000.0,-757000000.0,
Common Stock Payments,-801000000.0,-1000000000.0,-829000000.0,-900000000.0,-750000000.0,
Common Stock Issuance,3000000.0,3000000.0,-2000000.0,4000000.0,-7000000.0,
Net Issuance Payments Of Debt,0.0,-84000000.0,1039000000.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,-84000000.0,,,0.0,0.0
Long Term Debt Payments,0.0,-84000000.0,,,0.0,0.0
Long Term Debt Issuance,0.0,0.0,1039000000.0,0.0,0.0,
Investing Cash Flow,359000000.0,28000000.0,1533000000.0,-359000000.0,1517000000.0,
Cash Flow From Continuing Investing Activities,359000000.0,28000000.0,1533000000.0,-359000000.0,1517000000.0,
Net Other Investing Changes,-1288000000.0,-336000000.0,2581000000.0,906000000.0,-2038000000.0,
Net Investment Purchase And Sale,1317000000.0,287000000.0,-1216000000.0,-1373000000.0,3041000000.0,
Sale Of Investment,1607000000.0,1852000000.0,2035000000.0,6049000000.0,2454000000.0,
Purchase Of Investment,-290000000.0,-1565000000.0,-3251000000.0,-7422000000.0,587000000.0,
Operating Cash Flow,315000000.0,1252000000.0,399000000.0,589000000.0,333000000.0,
Cash Flow From Continuing Operating Activities,315000000.0,1252000000.0,399000000.0,589000000.0,333000000.0,
Change In Working Capital,-491000000.0,-158000000.0,-454000000.0,-56000000.0,-349000000.0,
Change In Payables And Accrued Expense,-370000000.0,359000000.0,-384000000.0,117000000.0,-329000000.0,
Change In Payable,-370000000.0,359000000.0,-384000000.0,117000000.0,-329000000.0,
Change In Tax Payable,-370000000.0,359000000.0,-384000000.0,117000000.0,-329000000.0,
Change In Income Tax Payable,-370000000.0,359000000.0,-384000000.0,117000000.0,-329000000.0,
Change In Receivables,-38000000.0,20000000.0,-11000000.0,-37000000.0,23000000.0,
Other Non Cash Items,79000000.0,174000000.0,-73000000.0,-262000000.0,-17000000.0,
Amortization Of Securities,-90000000.0,-75000000.0,-36000000.0,-30000000.0,-76000000.0,
Operating Gains Losses,-712000000.0,-445000000.0,380000000.0,863000000.0,-1436000000.0,
Gain Loss On Investment Securities,123000000.0,62000000.0,-16000000.0,181000000.0,180000000.0,
Net Foreign Currency Exchange Gain Loss,-835000000.0,-507000000.0,396000000.0,682000000.0,-1616000000.0,
Net Income From Continuing Operations,1379000000.0,1639000000.0,599000000.0,29000000.0,1902000000.0,
