,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,-257487.922705,0.0,0.0,0.0,
Tax Rate For Calcs,0.205644,0.198068,0.185813,0.20196,0.1948,
Total Unusual Items,0.0,-1300000.0,,,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-1300000.0,,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,225200000.0,265600000.0,235300000.0,146600000.0,201300000.0,
Reconciled Depreciation,72000000.0,62300000.0,59000000.0,56700000.0,63900000.0,
EBIT,311800000.0,359100000.0,315700000.0,210500000.0,276800000.0,
Net Interest Income,-28300000.0,-27900000.0,-26700000.0,-26800000.0,-26800000.0,
Interest Expense,28300000.0,27900000.0,26700000.0,26800000.0,26800000.0,
Normalized Income,225200000.0,266642512.077295,235300000.0,146600000.0,201300000.0,
Net Income From Continuing And Discontinued Operation,225200000.0,265600000.0,235300000.0,146600000.0,201300000.0,
Total Expenses,3066900000.0,2900300000.0,2869400000.0,2890300000.0,2854800000.0,
Diluted Average Shares,50666230.0,51320491.0,51572065.0,51731116.0,52076048.0,
Basic Average Shares,50017641.0,50831664.0,51135518.0,51281419.0,51696455.0,
Diluted EPS,4.41,5.17,4.56,2.83,3.87,
Basic EPS,4.46,5.22,4.6,2.86,3.89,
Diluted NI Availto Com Stockholders,217500000.0,265600000.0,235300000.0,146600000.0,201300000.0,
Net Income Common Stockholders,217500000.0,265600000.0,235300000.0,146600000.0,201300000.0,
Net Income,225200000.0,265600000.0,235300000.0,146600000.0,201300000.0,
Net Income Including Noncontrolling Interests,225200000.0,265600000.0,235300000.0,146600000.0,201300000.0,
Net Income Continuous Operations,225200000.0,265600000.0,235300000.0,146600000.0,201300000.0,
Tax Provision,58300000.0,65600000.0,53700000.0,37100000.0,48700000.0,
Pretax Income,283500000.0,331200000.0,289000000.0,183700000.0,250000000.0,
Special Income Charges,0.0,-1300000.0,,,0.0,0.0
Other Special Charges,0.0,1300000.0,,,,
Net Non Operating Interest Income Expense,-28300000.0,-27900000.0,-26700000.0,-26800000.0,-26800000.0,
Interest Expense Non Operating,28300000.0,27900000.0,26700000.0,26800000.0,26800000.0,
Total Revenue,3350400000.0,3231500000.0,3158400000.0,3074000000.0,3104800000.0,
Operating Revenue,3350400000.0,3231500000.0,3158400000.0,3074000000.0,3104800000.0,
Loss Adjustment Expense,717000000.0,709600000.0,721500000.0,779700000.0,670500000.0,
Net Policyholder Benefits And Claims,717000000.0,709600000.0,721500000.0,779700000.0,670500000.0,
