,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1344,12257034,5243436679,-0.0088
1,2025-12-31,Blackrock Inc.,0.097200006,8861232,3790746512,-0.0143
2,2025-12-31,State Street Corporation,0.0479,4363400,1866618923,-0.0128
3,2025-12-31,JPMORGAN CHASE & CO,0.0358,3261177,1395098936,-0.66059995
4,2025-12-31,"Geode Capital Management, LLC",0.0309,2815974,1204645541,-0.0089
5,2025-12-31,"Aristotle Capital Management, LLC",0.0254,2311930,989020554,-0.048499998
6,2025-12-31,Morgan Stanley,0.023,2098911,897893154,-0.0432
7,2025-12-31,NORGES BANK,0.0166,1514129,647729257,0.1649
8,2025-12-31,Northern Trust Corporation,0.013300001,1212790,518819444,-0.0218
9,2025-12-31,Boston Partners,0.0128,1171328,501082415,-0.0182
