contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AMT260417P00100000,2026-03-02 19:57:09+00:00,100.0,0.1,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
AMT260417P00105000,2026-03-19 18:58:06+00:00,105.0,0.03,0.0,2.15,0.0,0.0,,2,1.876953740234375,False,REGULAR,USD
AMT260417P00115000,2026-01-12 14:43:10+00:00,115.0,0.18,0.0,0.75,0.0,0.0,4.0,3,1.2978550732421872,False,REGULAR,USD
AMT260417P00125000,2026-03-23 14:18:45+00:00,125.0,0.05,0.0,0.95,0.0,0.0,1.0,1,1.1220747021484376,False,REGULAR,USD
AMT260417P00130000,2026-03-23 14:17:17+00:00,130.0,0.05,0.0,0.95,0.0,0.0,1.0,1,1.0127002490234376,False,REGULAR,USD
AMT260417P00135000,2025-12-29 14:52:01+00:00,135.0,0.35,0.05,0.75,0.0,0.0,3.0,5,0.87500125,False,REGULAR,USD
AMT260417P00140000,2026-03-06 14:48:27+00:00,140.0,0.09,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
AMT260417P00145000,2026-04-07 14:19:25+00:00,145.0,0.25,0.1,0.35,0.19,316.66666,2.0,42,0.6035195898437502,False,REGULAR,USD
AMT260417P00150000,2026-04-06 19:50:01+00:00,150.0,0.12,0.0,0.9,0.0,0.0,6.0,361,0.5898478515625001,False,REGULAR,USD
AMT260417P00155000,2026-04-06 13:32:22+00:00,155.0,0.42,0.0,0.95,0.0,0.0,1.0,266,0.5949747534179688,False,REGULAR,USD
AMT260417P00160000,2026-04-07 14:37:10+00:00,160.0,0.6,0.4,0.85,0.20000002,50.000004,2.0,450,0.46533737792968755,False,REGULAR,USD
AMT260417P00165000,2026-04-07 15:16:42+00:00,165.0,1.2,0.95,1.3,0.30000007,33.333344,3.0,1078,0.411138701171875,False,REGULAR,USD
AMT260417P00170000,2026-04-07 14:20:53+00:00,170.0,2.9,2.05,2.7,0.8000002,38.095245,2.0,3092,0.4157773266601562,False,REGULAR,USD
AMT260417P00175000,2026-04-07 14:47:09+00:00,175.0,4.8,4.3,4.9,0.7000003,17.07318,4.0,1107,0.42407802490234375,False,REGULAR,USD
AMT260417P00180000,2026-04-06 18:57:02+00:00,180.0,6.87,7.7,8.1,0.0,0.0,18.0,499,0.45203184692382814,True,REGULAR,USD
AMT260417P00185000,2026-04-02 14:44:21+00:00,185.0,14.7,11.8,13.9,0.0,0.0,7.0,400,0.570316796875,True,REGULAR,USD
AMT260417P00190000,2026-04-02 13:34:20+00:00,190.0,20.72,15.7,18.6,0.0,0.0,1.0,1646,0.6219520227050781,True,REGULAR,USD
AMT260417P00195000,2026-03-12 13:43:09+00:00,195.0,15.92,20.5,23.4,0.0,0.0,3.0,46,0.7063017651367188,True,REGULAR,USD
AMT260417P00200000,2026-03-20 15:54:39+00:00,200.0,25.7,25.6,28.4,0.0,0.0,2.0,6,0.8098163549804687,True,REGULAR,USD
AMT260417P00210000,2026-02-17 15:29:13+00:00,210.0,21.04,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
AMT260417P00220000,2026-03-17 17:44:36+00:00,220.0,34.7,45.6,48.4,0.0,0.0,,0,1.1477093395996092,True,REGULAR,USD
AMT260417P00240000,2025-10-28 13:31:38+00:00,240.0,60.6,62.9,66.5,0.0,0.0,,1,0.860352958984375,True,REGULAR,USD
AMT260417P00250000,2025-09-08 17:43:28+00:00,250.0,59.57,62.3,65.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
AMT260417P00300000,2026-03-17 13:31:12+00:00,300.0,115.58,125.3,128.3,0.0,0.0,,1,2.0439502026367187,True,REGULAR,USD
AMT260417P00310000,2026-03-17 13:31:12+00:00,310.0,125.43,134.9,138.3,0.0,0.0,,1,2.091313365478515,True,REGULAR,USD
