contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AOS260417C00040000,2026-01-26 20:24:18+00:00,40.0,31.31,36.2,40.3,0.0,0.0,2.0,2,7.374024219970703,True,REGULAR,USD
AOS260417C00050000,2025-09-17 14:04:29+00:00,50.0,24.6,18.8,22.0,0.0,0.0,1.0,1,3.1303732678222658,True,REGULAR,USD
AOS260417C00055000,2025-10-30 18:34:53+00:00,55.0,13.04,11.2,14.3,0.0,0.0,,11,1.8076181494140622,True,REGULAR,USD
AOS260417C00060000,2026-03-31 16:40:21+00:00,60.0,5.9,4.0,5.7,0.0,0.0,1.0,1132,0.5434615966796876,True,REGULAR,USD
AOS260417C00065000,2026-04-07 15:02:34+00:00,65.0,0.98,0.85,1.1,-0.22000003,-18.333336,1.0,48,0.34766277343749996,False,REGULAR,USD
AOS260417C00070000,2026-04-02 16:25:18+00:00,70.0,0.31,0.05,0.75,0.0,0.0,3.0,1226,0.6001016552734376,False,REGULAR,USD
AOS260417C00075000,2026-03-31 18:48:40+00:00,75.0,0.02,0.0,0.1,0.0,0.0,5.0,1541,0.5214891601562499,False,REGULAR,USD
AOS260417C00080000,2026-03-27 19:11:48+00:00,80.0,0.03,0.0,0.05,0.0,0.0,4.0,1128,0.5585981640625001,False,REGULAR,USD
AOS260417C00085000,2026-03-24 14:48:08+00:00,85.0,0.07,0.0,0.05,0.0,0.0,5.0,2305,0.6875031250000001,False,REGULAR,USD
AOS260417C00090000,2026-02-23 14:41:21+00:00,90.0,0.1,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
AOS260417C00095000,2025-10-02 14:04:01+00:00,95.0,0.55,0.0,0.75,0.0,0.0,1.0,3,1.3730500097656249,False,REGULAR,USD
AOS260417C00100000,2025-11-03 18:28:31+00:00,100.0,1.07,0.0,2.15,0.0,0.0,2.0,0,1.9062504687500001,False,REGULAR,USD
