,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.100200005,22304678,6561924907,0.0138
1,2025-12-31,Blackrock Inc.,0.0813,18099947,5324914040,0.0337
2,2025-12-31,Capital International Investors,0.0575,12792580,3763513166,0.4422
3,2025-12-31,Capital Research Global Investors,0.0535,11904537,3502255349,0.0117
4,2025-12-31,State Farm Mutual Automobile Insurance Co,0.053200003,11840799,3483503948,0.0
5,2025-12-31,State Street Corporation,0.044499997,9911504,2915914991,0.0368
6,2025-12-31,Dodge & Cox Inc.,0.041500002,9236610,2717364546,0.0257
7,2025-12-31,JPMORGAN CHASE & CO,0.027999999,6237108,1834926033,-0.523
8,2025-12-31,"Geode Capital Management, LLC",0.0222,4950176,1456317064,-0.0327
9,2025-12-31,"Viking Global Investors, L.P.",0.0215,4782534,1406997625,0.3042
