,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-23915646.258503,-24123051.894153,-6044400.0,-4794500.0,
Tax Rate For Calcs,0.231293,0.189349,0.207,0.223,
Normalized EBITDA,6994300000.0,3928800000.0,3029900000.0,3010200000.0,
Total Unusual Items,-103400000.0,-127400000.0,-29200000.0,-21500000.0,
Total Unusual Items Excluding Goodwill,-103400000.0,-127400000.0,-29200000.0,-21500000.0,
Net Income From Continuing Operation Net Minority Interest,4270300000.0,2424000000.0,1928000000.0,1902300000.0,
Reconciled Depreciation,922400000.0,572500000.0,406400000.0,392900000.0,
Reconciled Cost Of Revenue,14577000000.0,10083000000.0,8470600000.0,8594800000.0,
EBITDA,6890900000.0,3801400000.0,3000700000.0,2988700000.0,
EBIT,5968500000.0,3228900000.0,2594300000.0,2595800000.0,
Net Interest Income,-367800000.0,-217000000.0,-139500000.0,-128400000.0,
Interest Expense,367800000.0,217000000.0,139500000.0,128400000.0,
Normalized Income,4349784353.741497,2527276948.105847,1951155600.0,1919005500.0,
Net Income From Continuing And Discontinued Operation,4270300000.0,2424000000.0,1928000000.0,1902300000.0,
Total Expenses,17122700000.0,11938400000.0,9960500000.0,10015700000.0,
Total Operating Income As Reported,5868600000.0,3156900000.0,2559600000.0,2585800000.0,
Diluted Average Shares,1277500000.0,1263600000.0,1241200000.0,1242000000.0,
Basic Average Shares,1218200000.0,1203800000.0,1193000000.0,1192400000.0,
Diluted EPS,3.34,1.92,1.555,1.53,
Basic EPS,3.51,2.01,1.615,1.595,
Diluted NI Availto Com Stockholders,4270300000.0,2424000000.0,1928000000.0,1902300000.0,
Net Income Common Stockholders,4270300000.0,2424000000.0,1928000000.0,1902300000.0,
Net Income,4270300000.0,2424000000.0,1928000000.0,1902300000.0,
Minority Interests,-35000000.0,-17600000.0,-17500000.0,-14500000.0,
Net Income Including Noncontrolling Interests,4305300000.0,2441600000.0,1945500000.0,1916800000.0,
Net Income Discontinuous Operations,,,0.0,0.0,21400000.0
Net Income Continuous Operations,4305300000.0,2441600000.0,1945500000.0,1916800000.0,
Tax Provision,1295400000.0,570300000.0,509300000.0,550600000.0,
Pretax Income,5600700000.0,3011900000.0,2454800000.0,2467400000.0,
Other Income Expense,-3500000.0,-55400000.0,100000.0,-11500000.0,
Other Non Operating Income Expenses,99900000.0,72000000.0,29300000.0,10000000.0,
Special Income Charges,-103400000.0,-127400000.0,-29200000.0,-21500000.0,
Restructuring And Mergern Acquisition,103400000.0,127400000.0,29200000.0,21500000.0,
Net Non Operating Interest Income Expense,-367800000.0,-217000000.0,-139500000.0,-128400000.0,
Interest Expense Non Operating,367800000.0,217000000.0,139500000.0,128400000.0,
Operating Income,5972000000.0,3284300000.0,2594200000.0,2607300000.0,
Operating Expense,2545700000.0,1855400000.0,1489900000.0,1420900000.0,
Selling General And Administration,2545700000.0,1855400000.0,1489900000.0,1420900000.0,
Gross Profit,8517700000.0,5139700000.0,4084100000.0,4028200000.0,
Cost Of Revenue,14577000000.0,10083000000.0,8470600000.0,8594800000.0,
Total Revenue,23094700000.0,15222700000.0,12554700000.0,12623000000.0,
Operating Revenue,23094700000.0,15222700000.0,12554700000.0,12623000000.0,
