contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
APH260417P00055000,2026-04-01 17:42:33+00:00,55.0,0.15,0.0,1.15,0.0,0.0,1.0,5,2.6894564013671873,False,REGULAR,USD
APH260417P00060000,2026-01-21 17:26:04+00:00,60.0,0.26,0.0,2.15,0.0,0.0,,1,2.7656280859375,False,REGULAR,USD
APH260417P00065000,2026-03-10 18:58:35+00:00,65.0,0.12,0.0,0.55,0.0,0.0,2.0,4,1.935547197265625,False,REGULAR,USD
APH260417P00070000,2026-04-01 16:52:13+00:00,70.0,0.02,0.0,0.15,0.0,0.0,10.0,11,1.4453152734375,False,REGULAR,USD
APH260417P00075000,2026-01-16 20:02:00+00:00,75.0,0.69,0.0,0.95,0.0,0.0,5.0,8,1.71875140625,False,REGULAR,USD
APH260417P00080000,2026-03-26 16:35:13+00:00,80.0,0.08,0.0,0.2,0.0,0.0,5.0,28,1.19141029296875,False,REGULAR,USD
APH260417P00085000,2026-04-06 17:20:28+00:00,85.0,0.18,0.0,0.2,0.0,0.0,1.0,14,1.0468797656250002,False,REGULAR,USD
APH260417P00090000,2026-04-07 15:04:14+00:00,90.0,0.1,0.05,0.1,0.05,100.0,10.0,116,0.87500125,False,REGULAR,USD
APH260417P00095000,2026-04-06 17:21:50+00:00,95.0,0.22,0.1,0.25,0.0,0.0,1.0,323,0.8554701953125,False,REGULAR,USD
APH260417P00100000,2026-04-07 14:59:37+00:00,100.0,0.26,0.15,0.4,0.00999999,3.9999962,5.0,1452,0.7832052929687501,False,REGULAR,USD
APH260417P00105000,2026-04-07 15:13:21+00:00,105.0,0.47,0.35,0.55,0.06999999,17.499998,4.0,11464,0.7182645361328125,False,REGULAR,USD
APH260417P00110000,2026-04-07 13:54:41+00:00,110.0,0.77,0.65,0.95,0.03999996,5.479447,6.0,832,0.6679720703125002,False,REGULAR,USD
APH260417P00115000,2026-04-07 14:35:35+00:00,115.0,1.37,1.4,1.6,0.120000005,9.6,20.0,4671,0.6359899682617188,False,REGULAR,USD
APH260417P00120000,2026-04-07 15:43:33+00:00,120.0,2.55,2.45,2.75,0.25,10.548524,8.0,5174,0.596683720703125,False,REGULAR,USD
APH260417P00125000,2026-04-07 15:15:56+00:00,125.0,4.3,4.3,4.6,0.46000028,11.979174,4.0,6038,0.5734905932617188,False,REGULAR,USD
APH260417P00130000,2026-04-07 15:39:06+00:00,130.0,7.0,6.9,7.3,0.6500001,10.236222,20.0,4148,0.5542036767578126,True,REGULAR,USD
APH260417P00135000,2026-04-07 13:43:07+00:00,135.0,10.43,10.4,11.8,0.9300003,9.789477,3.0,2214,0.6157264990234376,True,REGULAR,USD
APH260417P00140000,2026-04-06 19:10:05+00:00,140.0,14.4,13.5,15.7,0.0,0.0,3.0,516,0.5151415673828125,True,REGULAR,USD
APH260417P00145000,2026-04-06 15:25:28+00:00,145.0,18.1,18.1,20.6,0.0,0.0,3.0,241,0.5644574804687501,True,REGULAR,USD
APH260417P00150000,2026-04-02 15:16:55+00:00,150.0,22.57,22.9,25.5,0.0,0.0,5.0,246,0.6103554589843752,True,REGULAR,USD
APH260417P00155000,2026-04-02 15:27:58+00:00,155.0,28.3,28.0,30.4,0.0,0.0,1.0,33,0.6992217578125001,True,REGULAR,USD
APH260417P00160000,2026-03-23 13:46:43+00:00,160.0,30.6,33.0,35.6,0.0,0.0,1.0,17,0.8261736132812498,True,REGULAR,USD
APH260417P00165000,2026-02-20 19:39:45+00:00,165.0,18.29,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
APH260417P00170000,2026-02-17 14:52:53+00:00,170.0,28.45,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
APH260417P00175000,2026-02-02 19:35:16+00:00,175.0,30.82,39.8,43.0,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
APH260417P00180000,2026-01-28 19:50:26+00:00,180.0,35.0,41.7,44.9,0.0,0.0,32.0,16,1.0000000000000003e-05,True,REGULAR,USD
APH260417P00185000,2026-03-05 19:37:36+00:00,185.0,51.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
APH260417P00200000,2025-12-05 14:36:14+00:00,200.0,60.93,45.9,48.3,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
APH260417P00210000,2026-03-18 13:30:12+00:00,210.0,73.9,83.0,85.5,0.0,0.0,,0,1.4755885595703124,True,REGULAR,USD
