,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.028900001,6787034,396430654,-0.0119
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0232,5446462,318127844,0.0139
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Index Fund,0.0209,4903636,286421378,-0.0499
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Value Index Fund,0.0135,3161545,184665842,-0.043
4,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0117999995,2777829,162252991,-0.0104
5,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0117,2749884,160620724,0.0017
6,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0108,2545416,148677748,-0.0185
7,2026-01-31,ALLSPRING FUNDS TRUST-Allspring Special Mid Cap Value Fund,0.0097,2285130,133474442,0.0
8,2026-01-31,VANGUARD WINDSOR FUNDS-Vanguard Windsor II Fund,0.0093,2184500,127596644,0.0
9,2025-12-31,MFS SERIES TRUST XI-MFS Mid Cap Value Fund,0.0089,2097393,122508724,-0.038900003
