,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,-29361990.0,-79483740.0,29088990.0,
Tax Rate For Calcs,0.0,0.21,0.21,0.21,
Normalized EBITDA,1986904000.0,2038770000.0,1827165000.0,1628531000.0,
Total Unusual Items,-1626454000.0,-139819000.0,-378494000.0,138519000.0,
Total Unusual Items Excluding Goodwill,-1626454000.0,-139819000.0,-378494000.0,138519000.0,
Net Income From Continuing Operation Net Minority Interest,-1429570000.0,322949000.0,103639000.0,521660000.0,
Reconciled Depreciation,1312715000.0,1116701000.0,1000142000.0,927800000.0,
Reconciled Cost Of Revenue,960368000.0,994944000.0,952511000.0,857499000.0,
EBITDA,360450000.0,1898951000.0,1448671000.0,1767050000.0,
EBIT,-990028000.0,696571000.0,355198000.0,764904000.0,
Net Interest Income,-226698000.0,-185838000.0,-74204000.0,-94203000.0,
Interest Expense,226698000.0,185838000.0,74204000.0,94203000.0,
Normalized Income,196884000.0,433406010.0,402649260.0,412229990.0,
Net Income From Continuing And Discontinued Operation,-1429570000.0,322949000.0,103639000.0,521660000.0,
Total Expenses,2390130000.0,2280004000.0,2152007000.0,1962577000.0,
Diluted Average Shares,170307000.0,172071000.0,170909000.0,161659000.0,
Basic Average Shares,170307000.0,172071000.0,170909000.0,161659000.0,
Diluted EPS,-8.44,1.8,0.54,3.18,
Basic EPS,-8.44,1.8,0.54,3.18,
Diluted NI Availto Com Stockholders,-1437987000.0,309555000.0,92444000.0,513268000.0,
Net Income Common Stockholders,-1437987000.0,309555000.0,92444000.0,513268000.0,
Otherunder Preferred Stock Dividend,8417000.0,13394000.0,11195000.0,8392000.0,
Net Income,-1429570000.0,322949000.0,103639000.0,521660000.0,
Minority Interests,-212844000.0,-187784000.0,-177355000.0,-149041000.0,
Net Income Including Noncontrolling Interests,-1216726000.0,510733000.0,280994000.0,670701000.0,
Net Income Continuous Operations,-1216726000.0,510733000.0,280994000.0,670701000.0,
Pretax Income,-1216726000.0,510733000.0,280994000.0,670701000.0,
Other Income Expense,-1545073000.0,-73131000.0,-335251000.0,151441000.0,
Other Non Operating Income Expenses,81381000.0,66688000.0,43243000.0,12922000.0,
Special Income Charges,-2212556000.0,-216009000.0,-460134000.0,-67641000.0,
Gain On Sale Of Business,-9631000.0,7059000.0,980000.0,645000.0,
Other Special Charges,107000.0,,,3317000.0,67253000.0
Impairment Of Capital Assets,2202818000.0,223068000.0,461114000.0,64969000.0,
Earnings From Equity Interest,,7059000.0,980000.0,645000.0,12255000.0
Gain On Sale Of Security,586102000.0,76190000.0,81640000.0,206160000.0,
Net Non Operating Interest Income Expense,-226698000.0,-185838000.0,-74204000.0,-94203000.0,
Interest Expense Non Operating,226698000.0,185838000.0,74204000.0,94203000.0,
Operating Income,555045000.0,769702000.0,690449000.0,613463000.0,
Operating Expense,1467525000.0,1370739000.0,1292827000.0,1179424000.0,
Depreciation Amortization Depletion Income Statement,1350478000.0,1202380000.0,1093473000.0,1002146000.0,
Depreciation And Amortization In Income Statement,1350478000.0,1202380000.0,1093473000.0,1002146000.0,
Selling General And Administration,117047000.0,168359000.0,199354000.0,177278000.0,
General And Administrative Expense,117047000.0,168359000.0,199354000.0,177278000.0,
Other Gand A,117047000.0,168359000.0,199354000.0,177278000.0,
Gross Profit,2022570000.0,2140441000.0,1983276000.0,1792887000.0,
Cost Of Revenue,922605000.0,909265000.0,859180000.0,783153000.0,
Total Revenue,2945175000.0,3049706000.0,2842456000.0,2576040000.0,
Operating Revenue,2945175000.0,3049706000.0,2842456000.0,2576040000.0,
