contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AVB260417C00120000,2026-03-30 17:15:56+00:00,120.0,43.5,46.2,48.9,0.0,0.0,420,0,1.1840861108398437,True,REGULAR,USD
AVB260417C00135000,2025-12-30 18:51:44+00:00,135.0,48.55,38.6,42.5,0.0,0.0,30,0,1.878174437255859,True,REGULAR,USD
AVB260417C00150000,2026-03-30 17:15:56+00:00,150.0,13.5,16.2,19.1,0.0,0.0,420,0,0.5434615966796876,True,REGULAR,USD
AVB260417C00155000,2026-01-28 20:40:49+00:00,155.0,20.25,23.6,26.3,0.0,0.0,1,3,1.5695822302246092,True,REGULAR,USD
AVB260417C00160000,2026-04-07 13:30:30+00:00,160.0,8.03,7.0,9.5,2.9299998,57.450977,1,6,0.3591372680664062,True,REGULAR,USD
AVB260417C00165000,2026-04-01 19:38:40+00:00,165.0,3.66,4.8,5.5,0.0,0.0,2,42,0.313483427734375,True,REGULAR,USD
AVB260417C00170000,2026-04-07 15:19:05+00:00,170.0,1.9,1.8,2.3,0.25,15.151515,25,109,0.26282475463867194,False,REGULAR,USD
AVB260417C00175000,2026-03-31 19:48:43+00:00,175.0,0.51,0.5,0.75,0.0,0.0,1,71,0.25025163818359375,False,REGULAR,USD
AVB260417C00180000,2026-03-30 15:03:06+00:00,180.0,0.65,0.0,0.4,0.0,0.0,3,96,0.295905478515625,False,REGULAR,USD
AVB260417C00185000,2026-03-27 14:39:42+00:00,185.0,0.13,0.05,0.75,0.0,0.0,2,157,0.44922425781249997,False,REGULAR,USD
AVB260417C00190000,2026-04-07 13:30:30+00:00,190.0,0.3,0.0,0.55,0.25,499.99988,1,43,0.495122236328125,False,REGULAR,USD
AVB260417C00195000,2026-03-26 17:54:34+00:00,195.0,0.05,0.0,0.05,0.0,0.0,4,29,0.37695935546875,False,REGULAR,USD
AVB260417C00200000,2026-02-20 20:18:40+00:00,200.0,0.26,0.0,0.0,0.0,0.0,1,0,0.2500075,False,REGULAR,USD
AVB260417C00210000,2026-03-23 15:59:54+00:00,210.0,0.05,0.0,0.4,0.0,0.0,11,47,0.65039412109375,False,REGULAR,USD
AVB260417C00220000,2025-10-28 15:42:29+00:00,220.0,1.75,0.15,1.65,0.0,0.0,1,3,1.0039112304687499,False,REGULAR,USD
AVB260417C00230000,2026-03-10 18:01:11+00:00,230.0,0.2,0.0,2.15,0.0,0.0,1,9,1.1713908618164064,False,REGULAR,USD
AVB260417C00240000,2025-10-31 14:27:27+00:00,240.0,0.1,0.0,2.2,0.0,0.0,1,1,1.2954136791992186,False,REGULAR,USD
AVB260417C00270000,2025-09-10 18:11:12+00:00,270.0,0.1,0.0,0.75,0.0,0.0,5,7,1.334964262695312,False,REGULAR,USD
