,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1165,9367224,3572752940,0.0057
1,2025-12-31,Blackrock Inc.,0.1025,8240337,3142946965,0.0049
2,2025-12-31,State Street Corporation,0.0442,3550357,1354141676,0.0506
3,2025-12-31,"FMR, LLC",0.032,2574185,981819910,-0.1463
4,2025-12-31,"Geode Capital Management, LLC",0.0277,2226159,849079312,0.0162
5,2025-12-31,BAILLIE GIFFORD & CO,0.020399999,1642578,626495680,11.9869995
6,2025-12-31,"Sands Capital Management, LLC",0.02,1609436,613854990,0.1158
7,2025-12-31,"Wellington Management Group, LLP",0.019199999,1539738,587271476,3.2687
8,2025-12-31,Invesco Ltd.,0.0189,1521174,580190980,-0.1634
9,2025-12-31,Edgewood Management Llc,0.0185,1490528,568502289,1.0
