,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0278,198503060,9932100576,0.0417
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0228,162915599,8151481971,0.065
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0121,86452918,4325671738,-0.0094
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.012,85498726,4277928742,0.0017
4,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0111,79054791,3955506455,-0.0195
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0082,58482155,2926154616,0.0728
6,2026-01-31,WASHINGTON MUTUAL INVESTORS FUND,0.0082,58372808,2920683439,0.0
7,2026-01-31,SELECT SECTOR SPDR TRUST-State Street Financial Select Sector SPDR ETF,0.0067000003,48121937,2407781110,0.0579
8,2025-12-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0054,38554766,1929087710,-0.0294
9,2026-01-31,VANGUARD SPECIALIZED FUNDS-Vanguard Dividend Appreciation Index Fund,0.0050999997,36205544,1811544388,-0.0277
