,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Blackrock Inc.,0.16420001,84783925,1406141318,0.08939999
1,2025-12-31,Pzena Investment Management LLC,0.1357,70046251,1161717008,0.2206
2,2025-12-31,Vanguard Group Inc,0.121300004,62635136,1038803673,0.0018000001
3,2025-12-31,Dodge & Cox Inc.,0.1104,56999970,945344450,-0.0069
4,2025-12-31,"FMR, LLC",0.0674,34811770,577353173,1.3889999
5,2025-12-31,State Street Corporation,0.0437,22539233,373813158,0.024600001
6,2025-12-31,"Geode Capital Management, LLC",0.026199998,13510205,224066737,0.0776
7,2025-12-31,Invesco Ltd.,0.023,11861392,196721175,0.36259997
8,2025-12-31,"Greenhaven Associates, Inc.",0.0207,10693223,177347093,0.7005
9,2025-12-31,UBS Group AG,0.0207,10666458,176903196,1.7405
