contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
BBY260410P00040000,2026-04-07 14:21:45+00:00,40.0,0.05,0.0,0.2,0.020000001,66.66668,10.0,6.0,2.2304731738281243,False,REGULAR,USD
BBY260410P00045000,2026-03-27 18:51:25+00:00,45.0,0.06,0.0,0.2,0.0,0.0,2.0,2.0,1.7304700976562502,False,REGULAR,USD
BBY260410P00049000,2026-03-31 18:51:50+00:00,49.0,0.02,0.0,0.75,0.0,0.0,40.0,8.0,1.787110439453125,False,REGULAR,USD
BBY260410P00050000,2026-03-31 19:59:44+00:00,50.0,0.12,0.0,0.75,0.0,0.0,114.0,48.0,1.6796891015625,False,REGULAR,USD
BBY260410P00051000,2026-03-31 19:25:22+00:00,51.0,0.03,0.0,0.75,0.0,0.0,19.0,9.0,1.572267763671875,False,REGULAR,USD
BBY260410P00052000,2026-04-01 15:54:43+00:00,52.0,0.05,0.0,0.75,0.0,0.0,1.0,21.0,1.46484642578125,False,REGULAR,USD
BBY260410P00053000,2026-04-01 17:55:29+00:00,53.0,0.05,0.0,0.05,0.0,0.0,1.0,30.0,0.8125018749999999,False,REGULAR,USD
BBY260410P00054000,2026-04-02 14:33:41+00:00,54.0,0.37,0.0,0.75,0.0,0.0,1.0,35.0,1.25390998046875,False,REGULAR,USD
BBY260410P00055000,2026-04-06 13:49:00+00:00,55.0,0.08,0.0,0.45,0.0,0.0,1.0,114.0,1.0058643457031249,False,REGULAR,USD
BBY260410P00056000,2026-04-06 19:40:55+00:00,56.0,0.05,0.0,0.75,0.0,0.0,2.0,225.0,1.0449266503906252,False,REGULAR,USD
BBY260410P00057000,2026-04-07 14:18:37+00:00,57.0,0.18,0.0,0.35,0.13000001,260.00003,1.0,278.0,0.7656273437500001,False,REGULAR,USD
BBY260410P00058000,2026-04-07 14:14:49+00:00,58.0,0.08,0.0,0.2,-0.020000003,-20.000002,2.0,49.0,0.5898478515625001,False,REGULAR,USD
BBY260410P00059000,2026-04-07 15:17:42+00:00,59.0,0.15,0.05,0.15,0.09,150.0,11.0,83.0,0.5039112109375,False,REGULAR,USD
BBY260410P00060000,2026-04-07 15:37:39+00:00,60.0,0.2,0.15,0.2,0.049999997,33.33333,40.0,689.0,0.5048877636718749,False,REGULAR,USD
BBY260410P00061000,2026-04-07 15:28:06+00:00,61.0,0.38,0.25,0.4,0.13,52.0,6.0,155.0,0.523442265625,False,REGULAR,USD
BBY260410P00062000,2026-04-07 15:37:18+00:00,62.0,0.52,0.45,0.6,0.089999974,20.930225,32.0,593.0,0.49609878906250005,False,REGULAR,USD
BBY260410P00063000,2026-04-07 15:22:47+00:00,63.0,0.85,0.75,0.9,0.15000004,21.428577,14.0,116.0,0.47363807617187503,False,REGULAR,USD
BBY260410P00064000,2026-04-07 14:27:48+00:00,64.0,1.5,1.15,1.35,0.38,33.92857,9.0,2012.0,0.46484910156250003,True,REGULAR,USD
BBY260410P00065000,2026-04-07 14:09:49+00:00,65.0,1.95,1.75,1.95,0.100000024,5.4054065,7.0,58.0,0.46484910156250003,True,REGULAR,USD
BBY260410P00066000,2026-04-07 14:04:47+00:00,66.0,2.53,2.45,2.65,-0.42000008,-14.23729,2.0,7.0,0.4580132324218751,True,REGULAR,USD
BBY260410P00067000,2026-04-06 13:48:23+00:00,67.0,3.77,2.35,4.0,0.0,0.0,6.0,4.0,0.7304714453125,True,REGULAR,USD
BBY260410P00068000,2026-04-02 14:37:25+00:00,68.0,4.4,2.8,4.9,0.0,0.0,1.0,28.0,0.790041162109375,True,REGULAR,USD
BBY260410P00069000,2026-04-02 14:37:25+00:00,69.0,5.2,3.7,5.9,0.0,0.0,1.0,3.0,0.8886729882812499,True,REGULAR,USD
BBY260410P00070000,2026-04-06 18:27:28+00:00,70.0,6.38,4.6,6.9,0.0,0.0,1.0,3.0,0.98242205078125,True,REGULAR,USD
BBY260410P00071000,2026-03-19 14:12:08+00:00,71.0,7.9,5.6,7.9,0.0,0.0,1.0,0.0,1.0722702636718753,True,REGULAR,USD
BBY260410P00072000,2026-03-20 17:50:24+00:00,72.0,10.4,6.6,8.9,0.0,0.0,2.0,0.0,1.158207333984375,True,REGULAR,USD
BBY260410P00078000,2026-04-06 17:15:16+00:00,78.0,14.32,12.6,15.1,0.0,0.0,,,1.748048134765625,True,REGULAR,USD
BBY260410P00079000,2026-04-06 17:15:16+00:00,79.0,15.22,13.6,16.1,0.0,0.0,,1.0,1.8203133984375,True,REGULAR,USD
BBY260410P00085000,2026-03-26 16:41:08+00:00,85.0,21.95,19.6,22.4,0.0,0.0,,0.0,2.416019584960937,True,REGULAR,USD
