,2025-04-30,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Free Cash Flow,431000000.0,419000000.0,457000000.0,798000000.0,
Repurchase Of Capital Stock,0.0,-400000000.0,0.0,0.0,
Repayment Of Debt,-417000000.0,0.0,-850000000.0,-196000000.0,
Issuance Of Debt,0.0,192000000.0,1482000000.0,0.0,
Capital Expenditure,-167000000.0,-228000000.0,-183000000.0,-138000000.0,
Interest Paid Supplemental Data,119000000.0,125000000.0,85000000.0,80000000.0,
Income Tax Paid Supplemental Data,303000000.0,242000000.0,278000000.0,226000000.0,
End Cash Position,444000000.0,446000000.0,374000000.0,868000000.0,
Other Cash Adjustment Outside Changein Cash,-19000000.0,-10000000.0,-10000000.0,-6000000.0,
Beginning Cash Position,456000000.0,384000000.0,874000000.0,1150000000.0,
Effect Of Exchange Rate Changes,3000000.0,-6000000.0,-14000000.0,-47000000.0,
Changes In Cash,4000000.0,78000000.0,-476000000.0,-229000000.0,
Financing Cash Flow,-843000000.0,-618000000.0,239000000.0,-1038000000.0,
Cash Flow From Continuing Financing Activities,-843000000.0,-618000000.0,239000000.0,-1038000000.0,
Net Other Financing Charges,-6000000.0,-6000000.0,-15000000.0,-11000000.0,
Cash Dividends Paid,-420000000.0,-404000000.0,-378000000.0,-831000000.0,
Common Stock Dividend Paid,-420000000.0,-404000000.0,-378000000.0,-831000000.0,
Net Common Stock Issuance,0.0,-400000000.0,0.0,0.0,
Common Stock Payments,0.0,-400000000.0,0.0,0.0,
Net Issuance Payments Of Debt,-417000000.0,192000000.0,632000000.0,-196000000.0,
Net Short Term Debt Issuance,-117000000.0,192000000.0,234000000.0,-196000000.0,
Short Term Debt Payments,-117000000.0,0.0,-600000000.0,-196000000.0,
Short Term Debt Issuance,0.0,192000000.0,834000000.0,0.0,
Net Long Term Debt Issuance,-300000000.0,0.0,398000000.0,0.0,
Long Term Debt Payments,-300000000.0,0.0,-250000000.0,0.0,
Long Term Debt Issuance,0.0,0.0,648000000.0,0.0,
Investing Cash Flow,249000000.0,49000000.0,-1355000000.0,-127000000.0,
Cash Flow From Continuing Investing Activities,249000000.0,49000000.0,-1355000000.0,-127000000.0,
Net Other Investing Changes,66000000.0,31000000.0,23000000.0,11000000.0,
Net Business Purchase And Sale,350000000.0,246000000.0,-1195000000.0,0.0,
Sale Of Business,350000000.0,246000000.0,0.0,0.0,
Purchase Of Business,0.0,0.0,-1195000000.0,0.0,
Net Intangibles Purchase And Sale,,,,,-3000000.0
Purchase Of Intangibles,,,,,-3000000.0
Net PPE Purchase And Sale,-167000000.0,-228000000.0,-183000000.0,-138000000.0,
Purchase Of PPE,-167000000.0,-228000000.0,-183000000.0,-138000000.0,
Capital Expenditure Reported,,,,,-3000000.0
Operating Cash Flow,598000000.0,647000000.0,640000000.0,936000000.0,
Cash Flow From Continuing Operating Activities,598000000.0,647000000.0,640000000.0,936000000.0,
Change In Working Capital,-253000000.0,-263000000.0,-352000000.0,-77000000.0,
Change In Other Working Capital,-41000000.0,-11000000.0,48000000.0,-6000000.0,
Change In Other Current Assets,-25000000.0,23000000.0,4000000.0,15000000.0,
Change In Payables And Accrued Expense,-53000000.0,-14000000.0,20000000.0,84000000.0,
Change In Payable,-53000000.0,-14000000.0,20000000.0,84000000.0,
Change In Account Payable,-40000000.0,-31000000.0,77000000.0,37000000.0,
Change In Tax Payable,-13000000.0,17000000.0,-57000000.0,47000000.0,
Change In Income Tax Payable,-13000000.0,17000000.0,-57000000.0,47000000.0,
Change In Inventory,-64000000.0,-349000000.0,-403000000.0,-93000000.0,
Change In Receivables,-70000000.0,88000000.0,-21000000.0,-77000000.0,
Changes In Account Receivables,-70000000.0,88000000.0,-21000000.0,-77000000.0,
Other Non Cash Items,-60000000.0,16000000.0,18000000.0,31000000.0,
Stock Based Compensation,28000000.0,25000000.0,18000000.0,15000000.0,
Asset Impairment Charge,49000000.0,7000000.0,96000000.0,61000000.0,
Deferred Tax,-39000000.0,18000000.0,-3000000.0,-11000000.0,
Deferred Income Tax,-39000000.0,18000000.0,-3000000.0,-11000000.0,
Depreciation Amortization Depletion,87000000.0,87000000.0,80000000.0,79000000.0,
Depreciation And Amortization,87000000.0,87000000.0,80000000.0,79000000.0,
Operating Gains Losses,-83000000.0,-267000000.0,,,-127000000.0
Earnings Losses From Equity Investments,-83000000.0,0.0,0.0,,
Gain Loss On Sale Of Business,0.0,-267000000.0,0.0,0.0,
Net Income From Continuing Operations,869000000.0,1024000000.0,783000000.0,838000000.0,
