contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
BKNG260410P00102000,2026-03-31 14:55:40+00:00,102.0,0.01,,0.15,0.0,0.0,,575.0,2.3242229394531244,False,REGULAR,USD
BKNG260410P00106000,2026-04-02 16:12:46+00:00,106.0,0.02,,0.05,0.0,0.0,,850.0,1.8984380078125,False,REGULAR,USD
BKNG260410P00108000,2026-04-01 18:54:05+00:00,108.0,0.01,,0.05,0.0,0.0,,625.0,1.8281258593749998,False,REGULAR,USD
BKNG260410P00112000,2026-03-31 14:58:37+00:00,112.0,0.01,,0.05,0.0,0.0,,400.0,1.703126484375,False,REGULAR,USD
BKNG260410P00112800,2026-04-02 18:59:25+00:00,112.8,0.16,,8.0,0.0,0.0,,250.0,4.97754284057617,False,REGULAR,USD
BKNG260410P00113600,2026-04-02 18:59:25+00:00,113.6,0.16,,0.05,0.0,0.0,,575.0,1.65625171875,False,REGULAR,USD
BKNG260410P00114400,2026-04-02 19:07:35+00:00,114.4,0.02,,8.0,0.0,0.0,,75.0,4.865726574096678,False,REGULAR,USD
BKNG260410P00116000,2026-04-02 19:08:01+00:00,116.0,0.02,,8.0,0.0,0.0,,125.0,4.754886868896483,False,REGULAR,USD
BKNG260410P00117600,2026-03-31 15:06:31+00:00,117.6,0.02,,8.0,0.0,0.0,,50.0,4.645512005615235,False,REGULAR,USD
BKNG260410P00118000,2026-04-01 15:26:02+00:00,118.0,0.01,,8.0,0.0,0.0,,200.0,4.618168289794921,False,REGULAR,USD
BKNG260410P00119200,2026-04-01 15:27:16+00:00,119.2,0.02,,8.0,0.0,0.0,,,4.5376019842529285,False,REGULAR,USD
BKNG260410P00120000,2026-04-02 19:08:12+00:00,120.0,0.03,,0.05,0.0,0.0,,500.0,1.4609401953124999,False,REGULAR,USD
BKNG260410P00120800,2026-04-01 17:47:14+00:00,120.8,0.16,,0.05,0.0,0.0,,50.0,1.4375028125,False,REGULAR,USD
BKNG260410P00121600,2026-04-01 17:47:14+00:00,121.6,0.16,,0.05,0.0,0.0,,25.0,1.4140654296875002,False,REGULAR,USD
BKNG260410P00122400,2026-03-31 15:49:48+00:00,122.4,0.03,,0.05,0.0,0.0,,100.0,1.3906280468749999,False,REGULAR,USD
BKNG260410P00123200,2026-04-01 16:38:04+00:00,123.2,0.02,,0.05,0.0,0.0,,25.0,1.3671906640625,False,REGULAR,USD
BKNG260410P00124000,2026-04-01 19:35:47+00:00,124.0,0.03,,0.05,0.0,0.0,,100.0,1.3476595117187498,False,REGULAR,USD
BKNG260410P00124800,2026-04-01 19:09:09+00:00,124.8,0.04,,0.05,0.0,0.0,,25.0,1.32422212890625,False,REGULAR,USD
BKNG260410P00125600,2026-04-01 14:01:06+00:00,125.6,0.1,,0.05,0.0,0.0,,100.0,1.3046909765624997,False,REGULAR,USD
BKNG260410P00126400,2026-04-02 14:57:13+00:00,126.4,0.02,,0.05,0.0,0.0,,75.0,1.2812535937499998,False,REGULAR,USD
BKNG260410P00127200,2026-04-01 16:35:28+00:00,127.2,0.04,,0.05,0.0,0.0,,25.0,1.2578162109375,False,REGULAR,USD
BKNG260410P00128000,2026-04-01 13:30:15+00:00,128.0,0.2,,0.05,0.0,0.0,,75.0,1.2343788281249999,False,REGULAR,USD
BKNG260410P00128800,2026-03-26 15:53:09+00:00,128.8,0.16,,0.05,0.0,0.0,,,1.2109414453124998,False,REGULAR,USD
BKNG260410P00129600,2026-04-01 19:25:53+00:00,129.6,0.09,,0.05,0.0,0.0,,125.0,1.19141029296875,False,REGULAR,USD
BKNG260410P00130400,2026-03-30 19:12:07+00:00,130.4,0.1,,0.05,0.0,0.0,,100.0,1.1679729101562502,False,REGULAR,USD
BKNG260410P00131200,2026-03-27 14:03:53+00:00,131.2,0.25,,0.05,0.0,0.0,,100.0,1.1484417578125,False,REGULAR,USD
BKNG260410P00132000,2026-04-01 19:59:07+00:00,132.0,0.1,,0.05,0.0,0.0,,1375.0,1.125004375,False,REGULAR,USD
BKNG260410P00132800,2026-04-02 16:15:34+00:00,132.8,0.09,,0.05,0.0,0.0,,75.0,1.1015669921875002,False,REGULAR,USD
BKNG260410P00133600,2026-04-02 16:54:33+00:00,133.6,0.18,,8.0,0.0,0.0,,25.0,3.6123056567382816,False,REGULAR,USD
BKNG260410P00134400,2026-03-30 13:52:12+00:00,134.4,0.52,,8.0,0.0,0.0,,25.0,3.562989373779297,False,REGULAR,USD
BKNG260410P00135200,2026-04-01 15:54:33+00:00,135.2,0.06,,8.0,0.0,0.0,,50.0,3.514161370849609,False,REGULAR,USD
BKNG260410P00136000,2026-04-02 19:26:30+00:00,136.0,0.18,,0.1,0.0,0.0,,500.0,1.1171919140625,False,REGULAR,USD
BKNG260410P00136800,2026-04-02 19:37:14+00:00,136.8,0.21,,8.0,0.0,0.0,,25.0,3.416505364990234,False,REGULAR,USD
BKNG260410P00137600,2026-04-02 19:55:34+00:00,137.6,0.12,,8.0,0.0,0.0,,100.0,3.3676773620605465,False,REGULAR,USD
BKNG260410P00138400,2026-03-10 14:13:37+00:00,138.4,0.6,,8.0,0.0,0.0,,25.0,3.319337639160156,False,REGULAR,USD
BKNG260410P00139200,2026-04-02 19:50:00+00:00,139.2,0.13,,8.0,0.0,0.0,,25.0,3.2709979162597658,False,REGULAR,USD
BKNG260410P00140000,2026-04-06 16:37:33+00:00,140.0,0.05,,0.05,0.0,0.0,,176.0,0.914063359375,False,REGULAR,USD
BKNG260410P00140800,2026-03-30 14:40:36+00:00,140.8,0.42,,8.0,0.0,0.0,,25.0,3.1748067504882815,False,REGULAR,USD
BKNG260410P00142000,2026-04-02 17:39:14+00:00,142.0,0.19,,8.0,0.0,0.0,,50.0,3.10302958618164,False,REGULAR,USD
BKNG260410P00143200,2026-03-13 13:49:16+00:00,143.2,0.69,,8.0,0.0,0.0,,25.0,3.0314965618896483,False,REGULAR,USD
BKNG260410P00144000,2026-04-02 19:43:22+00:00,144.0,0.17,,8.0,0.0,0.0,,225.0,2.983889259033203,False,REGULAR,USD
BKNG260410P00144800,2026-03-27 17:38:43+00:00,144.8,0.84,,8.0,0.0,0.0,,50.0,2.9365260961914066,False,REGULAR,USD
BKNG260410P00146400,2026-04-06 13:34:06+00:00,146.4,3.95,,8.0,0.0,0.0,,25.0,2.841799770507812,False,REGULAR,USD
BKNG260410P00147200,2026-04-06 14:00:00+00:00,147.2,0.05,,8.0,0.0,0.0,,65.0,2.794436607666016,False,REGULAR,USD
BKNG260410P00148000,2026-04-06 19:28:13+00:00,148.0,0.13,,4.0,0.0,0.0,,192.0,1.9907227026367185,False,REGULAR,USD
BKNG260410P00148800,2026-03-31 18:28:59+00:00,148.8,0.51,,8.0,0.0,0.0,,100.0,2.7001985620117184,False,REGULAR,USD
BKNG260410P00149600,2026-03-30 16:19:28+00:00,149.6,0.96,,8.0,0.0,0.0,,25.0,2.653323679199219,False,REGULAR,USD
BKNG260410P00150000,2026-04-06 18:42:35+00:00,150.0,0.1,,0.25,0.0,0.0,,364.0,0.852540537109375,False,REGULAR,USD
BKNG260410P00150400,2026-04-06 19:59:01+00:00,150.4,0.05,,8.0,0.0,0.0,,957.0,2.6064487963867187,False,REGULAR,USD
BKNG260410P00151200,2026-04-06 17:19:46+00:00,151.2,0.11,,8.0,0.0,0.0,,56.0,2.55932977355957,False,REGULAR,USD
BKNG260410P00152000,2026-04-07 14:17:11+00:00,152.0,0.1,,3.4,0.020000003,25.000004,2.0,1062.0,1.6709000830078127,False,REGULAR,USD
BKNG260410P00152800,2026-04-06 17:51:07+00:00,152.8,0.05,,7.0,0.0,0.0,,120.0,2.2944378576660154,False,REGULAR,USD
BKNG260410P00153600,2026-04-06 17:20:52+00:00,153.6,0.11,,8.0,0.0,0.0,,86.0,2.4184609851074215,False,REGULAR,USD
BKNG260410P00154000,2026-04-07 14:43:19+00:00,154.0,0.2,0.05,0.3,-0.32999998,-62.264153,36.0,361.0,0.6835969140625001,False,REGULAR,USD
BKNG260410P00154400,2026-04-07 13:41:45+00:00,154.4,0.17,0.05,1.35,-0.44,-72.13115,4.0,272.0,0.9116219775390625,False,REGULAR,USD
BKNG260410P00155200,2026-04-07 13:50:37+00:00,155.2,0.2,0.05,2.1,-0.00999999,-4.7619004,32.0,405.0,0.9975586181640624,False,REGULAR,USD
BKNG260410P00156000,2026-04-07 14:11:35+00:00,156.0,0.15,0.05,1.4,-0.019999996,-11.764703,15.0,260.0,0.8627943408203125,False,REGULAR,USD
BKNG260410P00156800,2026-04-07 13:48:30+00:00,156.8,0.61,0.05,0.6,0.41000003,205.00003,4.0,804.0,0.6835969140625001,False,REGULAR,USD
BKNG260410P00157600,2026-04-07 13:49:17+00:00,157.6,0.27,0.05,4.8,0.07000001,35.000004,8.0,177.0,1.2109414453124998,False,REGULAR,USD
BKNG260410P00158000,2026-04-07 14:42:16+00:00,158.0,0.27,0.05,0.5,0.14000002,107.69233,40.0,105.0,0.62305064453125,False,REGULAR,USD
BKNG260410P00158400,2026-04-07 15:15:57+00:00,158.4,0.25,0.05,0.5,-0.25,-50.0,10.0,275.0,0.6103554589843752,False,REGULAR,USD
BKNG260410P00159200,2026-04-07 13:53:14+00:00,159.2,0.45,0.05,0.55,0.21,87.5,24.0,35.0,0.5971719970703125,False,REGULAR,USD
BKNG260410P00160000,2026-04-07 15:34:40+00:00,160.0,0.2,0.05,0.6,-0.08999999,-31.034481,23.0,884.0,0.5830119824218749,False,REGULAR,USD
BKNG260410P00160800,2026-04-07 13:55:23+00:00,160.8,0.4,0.2,0.55,-0.099999994,-19.999998,8.0,56.0,0.577152666015625,False,REGULAR,USD
BKNG260410P00161200,2026-04-07 14:42:16+00:00,161.2,0.49,0.25,0.6,0.21000001,75.0,35.0,21.0,0.5820354296875,False,REGULAR,USD
BKNG260410P00161600,2026-04-07 13:31:58+00:00,161.6,0.5,0.1,1.2,-2.18,-81.343285,1.0,25.0,0.6391637646484375,False,REGULAR,USD
BKNG260410P00162000,2026-04-06 19:28:13+00:00,162.0,0.26,0.1,2.0,0.0,0.0,,342.0,0.727541787109375,False,REGULAR,USD
BKNG260410P00162400,2026-04-06 17:36:25+00:00,162.4,0.35,0.05,8.0,0.0,0.0,,35.0,1.2690466235351558,False,REGULAR,USD
BKNG260410P00162800,2026-04-06 18:04:08+00:00,162.8,0.25,0.1,8.0,0.0,0.0,,20.0,1.2524451440429685,False,REGULAR,USD
BKNG260410P00163200,2026-04-07 14:38:15+00:00,163.2,1.0,0.3,0.95,0.55,122.22223,2.0,567.0,0.5747112841796875,False,REGULAR,USD
BKNG260410P00163600,2026-04-06 17:50:07+00:00,163.6,0.5,0.05,1.95,0.0,0.0,,155.0,0.6530796411132813,False,REGULAR,USD
BKNG260410P00164000,2026-04-07 14:15:54+00:00,164.0,0.65,0.35,1.65,0.120000005,22.64151,11.0,354.0,0.6372106591796876,False,REGULAR,USD
BKNG260410P00164400,2026-04-06 19:48:12+00:00,164.4,0.5,0.05,3.3,0.0,0.0,,53.0,0.7597680273437502,False,REGULAR,USD
BKNG260410P00164800,2026-04-06 13:43:34+00:00,164.8,1.2,0.05,5.0,0.0,0.0,,801.0,0.8955088574218748,False,REGULAR,USD
