,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.03,3312752,264374174,-0.00029999999
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,2788231,222514775,0.0225
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Index Fund,0.0216,2384091,190262382,-0.0422
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Value Index Fund,0.0139,1537062,122665233,-0.0352
4,2026-01-31,Invesco Exchange-Traded Fund Trust-Invesco S&P 500 Equal Weight ETF,0.013200001,1455006,116116754,0.0583
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,1421750,113462759,-0.0105
6,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,1407284,112308300,0.0017
7,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0119,1314162,104876698,-0.0182
8,2026-01-31,VANGUARD WINDSOR FUNDS-Vanguard Windsor Fund,0.011,1212389,96754704,0.33130002
9,2026-01-31,John Hancock Funds III-Disciplined Value Mid Cap Fund,0.0108,1192792,95190765,0.0
