,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,12845000000.0,13942000000.0,12651000000.0,11948000000.0,
Repurchase Of Capital Stock,0.0,0.0,-5155000000.0,-8001000000.0,
Repayment Of Debt,-10940000000.0,-5873000000.0,-3999000000.0,-11431000000.0,
Issuance Of Debt,5765000000.0,15969000000.0,4455000000.0,6120000000.0,
Capital Expenditure,-1311000000.0,-1248000000.0,-1209000000.0,-1118000000.0,
End Cash Position,10218000000.0,10347000000.0,11519000000.0,9325000000.0,
Beginning Cash Position,10347000000.0,11519000000.0,9325000000.0,14316000000.0,
Effect Of Exchange Rate Changes,195000000.0,-137000000.0,45000000.0,-33000000.0,
Changes In Cash,-324000000.0,-1035000000.0,2149000000.0,-4958000000.0,
Financing Cash Flow,-10348000000.0,5127000000.0,-9416000000.0,-16962000000.0,
Cash Flow From Continuing Financing Activities,-10348000000.0,5127000000.0,-9416000000.0,-16962000000.0,
Net Other Financing Charges,,,,,641000000.0
Proceeds From Stock Option Exercised,-128000000.0,-106000000.0,27000000.0,984000000.0,
Cash Dividends Paid,-5045000000.0,-4863000000.0,-4744000000.0,-4634000000.0,
Common Stock Dividend Paid,-5045000000.0,-4863000000.0,-4744000000.0,-4634000000.0,
Net Common Stock Issuance,0.0,0.0,-5155000000.0,-8001000000.0,
Common Stock Payments,0.0,0.0,-5155000000.0,-8001000000.0,
Net Issuance Payments Of Debt,-5175000000.0,10096000000.0,456000000.0,-5311000000.0,
Net Short Term Debt Issuance,25000000.0,86000000.0,-120000000.0,194000000.0,
Short Term Debt Payments,0.0,-3000000000.0,-120000000.0,0.0,
Short Term Debt Issuance,25000000.0,3086000000.0,0.0,194000000.0,
Net Long Term Debt Issuance,-5200000000.0,10010000000.0,576000000.0,-5505000000.0,
Long Term Debt Payments,-10940000000.0,-2873000000.0,-3879000000.0,-11431000000.0,
Long Term Debt Issuance,5740000000.0,12883000000.0,4455000000.0,5926000000.0,
Investing Cash Flow,-4132000000.0,-21352000000.0,-2295000000.0,-1062000000.0,
Cash Flow From Continuing Investing Activities,-4132000000.0,-21352000000.0,-2295000000.0,-1062000000.0,
Net Investment Purchase And Sale,52000000.0,618000000.0,-826000000.0,3037000000.0,
Sale Of Investment,2052000000.0,1387000000.0,948000000.0,6629000000.0,
Purchase Of Investment,-2000000000.0,-769000000.0,-1774000000.0,-3592000000.0,
Net Business Purchase And Sale,-2873000000.0,-20722000000.0,-260000000.0,-2981000000.0,
Sale Of Business,1071000000.0,1099000000.0,909000000.0,1305000000.0,
Purchase Of Business,-3944000000.0,-21821000000.0,-1169000000.0,-4286000000.0,
Capital Expenditure Reported,-1311000000.0,-1248000000.0,-1209000000.0,-1118000000.0,
Operating Cash Flow,14156000000.0,15190000000.0,13860000000.0,13066000000.0,
Cash Flow From Continuing Operating Activities,14156000000.0,15190000000.0,13860000000.0,13066000000.0,
Change In Working Capital,-455000000.0,810000000.0,-1914000000.0,-2229000000.0,
Change In Other Working Capital,30000000.0,2108000000.0,237000000.0,-183000000.0,
Change In Payables And Accrued Expense,-6000000.0,-1076000000.0,-405000000.0,-1314000000.0,
Change In Payable,-6000000.0,-1076000000.0,-405000000.0,-1314000000.0,
Change In Account Payable,-2000000.0,184000000.0,198000000.0,109000000.0,
Change In Tax Payable,-4000000.0,-1260000000.0,-603000000.0,-1423000000.0,
Change In Income Tax Payable,-4000000.0,-1260000000.0,-603000000.0,-1423000000.0,
Change In Inventory,-184000000.0,-486000000.0,-751000000.0,-69000000.0,
Change In Receivables,-295000000.0,264000000.0,-995000000.0,-663000000.0,
Other Non Cash Items,4304000000.0,13467000000.0,1213000000.0,1038000000.0,
Stock Based Compensation,553000000.0,507000000.0,518000000.0,457000000.0,
Asset Impairment Charge,1098000000.0,2963000000.0,255000000.0,179000000.0,
Deferred Tax,-965000000.0,-2089000000.0,-3288000000.0,-2738000000.0,
Deferred Income Tax,-965000000.0,-2089000000.0,-3288000000.0,-2738000000.0,
Depreciation Amortization Depletion,4011000000.0,9600000000.0,9760000000.0,10276000000.0,
Depreciation And Amortization,4011000000.0,9600000000.0,9760000000.0,10276000000.0,
Operating Gains Losses,-1445000000.0,-1135000000.0,-724000000.0,-262000000.0,
Pension And Employee Benefit Expense,,,,,35000000.0
Earnings Losses From Equity Investments,-280000000.0,-16000000.0,160000000.0,801000000.0,
Gain Loss On Sale Of Business,-1165000000.0,-1119000000.0,-884000000.0,-1063000000.0,
Net Income From Continuing Operations,7055000000.0,-8933000000.0,8040000000.0,6345000000.0,
