,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,1056400000.0,943200000.0,748100000.0,370400000.0,
Repurchase Of Capital Stock,-134900000.0,-485400000.0,-24300000.0,-22800000.0,
Repayment Of Debt,-1342500000.0,-1082700000.0,-1375000000.0,-765500000.0,
Issuance Of Debt,1238100000.0,1022700000.0,990000000.0,670000000.0,
Capital Expenditure,-114900000.0,-113000000.0,-75200000.0,-73100000.0,
Interest Paid Supplemental Data,131500000.0,143000000.0,136600000.0,82300000.0,
Income Tax Paid Supplemental Data,279800000.0,240200000.0,180200000.0,77400000.0,
End Cash Position,561500000.0,304400000.0,252300000.0,224700000.0,
Beginning Cash Position,304400000.0,252300000.0,224700000.0,274500000.0,
Effect Of Exchange Rate Changes,2800000.0,-600000.0,-600000.0,-12200000.0,
Changes In Cash,254300000.0,52700000.0,28200000.0,-37600000.0,
Financing Cash Flow,-600800000.0,-855500000.0,-714700000.0,-370800000.0,
Cash Flow From Continuing Financing Activities,-600900000.0,-855500000.0,-714700000.0,-370800000.0,
Net Other Financing Charges,-21500000.0,-14300000.0,-17500000.0,-22000000.0,
Proceeds From Stock Option Exercised,62300000.0,72400000.0,43100000.0,60200000.0,
Cash Dividends Paid,-402300000.0,-368200000.0,-331000000.0,-290700000.0,
Common Stock Dividend Paid,-402300000.0,-368200000.0,-331000000.0,-290700000.0,
Net Common Stock Issuance,-134900000.0,-485400000.0,-24300000.0,-22800000.0,
Common Stock Payments,-134900000.0,-485400000.0,-24300000.0,-22800000.0,
Net Issuance Payments Of Debt,-104400000.0,-60000000.0,-385000000.0,-95500000.0,
Net Long Term Debt Issuance,-104400000.0,-60000000.0,-385000000.0,-95500000.0,
Long Term Debt Payments,-1342500000.0,-1082700000.0,-1375000000.0,-765500000.0,
Long Term Debt Issuance,1238100000.0,1022700000.0,990000000.0,670000000.0,
Investing Cash Flow,-316200000.0,-148000000.0,-80400000.0,-110400000.0,
Cash Flow From Continuing Investing Activities,-316200000.0,-148100000.0,-80500000.0,-110400000.0,
Net Other Investing Changes,-7800000.0,-700000.0,-5200000.0,-24000000.0,
Net Investment Purchase And Sale,,,0.0,0.0,66700000.0
Sale Of Investment,,,0.0,0.0,66700000.0
Net Business Purchase And Sale,-193500000.0,-34300000.0,0.0,-13300000.0,
Purchase Of Business,-193500000.0,-34300000.0,0.0,-13300000.0,
Net Intangibles Purchase And Sale,-71100000.0,-55600000.0,-36800000.0,-44100000.0,
Purchase Of Intangibles,-71100000.0,-55600000.0,-36800000.0,-44100000.0,
Capital Expenditure Reported,-43800000.0,-57400000.0,-38400000.0,-29000000.0,
Operating Cash Flow,1171300000.0,1056200000.0,823300000.0,443500000.0,
Cash Flow From Continuing Operating Activities,1171300000.0,1056200000.0,823300000.0,443400000.0,
Change In Working Capital,-224600000.0,-31200000.0,-229700000.0,-700400000.0,
Change In Other Working Capital,56500000.0,80600000.0,328500000.0,109500000.0,
Change In Other Current Liabilities,-12800000.0,24300000.0,9100000.0,-13100000.0,
Change In Other Current Assets,-153600000.0,-235200000.0,-482400000.0,-684700000.0,
Change In Payables And Accrued Expense,-146500000.0,136500000.0,-104500000.0,-26700000.0,
Change In Receivables,31800000.0,-37400000.0,19600000.0,-85400000.0,
Changes In Account Receivables,31800000.0,-37400000.0,19600000.0,-85400000.0,
Other Non Cash Items,146400000.0,100100000.0,98800000.0,113600000.0,
Stock Based Compensation,73400000.0,70600000.0,73100000.0,68400000.0,
Asset Impairment Charge,14500000.0,18200000.0,2500000.0,39500000.0,
Deferred Tax,-5200000.0,-119700000.0,-50800000.0,50700000.0,
Deferred Income Tax,-5200000.0,-119700000.0,-50800000.0,50700000.0,
Depreciation Amortization Depletion,327300000.0,320100000.0,298800000.0,332600000.0,
Depreciation And Amortization,327300000.0,320100000.0,298800000.0,332600000.0,
Amortization Cash Flow,196600000.0,200300000.0,214400000.0,289300000.0,
Amortization Of Intangibles,196600000.0,200300000.0,214400000.0,289300000.0,
Depreciation,130700000.0,119800000.0,84400000.0,43300000.0,
Operating Gains Losses,,,,,-66700000.0
Gain Loss On Investment Securities,,,,,-66700000.0
Net Income From Continuing Operations,839500000.0,698100000.0,630600000.0,539100000.0,
