,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1289,15052123,2424746438,-0.0159
1,2025-12-31,Blackrock Inc.,0.090100005,10524638,1695413896,0.0112
2,2025-12-31,State Street Corporation,0.0513,5994841,965708914,0.0669
3,2025-12-31,Morgan Stanley,0.0349,4072181,655987622,-0.096
4,2025-12-31,Alliancebernstein L.P.,0.0312,3646884,587476530,-0.0119
5,2025-12-31,"Geode Capital Management, LLC",0.0287,3354869,540435834,0.0037
6,2025-12-31,Price (T.Rowe) Associates Inc,0.026199998,3060010,492936999,-0.1471
7,2025-12-31,Janus Henderson Group PLC,0.0226,2634928,424460541,-0.1549
8,2025-12-31,Barclays Plc,0.0172,2007968,323463557,0.0178
9,2025-12-31,"Mitsubishi UFJ Asset Management Co., Ltd.",0.016,1865995,300593127,-0.0184
