,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-33872000.0,-93972000.0,-34452000.0,-162602000.0,
Tax Rate For Calcs,0.146,0.191,0.198,0.389,
Normalized EBITDA,5334000000.0,4348000000.0,3620000000.0,3165000000.0,
Total Unusual Items,-232000000.0,-492000000.0,-174000000.0,-418000000.0,
Total Unusual Items Excluding Goodwill,-232000000.0,-492000000.0,-174000000.0,-418000000.0,
Net Income From Continuing Operation Net Minority Interest,2898000000.0,1854000000.0,1593000000.0,698000000.0,
Reconciled Depreciation,1368000000.0,1269000000.0,1196000000.0,1136000000.0,
Reconciled Cost Of Revenue,5750000000.0,4844000000.0,3977000000.0,3623000000.0,
EBITDA,5102000000.0,3856000000.0,3446000000.0,2747000000.0,
EBIT,3734000000.0,2587000000.0,2250000000.0,1611000000.0,
Net Interest Income,-320000000.0,-198000000.0,-243000000.0,-460000000.0,
Interest Expense,349000000.0,305000000.0,265000000.0,470000000.0,
Interest Income,29000000.0,107000000.0,22000000.0,10000000.0,
Normalized Income,3096128000.0,2252028000.0,1732548000.0,953398000.0,
Net Income From Continuing And Discontinued Operation,2898000000.0,1854000000.0,1593000000.0,698000000.0,
Total Expenses,16103000000.0,13745000000.0,11823000000.0,10649000000.0,
Total Operating Income As Reported,3613000000.0,2603000000.0,2343000000.0,1649000000.0,
Diluted Average Shares,1494500000.0,1485900000.0,1463500000.0,1439700000.0,
Basic Average Shares,1480400000.0,1471500000.0,1453000000.0,1430500000.0,
Diluted EPS,1.94,1.25,1.07,0.45,
Basic EPS,1.96,1.26,1.08,0.45,
Diluted NI Availto Com Stockholders,2898000000.0,1853000000.0,1570000000.0,642000000.0,
Net Income Common Stockholders,2898000000.0,1853000000.0,1570000000.0,642000000.0,
Preferred Stock Dividends,,,23000000.0,55000000.0,55000000.0
Net Income,2898000000.0,1854000000.0,1593000000.0,698000000.0,
Minority Interests,6000000.0,8000000.0,1000000.0,0.0,
Net Income Including Noncontrolling Interests,2892000000.0,1846000000.0,1592000000.0,698000000.0,
Net Income Continuous Operations,2892000000.0,1846000000.0,1592000000.0,698000000.0,
Tax Provision,493000000.0,436000000.0,393000000.0,443000000.0,
Pretax Income,3385000000.0,2282000000.0,1985000000.0,1141000000.0,
Other Income Expense,-267000000.0,-521000000.0,-188000000.0,-434000000.0,
Other Non Operating Income Expenses,-35000000.0,-29000000.0,-14000000.0,-16000000.0,
Special Income Charges,-359000000.0,-397000000.0,-74000000.0,-386000000.0,
Gain On Sale Of Business,,0.0,0.0,-22000000.0,78000000.0
Other Special Charges,194000000.0,,-111000000.0,173000000.0,430000000.0
Impairment Of Capital Assets,46000000.0,386000000.0,58000000.0,132000000.0,
Restructuring And Mergern Acquisition,119000000.0,11000000.0,127000000.0,59000000.0,
Gain On Sale Of Security,127000000.0,-95000000.0,-100000000.0,-32000000.0,
Net Non Operating Interest Income Expense,-320000000.0,-198000000.0,-243000000.0,-460000000.0,
Interest Expense Non Operating,349000000.0,305000000.0,265000000.0,470000000.0,
Interest Income Non Operating,29000000.0,107000000.0,22000000.0,10000000.0,
Operating Income,3971000000.0,3002000000.0,2417000000.0,2034000000.0,
Operating Expense,9882000000.0,8488000000.0,7478000000.0,6693000000.0,
Other Operating Expenses,46000000.0,33000000.0,46000000.0,47000000.0,
Depreciation Amortization Depletion Income Statement,897000000.0,856000000.0,828000000.0,803000000.0,
Depreciation And Amortization In Income Statement,897000000.0,856000000.0,828000000.0,803000000.0,
Amortization,897000000.0,856000000.0,828000000.0,803000000.0,
Amortization Of Intangibles Income Statement,897000000.0,856000000.0,828000000.0,803000000.0,
Research And Development,2052000000.0,1615000000.0,1414000000.0,1323000000.0,
Selling General And Administration,6887000000.0,5984000000.0,5190000000.0,4520000000.0,
Gross Profit,13853000000.0,11490000000.0,9895000000.0,8727000000.0,
Cost Of Revenue,6221000000.0,5257000000.0,4345000000.0,3956000000.0,
Total Revenue,20074000000.0,16747000000.0,14240000000.0,12682000000.0,
Operating Revenue,20074000000.0,16747000000.0,14240000000.0,12682000000.0,
