,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,295731478.0,297561943.0,299584021.0,299584021.0,302052229.0,
Share Issued,295731478.0,297561943.0,299584021.0,299584021.0,302052229.0,
Net Debt,5722000000.0,5437000000.0,5810000000.0,5267000000.0,3073000000.0,
Total Debt,9991000000.0,9481000000.0,9540000000.0,8863000000.0,5694000000.0,
Tangible Book Value,-1145000000.0,-295000000.0,-642000000.0,-475000000.0,492000000.0,
Invested Capital,16464000000.0,15641000000.0,15458000000.0,14931000000.0,12598000000.0,
Working Capital,1169000000.0,1421000000.0,1337000000.0,-37000000.0,683000000.0,
Net Tangible Assets,-1145000000.0,-295000000.0,-642000000.0,-475000000.0,492000000.0,
Capital Lease Obligations,2405000000.0,2375000000.0,2335000000.0,2214000000.0,1507000000.0,
Common Stock Equity,8878000000.0,8535000000.0,8253000000.0,8282000000.0,8411000000.0,
Total Capitalization,13928000000.0,12856000000.0,12593000000.0,11489000000.0,11656000000.0,
Total Equity Gross Minority Interest,9626000000.0,9293000000.0,8993000000.0,9004000000.0,9192000000.0,
Minority Interest,748000000.0,758000000.0,740000000.0,722000000.0,781000000.0,
Stockholders Equity,8878000000.0,8535000000.0,8253000000.0,8282000000.0,8411000000.0,
Gains Losses Not Affecting Retained Earnings,-1041000000.0,-1280000000.0,-1143000000.0,-1107000000.0,-1159000000.0,
Other Equity Adjustments,,-1280000000.0,-1143000000.0,-1107000000.0,,-895000000.0
Foreign Currency Translation Adjustments,-1040000000.0,,,,-1046000000.0,
Minimum Pension Liabilities,-1000000.0,,,,-113000000.0,
Retained Earnings,9916000000.0,9768000000.0,9393000000.0,9386000000.0,9567000000.0,
Additional Paid In Capital,0.0,44000000.0,0.0,0.0,0.0,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,
Total Liabilities Net Minority Interest,21251000000.0,19273000000.0,18700000000.0,17362000000.0,15191000000.0,
Total Non Current Liabilities Net Minority Interest,8931000000.0,8121000000.0,8077000000.0,6494000000.0,5904000000.0,
Other Non Current Liabilities,1339000000.0,1279000000.0,1251000000.0,935000000.0,945000000.0,
Preferred Securities Outside Stock Equity,,,408000000.0,371000000.0,,
Tradeand Other Payables Non Current,183000000.0,181000000.0,175000000.0,167000000.0,160000000.0,
Non Current Deferred Liabilities,238000000.0,242000000.0,258000000.0,245000000.0,247000000.0,
Non Current Deferred Taxes Liabilities,238000000.0,242000000.0,258000000.0,245000000.0,247000000.0,
