,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.0986,27231070,7543823288,0.0114
1,2025-12-31,Blackrock Inc.,0.0947,26146775,7243441046,-0.0932
2,2025-12-31,State Street Corporation,0.0456,12603368,3491511021,0.0108
3,2025-12-31,"FMR, LLC",0.0358,9883842,2738120737,0.048699997
4,2025-12-31,Jennison Associates LLC,0.0279,7715550,2137438807,-0.1164
5,2025-12-31,"Geode Capital Management, LLC",0.0276,7627272,2112983152,0.012200001
6,2025-12-31,JPMORGAN CHASE & CO,0.018,4975671,1378410131,-0.4976
7,2025-12-31,Massachusetts Financial Services Co.,0.0174,4794286,1328161044,-0.0979
8,2025-12-31,NORGES BANK,0.015700001,4328242,1199052875,0.12020001
9,2025-12-31,Alliancebernstein L.P.,0.014400001,3962737,1097797026,-0.142
