,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1288000000.0,-5029000000.0,-7723000000.0,-4042000000.0,
Repurchase Of Capital Stock,-400000000.0,-999000000.0,-992000000.0,0.0,
Repayment Of Debt,-1076000000.0,-1965000000.0,-368000000.0,-2600000000.0,
Issuance Of Debt,1650000000.0,1120000000.0,3880000000.0,271000000.0,
Capital Expenditure,-2949000000.0,-2565000000.0,-2422000000.0,-1689000000.0,
Interest Paid Supplemental Data,412000000.0,375000000.0,264000000.0,230000000.0,
Income Tax Paid Supplemental Data,446000000.0,436000000.0,466000000.0,287000000.0,
End Cash Position,3748000000.0,3129000000.0,454000000.0,528000000.0,
Beginning Cash Position,3129000000.0,454000000.0,528000000.0,576000000.0,
Changes In Cash,619000000.0,2675000000.0,-74000000.0,-48000000.0,
Financing Cash Flow,-420000000.0,-2289000000.0,2196000000.0,-799000000.0,
Cash Flow From Continuing Financing Activities,-420000000.0,-2289000000.0,2196000000.0,-799000000.0,
Net Other Financing Charges,-108000000.0,-1000000.0,42000000.0,1715000000.0,
Cash Dividends Paid,-486000000.0,-444000000.0,-366000000.0,-185000000.0,
Common Stock Dividend Paid,-486000000.0,-444000000.0,-366000000.0,-185000000.0,
Net Common Stock Issuance,-400000000.0,-999000000.0,-992000000.0,0.0,
Common Stock Payments,-400000000.0,-999000000.0,-992000000.0,0.0,
Net Issuance Payments Of Debt,574000000.0,-845000000.0,3512000000.0,-2329000000.0,
Net Short Term Debt Issuance,1650000000.0,-1644000000.0,485000000.0,-923000000.0,
Short Term Debt Payments,0.0,-1844000000.0,-200000000.0,-1180000000.0,
Short Term Debt Issuance,1650000000.0,200000000.0,685000000.0,257000000.0,
Net Long Term Debt Issuance,-1076000000.0,799000000.0,3027000000.0,-1406000000.0,
Long Term Debt Payments,-1076000000.0,-121000000.0,-168000000.0,-1420000000.0,
Long Term Debt Issuance,0.0,920000000.0,3195000000.0,14000000.0,
Investing Cash Flow,-3198000000.0,7428000000.0,3031000000.0,3104000000.0,
Cash Flow From Continuing Investing Activities,-3198000000.0,7428000000.0,3031000000.0,3104000000.0,
Net Other Investing Changes,89000000.0,10270000000.0,5681000000.0,5014000000.0,
Net Investment Purchase And Sale,-338000000.0,-277000000.0,-228000000.0,-221000000.0,
Sale Of Investment,6946000000.0,6005000000.0,5822000000.0,4050000000.0,
Purchase Of Investment,-7284000000.0,-6282000000.0,-6050000000.0,-4271000000.0,
Capital Expenditure Reported,-2949000000.0,-2565000000.0,-2422000000.0,-1689000000.0,
Operating Cash Flow,4237000000.0,-2464000000.0,-5301000000.0,-2353000000.0,
Cash Flow From Continuing Operating Activities,4237000000.0,-2464000000.0,-5301000000.0,-2353000000.0,
Change In Working Capital,-7000000.0,-9168000000.0,-8355000000.0,-5246000000.0,
Change In Other Working Capital,174000000.0,-10878000000.0,-7481000000.0,-5292000000.0,
Change In Payables And Accrued Expense,316000000.0,1121000000.0,-1330000000.0,1142000000.0,
Change In Payable,,,,,346000000.0
Change In Account Payable,,,,,346000000.0
Change In Inventory,-134000000.0,-99000000.0,60000000.0,-228000000.0,
Change In Receivables,-363000000.0,688000000.0,396000000.0,-868000000.0,
Changes In Account Receivables,-363000000.0,688000000.0,396000000.0,-868000000.0,
Other Non Cash Items,-505000000.0,2356000000.0,-870000000.0,61000000.0,
Unrealized Gain Loss On Investment Securities,,,,,160000000.0
Asset Impairment Charge,,,,0.0,545000000.0
Deferred Tax,273000000.0,222000000.0,251000000.0,-643000000.0,
Deferred Income Tax,273000000.0,222000000.0,251000000.0,-643000000.0,
Depreciation Amortization Depletion,1937000000.0,2007000000.0,1883000000.0,1849000000.0,
Depreciation And Amortization,1937000000.0,2007000000.0,1883000000.0,1849000000.0,
Amortization Cash Flow,18000000.0,22000000.0,23000000.0,26000000.0,
Amortization Of Intangibles,18000000.0,22000000.0,23000000.0,26000000.0,
Depreciation,1919000000.0,1985000000.0,1860000000.0,1823000000.0,
Operating Gains Losses,216000000.0,-1619000000.0,213000000.0,1793000000.0,
Gain Loss On Investment Securities,216000000.0,-1619000000.0,213000000.0,1793000000.0,
Net Income From Continuing Operations,2323000000.0,3738000000.0,1577000000.0,-167000000.0,
