,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-12797342.192691,0.0,0.0,-4554000.0,3314087.759815,
Tax Rate For Calcs,0.177741,0.186,0.225197,0.198,0.094688,
Normalized EBITDA,941000000.0,819000000.0,901000000.0,716000000.0,654000000.0,
Total Unusual Items,-72000000.0,0.0,0.0,-23000000.0,35000000.0,
Total Unusual Items Excluding Goodwill,-72000000.0,0.0,0.0,-23000000.0,35000000.0,
Net Income From Continuing Operation Net Minority Interest,404000000.0,353000000.0,386000000.0,312000000.0,328000000.0,
Reconciled Depreciation,228000000.0,217000000.0,232000000.0,221000000.0,221000000.0,
Reconciled Cost Of Revenue,1107000000.0,1027000000.0,1135000000.0,1091000000.0,1000000000.0,
EBITDA,869000000.0,819000000.0,901000000.0,693000000.0,689000000.0,
EBIT,641000000.0,602000000.0,669000000.0,472000000.0,468000000.0,
Net Interest Income,-17000000.0,-18000000.0,-19000000.0,-20000000.0,-14000000.0,
Interest Expense,39000000.0,37000000.0,34000000.0,35000000.0,35000000.0,
Interest Income,24000000.0,23000000.0,17000000.0,17000000.0,23000000.0,
Normalized Income,463202657.807309,353000000.0,386000000.0,330446000.0,296314087.759815,
Net Income From Continuing And Discontinued Operation,404000000.0,353000000.0,386000000.0,312000000.0,328000000.0,
Total Expenses,1191000000.0,1085000000.0,1244000000.0,1189000000.0,1121000000.0,
Total Operating Income As Reported,617000000.0,580000000.0,648000000.0,455000000.0,441000000.0,
Diluted Average Shares,156100000.0,161200000.0,163100000.0,168800000.0,173500000.0,
Basic Average Shares,155900000.0,161000000.0,162900000.0,168600000.0,173200000.0,
Diluted EPS,2.59,2.19,2.37,1.85,1.89,
Basic EPS,2.6,2.19,2.37,1.85,1.89,
Diluted NI Availto Com Stockholders,404000000.0,353000000.0,386000000.0,312000000.0,328000000.0,
Net Income Common Stockholders,404000000.0,353000000.0,386000000.0,312000000.0,328000000.0,
Net Income,404000000.0,353000000.0,386000000.0,312000000.0,328000000.0,
Minority Interests,-91000000.0,-107000000.0,-106000000.0,-39000000.0,-64000000.0,
Net Income Including Noncontrolling Interests,495000000.0,460000000.0,492000000.0,351000000.0,392000000.0,
Net Income Continuous Operations,495000000.0,460000000.0,492000000.0,351000000.0,392000000.0,
Tax Provision,107000000.0,105000000.0,143000000.0,86000000.0,41000000.0,
Pretax Income,602000000.0,565000000.0,635000000.0,437000000.0,433000000.0,
Other Income Expense,,9000000.0,8000000.0,-17000000.0,44000000.0,6000000.0
Other Non Operating Income Expenses,8000000.0,3000000.0,6000000.0,2000000.0,6000000.0,
Special Income Charges,-77000000.0,0.0,0.0,-23000000.0,35000000.0,
Restructuring And Mergern Acquisition,0.0,0.0,0.0,23000000.0,0.0,
Earnings From Equity Interest,2000000.0,6000000.0,2000000.0,4000000.0,3000000.0,
Net Non Operating Interest Income Expense,-17000000.0,-18000000.0,-19000000.0,-20000000.0,-14000000.0,
Total Other Finance Cost,2000000.0,4000000.0,2000000.0,2000000.0,2000000.0,
Interest Expense Non Operating,39000000.0,37000000.0,34000000.0,35000000.0,35000000.0,
Interest Income Non Operating,24000000.0,23000000.0,17000000.0,17000000.0,23000000.0,
Operating Income,681000000.0,574000000.0,646000000.0,474000000.0,403000000.0,
Operating Expense,84000000.0,58000000.0,109000000.0,98000000.0,121000000.0,
Other Operating Expenses,35000000.0,-30000000.0,8000000.0,14000000.0,43000000.0,
Selling General And Administration,91000000.0,88000000.0,101000000.0,84000000.0,78000000.0,
Gross Profit,765000000.0,632000000.0,755000000.0,572000000.0,524000000.0,
Cost Of Revenue,1107000000.0,1027000000.0,1135000000.0,1091000000.0,1000000000.0,
Total Revenue,1872000000.0,1659000000.0,1890000000.0,1663000000.0,1524000000.0,
Operating Revenue,1872000000.0,1659000000.0,1890000000.0,1663000000.0,1524000000.0,
