,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.120699994,51303226,3138218240,0.0023
1,2025-12-31,Blackrock Inc.,0.1073,45580895,2788183263,0.0394
2,2025-12-31,Capital World Investors,0.0868,36886708,2256359860,-0.0108
3,2025-12-31,State Street Corporation,0.0535,22755626,1391961600,-0.0093
4,2025-12-31,Invesco Ltd.,0.0535,22734156,1390648280,-0.0553
5,2025-12-31,"Geode Capital Management, LLC",0.026700001,11361142,694961035,0.0028
6,2025-12-31,Morgan Stanley,0.026400002,11217975,686203510,0.0274
7,2025-12-31,Capital International Investors,0.0188,8000750,489405862,0.32299998
8,2025-12-31,"AQR Capital Management, LLC",0.0182,7722559,472388919,0.5685
9,2025-12-31,Nordea Investment Management AB,0.017,7220986,441707700,0.0753
