,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,-80704600.0,0.0,-85899000.0
Tax Rate For Calcs,0.23,0.226,0.219,0.209
Normalized EBITDA,1299500000.0,1447500000.0,1303500000.0,1242900000.0
Total Unusual Items,0.0,-357100000.0,0.0,-411000000.0
Total Unusual Items Excluding Goodwill,0.0,-357100000.0,0.0,-411000000.0
Net Income From Continuing Operation Net Minority Interest,736800000.0,585300000.0,755600000.0,413900000.0
Reconciled Depreciation,247400000.0,239100000.0,225200000.0,219000000.0
Reconciled Cost Of Revenue,3428400000.0,3317000000.0,3279400000.0,3125600000.0
EBITDA,1299500000.0,1090400000.0,1303500000.0,831900000.0
EBIT,1052100000.0,851300000.0,1078300000.0,612900000.0
Net Interest Income,-71700000.0,-68700000.0,-97900000.0,-85800000.0
Interest Expense,95200000.0,95000000.0,110900000.0,89600000.0
Interest Income,23500000.0,26300000.0,13000000.0,3800000.0
Normalized Income,736800000.0,861695400.0,755600000.0,739001000.0
Net Income From Continuing And Discontinued Operation,736800000.0,585300000.0,755600000.0,413900000.0
Total Expenses,5125600000.0,4942900000.0,4810500000.0,4366800000.0
Total Operating Income As Reported,1077600000.0,807100000.0,1057400000.0,597800000.0
Diluted Average Shares,244300000.0,246900000.0,247600000.0,246300000.0
Basic Average Shares,242700000.0,244400000.0,244900000.0,242900000.0
Diluted EPS,3.02,2.37,3.05,1.68
Basic EPS,3.04,2.39,3.09,1.7
Diluted NI Availto Com Stockholders,736800000.0,585300000.0,755600000.0,413900000.0
Net Income Common Stockholders,736800000.0,585300000.0,755600000.0,413900000.0
Net Income,736800000.0,585300000.0,755600000.0,413900000.0
Net Income Including Noncontrolling Interests,736800000.0,585300000.0,755600000.0,413900000.0
Net Income Continuous Operations,736800000.0,585300000.0,755600000.0,413900000.0
Tax Provision,220100000.0,171000000.0,211800000.0,109400000.0
Pretax Income,956900000.0,756300000.0,967400000.0,523300000.0
Other Income Expense,-49000000.0,-339200000.0,7900000.0,-399700000.0
Other Non Operating Income Expenses,-56900000.0,8800000.0,-800000.0,-1000000.0
Special Income Charges,0.0,-357100000.0,0.0,-411000000.0
Impairment Of Capital Assets,0.0,357100000.0,0.0,411000000.0
Earnings From Equity Interest,7900000.0,9100000.0,8700000.0,12300000.0
Gain On Sale Of Security,,,,3800000.0
Net Non Operating Interest Income Expense,-71700000.0,-68700000.0,-97900000.0,-85800000.0
Interest Expense Non Operating,95200000.0,95000000.0,110900000.0,89600000.0
Interest Income Non Operating,23500000.0,26300000.0,13000000.0,3800000.0
Operating Income,1077600000.0,1164200000.0,1057400000.0,1008800000.0
Operating Expense,1697200000.0,1625900000.0,1531100000.0,1241200000.0
Selling General And Administration,1697200000.0,1625900000.0,1531100000.0,1241200000.0
Selling And Marketing Expense,708900000.0,698100000.0,641300000.0,535200000.0
General And Administrative Expense,988300000.0,927800000.0,889800000.0,706000000.0
Other Gand A,988300000.0,927800000.0,889800000.0,706000000.0
Gross Profit,2774800000.0,2790100000.0,2588500000.0,2250000000.0
Cost Of Revenue,3428400000.0,3317000000.0,3279400000.0,3125600000.0
Total Revenue,6203200000.0,6107100000.0,5867900000.0,5375600000.0
Operating Revenue,6203200000.0,6107100000.0,5867900000.0,5375600000.0
