,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,269000000.0,57000000.0,219000000.0,233000000.0,127000000.0,
Repurchase Of Capital Stock,-127000000.0,-129000000.0,-75000000.0,0.0,-150000000.0,
Capital Expenditure,-42000000.0,-36000000.0,-75000000.0,-53000000.0,-53000000.0,
End Cash Position,229000000.0,169000000.0,170000000.0,229000000.0,294000000.0,
Beginning Cash Position,169000000.0,170000000.0,229000000.0,294000000.0,282000000.0,
Effect Of Exchange Rate Changes,2000000.0,-1000000.0,2000000.0,1000000.0,-5000000.0,
Changes In Cash,,,-61000000.0,-66000000.0,17000000.0,73000000.0
Financing Cash Flow,-210000000.0,-59000000.0,-279000000.0,-299000000.0,-109000000.0,
Cash Flow From Continuing Financing Activities,-210000000.0,-59000000.0,-279000000.0,-299000000.0,-109000000.0,
Net Other Financing Charges,,,0.0,,,
Proceeds From Stock Option Exercised,-21000000.0,7000000.0,-4000000.0,1000000.0,8000000.0,
Cash Dividends Paid,-151000000.0,-151000000.0,-150000000.0,-150000000.0,-151000000.0,
Common Stock Dividend Paid,,-151000000.0,-150000000.0,,,-151000000.0
Net Common Stock Issuance,-127000000.0,-129000000.0,-75000000.0,0.0,-150000000.0,
Common Stock Payments,-127000000.0,-129000000.0,-75000000.0,0.0,-150000000.0,
Net Issuance Payments Of Debt,89000000.0,214000000.0,-50000000.0,-134000000.0,184000000.0,
Net Short Term Debt Issuance,89000000.0,214000000.0,-50000000.0,-134000000.0,184000000.0,
Investing Cash Flow,-43000000.0,-34000000.0,-76000000.0,-53000000.0,-54000000.0,
Cash Flow From Continuing Investing Activities,-43000000.0,-34000000.0,-76000000.0,-53000000.0,-54000000.0,
Net Other Investing Changes,-1000000.0,2000000.0,-1000000.0,0.0,,
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,0.0,
Sale Of Business,0.0,0.0,0.0,0.0,0.0,
Capital Expenditure Reported,-42000000.0,-36000000.0,-75000000.0,-53000000.0,-53000000.0,
Operating Cash Flow,311000000.0,93000000.0,294000000.0,286000000.0,180000000.0,
Cash Flow From Continuing Operating Activities,311000000.0,93000000.0,294000000.0,286000000.0,180000000.0,
Change In Working Capital,67000000.0,-127000000.0,-97000000.0,27000000.0,-86000000.0,
Change In Other Working Capital,12000000.0,-109000000.0,20000000.0,0.0,-58000000.0,
Change In Payables And Accrued Expense,34000000.0,-40000000.0,-37000000.0,51000000.0,-1000000.0,
Change In Prepaid Assets,11000000.0,-41000000.0,19000000.0,11000000.0,-1000000.0,
Change In Inventory,-28000000.0,-55000000.0,117000000.0,-42000000.0,-6000000.0,
Change In Receivables,38000000.0,118000000.0,-216000000.0,7000000.0,-20000000.0,
Other Non Cash Items,-4000000.0,-12000000.0,-17000000.0,-14000000.0,10000000.0,
Stock Based Compensation,24000000.0,10000000.0,17000000.0,24000000.0,27000000.0,
Deferred Tax,8000000.0,84000000.0,-2000000.0,3000000.0,-18000000.0,
Deferred Income Tax,8000000.0,84000000.0,-2000000.0,3000000.0,-18000000.0,
Depreciation Amortization Depletion,55000000.0,56000000.0,57000000.0,55000000.0,53000000.0,
Depreciation And Amortization,55000000.0,56000000.0,57000000.0,55000000.0,53000000.0,
Operating Gains Losses,,,0.0,0.0,0.0,112000000.0
Pension And Employee Benefit Expense,,,0.0,0.0,,
Gain Loss On Sale Of Business,0.0,0.0,0.0,0.0,0.0,
Net Income From Continuing Operations,161000000.0,82000000.0,336000000.0,191000000.0,194000000.0,
