,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,2392278000.0,-46950000.0,-34060000.0,-1869630000.0,
Tax Rate For Calcs,0.237,0.15,0.262,0.21,
Normalized EBITDA,36292000000.0,37922000000.0,39031000000.0,35904000000.0,
Total Unusual Items,10094000000.0,-313000000.0,-130000000.0,-8903000000.0,
Total Unusual Items Excluding Goodwill,10094000000.0,-313000000.0,-130000000.0,-8903000000.0,
Net Income From Continuing Operation Net Minority Interest,19998000000.0,16192000000.0,15388000000.0,5370000000.0,
Reconciled Depreciation,16210000000.0,14802000000.0,14336000000.0,13821000000.0,
Reconciled Cost Of Revenue,34952000000.0,37025000000.0,36762000000.0,38213000000.0,
EBITDA,46386000000.0,37609000000.0,38901000000.0,27001000000.0,
EBIT,30175000000.0,22807000000.0,24565000000.0,13180000000.0,
Net Interest Income,-4409000000.0,-4134000000.0,-4087000000.0,-3896000000.0,
Interest Expense,4409000000.0,4134000000.0,4087000000.0,3896000000.0,
Normalized Income,12296278000.0,16458050000.0,15483940000.0,12403370000.0,
Net Income From Continuing And Discontinued Operation,19998000000.0,16192000000.0,15388000000.0,5370000000.0,
Total Expenses,103037000000.0,100433000000.0,98259000000.0,98803000000.0,
Total Operating Income As Reported,20672000000.0,23297000000.0,23314000000.0,14041000000.0,
Diluted Average Shares,3709000000.0,3908000000.0,4148000000.0,4430000000.0,
Basic Average Shares,3604212627.0,3787746392.0,3978762306.0,4220119392.0,
Diluted EPS,5.39,4.14,3.71,1.21,
Basic EPS,5.548507,4.274837,3.867534,1.272476,
Diluted NI Availto Com Stockholders,19998000000.0,16192000000.0,15388000000.0,5370000000.0,
Net Income Common Stockholders,19998000000.0,16192000000.0,15388000000.0,5370000000.0,
Net Income,19998000000.0,16192000000.0,15388000000.0,5370000000.0,
Minority Interests,338000000.0,315000000.0,282000000.0,445000000.0,
Net Income Including Noncontrolling Interests,19660000000.0,15877000000.0,15107000000.0,4925000000.0,
Net Income Continuous Operations,19660000000.0,15877000000.0,15107000000.0,4925000000.0,
Tax Provision,6106000000.0,2796000000.0,5371000000.0,4359000000.0,
Pretax Income,25766000000.0,18673000000.0,20478000000.0,9284000000.0,
Other Income Expense,9503000000.0,-491000000.0,1251000000.0,-9443000000.0,
Other Non Operating Income Expenses,,502000000.0,592000000.0,-3000000.0,211000000.0
Special Income Charges,,0.0,0.0,-8583000000.0,0.0
Impairment Of Capital Assets,,0.0,0.0,8583000000.0,0.0
Earnings From Equity Interest,-591000000.0,-680000000.0,789000000.0,-537000000.0,
Gain On Sale Of Security,10094000000.0,-313000000.0,-130000000.0,-320000000.0,
Net Non Operating Interest Income Expense,-4409000000.0,-4134000000.0,-4087000000.0,-3896000000.0,
Interest Expense Non Operating,4409000000.0,4134000000.0,4087000000.0,3896000000.0,
Operating Income,20670000000.0,23298000000.0,23313000000.0,22624000000.0,
Operating Expense,68086000000.0,63407000000.0,61497000000.0,60590000000.0,
Other Operating Expenses,43013000000.0,40533000000.0,39190000000.0,38263000000.0,
Depreciation Amortization Depletion Income Statement,16211000000.0,14801000000.0,14336000000.0,13821000000.0,
Depreciation And Amortization In Income Statement,16211000000.0,14801000000.0,14336000000.0,13821000000.0,
Amortization,6884000000.0,6072000000.0,5482000000.0,5097000000.0,
Amortization Of Intangibles Income Statement,6884000000.0,6072000000.0,5482000000.0,5097000000.0,
Depreciation Income Statement,9327000000.0,8729000000.0,8854000000.0,8724000000.0,
Selling General And Administration,8862000000.0,8073000000.0,7971000000.0,8506000000.0,
Selling And Marketing Expense,8862000000.0,8073000000.0,7971000000.0,8506000000.0,
General And Administrative Expense,,,39190000000.0,38263000000.0,35619000000.0
Other Gand A,,,39190000000.0,38263000000.0,35619000000.0
Gross Profit,88756000000.0,86705000000.0,84810000000.0,83214000000.0,
Cost Of Revenue,34951000000.0,37026000000.0,36762000000.0,38213000000.0,
Total Revenue,123707000000.0,123731000000.0,121572000000.0,121427000000.0,
Operating Revenue,123707000000.0,123731000000.0,121572000000.0,121427000000.0,
