contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CMI260417C00310000,2026-03-10 13:32:09+00:00,310.0,246.3,237.9,241.6,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00330000,2026-03-02 14:45:10+00:00,330.0,238.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00340000,2026-02-05 14:54:06+00:00,340.0,218.5,195.1,199.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00350000,2026-02-13 14:35:49+00:00,350.0,242.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00360000,2026-04-02 14:38:04+00:00,360.0,193.5,188.6,191.7,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00370000,2026-04-02 14:36:25+00:00,370.0,180.6,177.9,181.7,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00380000,2026-03-24 14:46:57+00:00,380.0,171.8,168.3,171.8,0.0,0.0,1.0,13,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00390000,2026-02-13 14:36:15+00:00,390.0,205.1,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00400000,2026-03-16 13:32:09+00:00,400.0,145.9,148.7,151.7,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00410000,2026-03-11 14:01:27+00:00,410.0,147.9,137.9,141.7,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00420000,2026-04-01 13:36:21+00:00,420.0,129.8,128.8,131.9,0.0,0.0,1.0,13,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00430000,2026-03-06 14:32:57+00:00,430.0,116.2,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00440000,2026-04-02 14:38:04+00:00,440.0,114.0,108.1,111.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
CMI260417C00450000,2026-03-23 19:25:40+00:00,450.0,100.8,98.9,102.2,0.0,0.0,2.0,5,0.5127001855468749,True,REGULAR,USD
