,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0315,15493905,561189258,0.0019
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0239,11770821,426339150,0.023
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.012200001,6008740,217636570,-0.0087
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0121,5942433,215234930,0.0017
4,2025-12-31,HARRIS ASSOCIATES INVESTMENT TRUST-Oakmark Select Fund,0.0119,5864000,212394087,0.0
5,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Index Fund,0.0113,5577174,202005249,-0.042
6,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0111,5481645,198545188,-0.0185
7,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0109,5351814,193842709,-0.0147
8,2026-01-31,Invesco Exchange-Traded Fund Trust-Invesco S&P 500 Equal Weight ETF,0.0084,4121759,149290116,0.058000002
9,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Value Index Fund,0.0073,3595806,130240097,-0.0348
