contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CNC260410C00022000,2026-04-06 19:23:04+00:00,22.0,13.58,13.2,15.55,0.0,0.0,,14,2.82031544921875,True,REGULAR,USD
CNC260410C00023000,2026-04-06 19:23:04+00:00,23.0,12.65,12.2,14.55,0.0,0.0,,5,2.60156599609375,True,REGULAR,USD
CNC260410C00024000,2026-04-07 14:44:55+00:00,24.0,11.92,11.2,12.65,0.48999977,4.286962,1.0,15,3.03906490234375,True,REGULAR,USD
CNC260410C00025000,2026-04-07 14:44:55+00:00,25.0,10.93,10.2,11.85,0.39000034,3.700193,1.0,3,3.128908427734375,True,REGULAR,USD
CNC260410C00025500,2026-04-07 14:00:34+00:00,25.5,10.65,9.75,11.35,0.6899996,6.9277062,3.0,7,3.003908740234375,True,REGULAR,USD
CNC260410C00026000,2026-04-07 14:44:49+00:00,26.0,9.96,9.3,10.8,0.48999977,5.174232,4.0,8,2.80469048828125,True,REGULAR,USD
CNC260410C00026500,2026-04-07 14:44:49+00:00,26.5,9.47,8.85,10.3,0.40000057,4.4101496,1.0,8,2.6835970410156254,True,REGULAR,USD
CNC260410C00028500,2026-04-07 13:30:52+00:00,28.5,8.41,6.55,8.4,1.81,27.424242,1.0,1,2.339847900390624,True,REGULAR,USD
CNC260410C00029000,2026-04-07 13:30:52+00:00,29.0,7.92,6.25,7.85,1.56,24.528301,1.0,5,2.162113969726563,True,REGULAR,USD
CNC260410C00029500,2026-04-06 17:09:32+00:00,29.5,6.02,5.7,7.4,0.0,0.0,,3,2.1054734863281244,True,REGULAR,USD
CNC260410C00030000,2026-04-07 15:43:23+00:00,30.0,5.96,5.15,6.75,0.26000023,4.529621,3.0,55,1.81640716796875,True,REGULAR,USD
CNC260410C00030500,2026-04-07 15:43:23+00:00,30.5,5.56,4.75,6.4,1.56,63.934425,2.0,1,1.8710943945312501,True,REGULAR,USD
CNC260410C00031000,2026-04-02 14:53:40+00:00,31.0,3.77,4.1,5.9,0.0,0.0,3.0,22,1.755860595703125,True,REGULAR,USD
CNC260410C00031500,2026-04-07 14:47:28+00:00,31.5,4.42,3.6,5.45,1.77,66.79245,2.0,16,1.689454677734375,True,REGULAR,USD
CNC260410C00032000,2026-04-07 14:47:28+00:00,32.0,4.01,3.3,4.75,1.4200003,54.826267,1.0,211,1.376956240234375,True,REGULAR,USD
CNC260410C00032500,2026-04-01 17:54:56+00:00,32.5,2.31,2.84,4.3,0.0,0.0,3.0,298,1.3144565527343748,True,REGULAR,USD
CNC260410C00033000,2026-04-02 19:54:22+00:00,33.0,2.61,2.29,3.5,0.0,0.0,70.0,196,0.9023447265625,True,REGULAR,USD
CNC260410C00033500,2026-04-06 18:44:57+00:00,33.5,2.37,2.61,3.25,0.0,0.0,18.0,751,0.726565234375,True,REGULAR,USD
CNC260410C00034000,2026-04-06 18:52:41+00:00,34.0,1.94,2.16,2.58,0.0,0.0,21.0,224,0.5625043750000001,True,REGULAR,USD
CNC260410C00034500,2026-04-07 13:44:13+00:00,34.5,1.9,1.73,2.18,0.13999999,7.9545445,33.0,175,0.5585981640625001,True,REGULAR,USD
CNC260410C00035000,2026-04-07 15:44:20+00:00,35.0,1.47,1.38,1.5,0.21000004,16.66667,124.0,728,0.49414568359375005,True,REGULAR,USD
CNC260410C00035500,2026-04-07 15:28:45+00:00,35.5,1.33,1.08,1.16,0.31000006,30.392162,78.0,193,0.49805189453125004,True,REGULAR,USD
CNC260410C00036000,2026-04-07 15:44:19+00:00,36.0,0.88,0.81,0.88,0.00999999,1.1494242,79.0,541,0.507817421875,True,REGULAR,USD
CNC260410C00036500,2026-04-07 15:47:46+00:00,36.5,0.64,0.59,0.65,0.01999998,3.5087686,6.0,565,0.51562984375,False,REGULAR,USD
CNC260410C00037000,2026-04-07 15:44:19+00:00,37.0,0.45,0.4,0.46,-0.09000003,-16.666674,61.0,218,0.516606396484375,False,REGULAR,USD
CNC260410C00037500,2026-04-07 15:20:02+00:00,37.5,0.33,0.26,0.33,-0.03999999,-10.810808,12.0,167,0.5019581054687501,False,REGULAR,USD
CNC260410C00038000,2026-04-07 13:57:36+00:00,38.0,0.29,0.17,0.24,0.059999987,26.08695,5.0,62,0.51562984375,False,REGULAR,USD
CNC260410C00038500,2026-04-07 14:26:46+00:00,38.5,0.17,0.1,0.19,-0.010000005,-5.555558,12.0,45,0.53320779296875,False,REGULAR,USD
CNC260410C00039000,2026-04-02 19:56:53+00:00,39.0,0.11,0.06,0.29,0.0,0.0,90.0,211,0.6445348046875,False,REGULAR,USD
CNC260410C00039500,2026-04-02 15:16:30+00:00,39.5,0.16,0.04,0.3,0.0,0.0,5.0,4,0.710940390625,False,REGULAR,USD
CNC260410C00040000,2026-04-07 15:20:30+00:00,40.0,0.05,0.04,0.08,-0.029999997,-37.499996,109.0,113,0.6054726953125001,False,REGULAR,USD
CNC260410C00040500,2026-04-06 16:56:00+00:00,40.5,0.06,0.0,0.35,0.0,0.0,1.0,2,0.8554701953125,False,REGULAR,USD
CNC260410C00041000,2026-04-06 19:05:17+00:00,41.0,0.05,0.0,0.29,0.0,0.0,58.0,60,0.8789074609374999,False,REGULAR,USD
CNC260410C00042000,2026-04-06 17:13:53+00:00,42.0,0.04,0.0,0.17,0.0,0.0,5.0,17,0.8867198828124999,False,REGULAR,USD
CNC260410C00043000,2026-03-23 16:13:54+00:00,43.0,0.06,0.0,0.16,0.0,0.0,1.0,6,0.98437515625,False,REGULAR,USD
CNC260410C00044000,2026-03-19 18:33:43+00:00,44.0,0.19,0.0,0.09,0.0,0.0,31.0,34,0.9765627343750001,False,REGULAR,USD
CNC260410C00045000,2026-03-30 15:49:47+00:00,45.0,0.05,0.0,0.07,0.0,0.0,1.0,5,1.0312548437500002,False,REGULAR,USD
CNC260410C00046000,2026-03-13 14:02:58+00:00,46.0,0.07,0.0,0.07,0.0,0.0,3.0,8,1.109379453125,False,REGULAR,USD
CNC260410C00047000,2026-03-10 13:35:34+00:00,47.0,0.5,0.0,0.07,0.0,0.0,,0,1.1953165234375,False,REGULAR,USD
CNC260410C00049000,2026-03-12 19:04:01+00:00,49.0,0.21,0.0,0.07,0.0,0.0,1.0,1,1.3515657421874998,False,REGULAR,USD
CNC260410C00050000,2026-04-07 13:39:40+00:00,50.0,0.01,0.0,0.03,-0.04,-80.00001,10.0,11,1.2812535937499998,False,REGULAR,USD
CNC260410C00055000,2026-03-09 15:18:08+00:00,55.0,0.25,0.0,0.72,0.0,0.0,,35,2.6562533593750004,False,REGULAR,USD
CNC260410C00060000,2026-03-02 14:49:18+00:00,60.0,0.1,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
