,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,3065151000.0,-784515000.0,328474000.0,-182727000.0,964618000.0,
Repayment Of Debt,,,,,0.0,0.0
Issuance Of Debt,626428000.0,2957135000.0,0.0,0.0,0.0,
Interest Paid Supplemental Data,,,,,35119000.0,0.0
Income Tax Paid Supplemental Data,16869000.0,16689000.0,,,-113107000.0,31555000.0
End Cash Position,16893420000.0,14305255000.0,12634286000.0,13303915000.0,14610442000.0,
Beginning Cash Position,14305255000.0,12634286000.0,13303915000.0,14610442000.0,11617013000.0,
Effect Of Exchange Rate Changes,2982000.0,10023000.0,78190000.0,1655000.0,-68031000.0,
Changes In Cash,1512170000.0,1660946000.0,-747819000.0,-1308182000.0,3061460000.0,
Financing Cash Flow,-1155814000.0,3181035000.0,-391137000.0,-893802000.0,2146258000.0,
Cash Flow From Continuing Financing Activities,-1155814000.0,3181035000.0,-391137000.0,-893802000.0,2146258000.0,
Net Other Financing Charges,-435296000.0,196971000.0,-433374000.0,-912125000.0,2083914000.0,
Proceeds From Stock Option Exercised,23913000.0,26929000.0,42237000.0,18323000.0,62344000.0,
Net Issuance Payments Of Debt,45764000.0,2957135000.0,0.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,2957135000.0,0.0,0.0,0.0,
Long Term Debt Payments,,,,,0.0,0.0
Long Term Debt Issuance,0.0,2957135000.0,0.0,0.0,0.0,
Investing Cash Flow,-397167000.0,-735574000.0,-685156000.0,-231653000.0,-49416000.0,
Cash Flow From Continuing Investing Activities,-397167000.0,-735574000.0,-685156000.0,-231653000.0,-49416000.0,
Net Other Investing Changes,-387920000.0,9335000.0,-426332000.0,-94192000.0,-15316000.0,
Net Investment Purchase And Sale,45157000.0,-57275000.0,-258824000.0,-137461000.0,-34100000.0,
Sale Of Investment,530473000.0,163928000.0,51821000.0,10622000.0,-52586000.0,
Purchase Of Investment,-485316000.0,-221203000.0,-310645000.0,-148083000.0,18486000.0,
Net Business Purchase And Sale,-54404000.0,,,,,
Purchase Of Business,-54404000.0,,,,,
Operating Cash Flow,3065151000.0,-784515000.0,328474000.0,-182727000.0,964618000.0,
Cash Flow From Continuing Operating Activities,3065151000.0,-784515000.0,328474000.0,-182727000.0,964619000.0,
Change In Working Capital,2479439000.0,-1474596000.0,90252000.0,-1126502000.0,-155386000.0,
Change In Other Working Capital,,,90252000.0,-1126502000.0,-458661000.0,548293000.0
Other Non Cash Items,55416000.0,-41752000.0,-63412000.0,111994000.0,-114440000.0,
Stock Based Compensation,230482000.0,222069000.0,196160000.0,190729000.0,221984000.0,
Unrealized Gain Loss On Investment Securities,,,,,0.0,386751000.0
Asset Impairment Charge,,,,,18717000.0,0.0
Deferred Tax,-248190000.0,86527000.0,454511000.0,-54540000.0,90240000.0,
Deferred Income Tax,-248190000.0,86527000.0,454511000.0,-54540000.0,90240000.0,
Depreciation Amortization Depletion,71116000.0,50078000.0,33901000.0,33333000.0,32995000.0,
Depreciation And Amortization,71116000.0,50078000.0,33901000.0,33333000.0,32995000.0,
Operating Gains Losses,1143621000.0,-59393000.0,-1811838000.0,596651000.0,-420668000.0,
Gain Loss On Investment Securities,1133544000.0,-23653000.0,-1837501000.0,596651000.0,-476152000.0,
Net Income From Continuing Operations,-666733000.0,432552000.0,1428900000.0,65608000.0,1291176000.0,
