,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.120699994,23548923,1622070951,-0.0178
1,2025-12-31,Blackrock Inc.,0.0845,16487063,1135643696,0.0759
2,2025-12-31,Capital World Investors,0.0523,10208203,703150184,-0.0325
3,2025-12-31,"T. Rowe Price Investment Management, Inc.",0.0464,9047117,623173538,-0.0793
4,2025-12-31,State Street Corporation,0.045100003,8793747,605721185,0.0241
5,2025-12-31,Kayne Anderson Rudnick Investment Management LLC,0.0369,7198895,495866348,-0.0465
6,2025-12-31,Price (T.Rowe) Associates Inc,0.0309,6028821,415270601,0.5877
7,2025-12-31,"Geode Capital Management, LLC",0.027,5274687,363325174,-0.0053
8,2025-12-31,"Wellington Management Group, LLP",0.0214,4179671,287899489,-0.32419997
9,2025-12-31,"Franklin Resources, Inc.",0.020599999,4022033,277041242,1.0815
