,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-2424545000.0,2883605000.0,-73969000.0,3222178000.0,-2824675000.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,-50000000.0,-385471000.0,
Repayment Of Debt,-23633098000.0,-46563025000.0,-43387113000.0,-30024855000.0,-13472045000.0,
Issuance Of Debt,23899310000.0,45980788000.0,43709517000.0,29692116000.0,17260285000.0,
Capital Expenditure,-119376000.0,-249812000.0,-183216000.0,-129060000.0,-105893000.0,
End Cash Position,1808693000.0,4394549000.0,2275326000.0,2178566000.0,3394974000.0,
Beginning Cash Position,4394549000.0,2275326000.0,2178566000.0,3394974000.0,3297880000.0,
Effect Of Exchange Rate Changes,-24576000.0,-8472000.0,6720000.0,1715000.0,-50235000.0,
Changes In Cash,-2561280000.0,2127695000.0,90040000.0,-1218123000.0,147329000.0,
Financing Cash Flow,43204000.0,-683782000.0,215484000.0,-491738000.0,3209150000.0,
Cash Flow From Continuing Financing Activities,43204000.0,-683782000.0,215484000.0,-491738000.0,3209150000.0,
Net Other Financing Charges,-104090000.0,-553000.0,-6262000.0,-5481000.0,-90839000.0,
Proceeds From Stock Option Exercised,7598000.0,6520000.0,6835000.0,7670000.0,8108000.0,
Cash Dividends Paid,-126516000.0,-107512000.0,-107493000.0,-111188000.0,-110888000.0,
Common Stock Dividend Paid,-126516000.0,-107512000.0,-107493000.0,-111188000.0,-110888000.0,
Net Common Stock Issuance,0.0,0.0,0.0,-50000000.0,-385471000.0,
Common Stock Payments,0.0,0.0,0.0,-50000000.0,-385471000.0,
Net Issuance Payments Of Debt,266212000.0,-582237000.0,322404000.0,-332739000.0,3788240000.0,
Net Short Term Debt Issuance,290201000.0,,,-1343770000.0,2027162000.0,
Short Term Debt Payments,-23501389000.0,,,-29521240000.0,-13427095000.0,
Short Term Debt Issuance,23791590000.0,,,28177470000.0,15454257000.0,
Net Long Term Debt Issuance,-23989000.0,-550038000.0,1005796000.0,1011031000.0,1761078000.0,
Long Term Debt Payments,-131709000.0,85603398000.0,-86335448000.0,-503615000.0,-44950000.0,
Long Term Debt Issuance,107720000.0,-86153436000.0,87341244000.0,1514646000.0,1806028000.0,
Investing Cash Flow,-299315000.0,-321940000.0,-234691000.0,-4077623000.0,-343039000.0,
Cash Flow From Continuing Investing Activities,-299315000.0,-321940000.0,-234691000.0,-4077623000.0,-343039000.0,
Net Other Investing Changes,50457000.0,21732000.0,6200000.0,745000.0,-46117000.0,
Net Business Purchase And Sale,-230396000.0,-93860000.0,-57675000.0,-3949308000.0,-191029000.0,
Purchase Of Business,-230396000.0,-93860000.0,-57675000.0,-3949308000.0,-191029000.0,
Capital Expenditure Reported,-119376000.0,-249812000.0,-183216000.0,-129060000.0,-105893000.0,
Operating Cash Flow,-2305169000.0,3133417000.0,109247000.0,3351238000.0,-2718782000.0,
Cash Flow From Continuing Operating Activities,-2305169000.0,3133417000.0,109247000.0,3351238000.0,-2718782000.0,
Change In Working Capital,-3399200000.0,2231087000.0,-801496000.0,2208432000.0,-3602599000.0,
Change In Other Current Liabilities,,-404102000.0,0.0,0.0,0.0,-415669000.0
Change In Payables And Accrued Expense,965777000.0,3964497000.0,798661000.0,-261161000.0,-1043488000.0,
Change In Accrued Expense,-328365000.0,295519000.0,172820000.0,-151340000.0,-338130000.0,
Change In Payable,1294142000.0,3668978000.0,625841000.0,-109821000.0,-705358000.0,
Change In Account Payable,1307868000.0,3755256000.0,607587000.0,-15314000.0,-654165000.0,
Change In Tax Payable,-13726000.0,-86278000.0,18254000.0,-94507000.0,-51193000.0,
Change In Income Tax Payable,-13726000.0,-86278000.0,18254000.0,-94507000.0,-51193000.0,
Change In Prepaid Assets,-14386000.0,-63957000.0,143541000.0,23963000.0,70310000.0,
Change In Inventory,-3519839000.0,-319548000.0,-984133000.0,1689417000.0,-1655165000.0,
Change In Receivables,-830752000.0,-945803000.0,-759565000.0,756213000.0,-974256000.0,
Changes In Account Receivables,-830752000.0,-945803000.0,-759565000.0,756213000.0,-974256000.0,
Other Non Cash Items,-62113000.0,-28346000.0,-75027000.0,60630000.0,7389000.0,
Stock Based Compensation,66054000.0,25943000.0,23184000.0,28452000.0,70384000.0,
Provisionand Write Offof Assets,13000.0,17792000.0,33159000.0,8484000.0,3871000.0,
Asset Impairment Charge,249498000.0,,,,0.0,
Deferred Tax,14362000.0,55389000.0,-16658000.0,26210000.0,-5077000.0,
Deferred Income Tax,14362000.0,55389000.0,-16658000.0,26210000.0,-5077000.0,
Depreciation Amortization Depletion,264271000.0,263998000.0,258973000.0,263973000.0,281472000.0,
Depreciation And Amortization,264271000.0,263998000.0,258973000.0,263973000.0,281472000.0,
Amortization Cash Flow,129024000.0,130270000.0,128617000.0,140376000.0,167843000.0,
Amortization Of Intangibles,129024000.0,130270000.0,128617000.0,140376000.0,167843000.0,
Depreciation,135247000.0,133728000.0,130356000.0,123597000.0,113629000.0,
Operating Gains Losses,-4180000.0,63247000.0,-2637000.0,37640000.0,32059000.0,
Earnings Losses From Equity Investments,31636000.0,63247000.0,10201000.0,37640000.0,-3480000.0,
Gain Loss On Sale Of Business,0.0,0.0,-12838000.0,0.0,35539000.0,
Net Income From Continuing Operations,566126000.0,-333071000.0,689749000.0,717417000.0,493719000.0,
