contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
COST260410C00540000,2026-04-07 14:15:15+00:00,540.0,472.32,469.6,475.25,-3.5599976,-0.7480872,6.0,8,2.6123081567382815,True,REGULAR,USD
COST260410C00550000,2026-04-07 14:15:43+00:00,550.0,462.36,459.6,465.3,-3.5900269,-0.7704747,16.0,10,2.5537145532226564,True,REGULAR,USD
COST260410C00560000,2026-04-07 14:15:43+00:00,560.0,452.38,449.15,455.8,-3.5799866,-0.7851537,10.0,14,2.495609229736328,True,REGULAR,USD
COST260410C00570000,2026-03-31 16:25:02+00:00,570.0,425.53,439.6,445.3,0.0,0.0,2.0,2,2.4174844250488277,True,REGULAR,USD
COST260410C00580000,2026-04-06 14:12:31+00:00,580.0,434.3,429.6,435.3,0.0,0.0,6.0,4,2.350590061035156,True,REGULAR,USD
COST260410C00590000,2026-04-07 13:57:24+00:00,590.0,422.36,419.6,425.3,-1.960022,-0.4619207,6.0,4,2.285160537109375,True,REGULAR,USD
COST260410C00600000,2026-04-07 13:57:24+00:00,600.0,412.39,409.5,415.3,-1.5899963,-0.38407564,6.0,2,2.2011763720703117,True,REGULAR,USD
COST260410C00610000,2026-04-06 14:09:53+00:00,610.0,404.06,399.5,405.3,0.0,0.0,,1,2.1381882482910153,True,REGULAR,USD
COST260410C00620000,2026-04-07 13:57:56+00:00,620.0,392.74,389.5,396.5,-1.3699951,-0.34761745,2.0,2,2.2622113757324214,True,REGULAR,USD
COST260410C00630000,2026-04-07 13:57:56+00:00,630.0,382.77,379.65,385.55,-1.3700256,-0.35664746,2.0,1,2.0839891650390623,True,REGULAR,USD
COST260410C00640000,2026-04-06 15:40:00+00:00,640.0,376.03,369.65,376.45,0.0,0.0,,4,2.144047608642578,True,REGULAR,USD
COST260410C00650000,2026-04-06 15:41:19+00:00,650.0,366.05,359.65,366.75,0.0,0.0,4.0,2,2.1137742468261718,True,REGULAR,USD
COST260410C00660000,2026-04-07 14:16:22+00:00,660.0,352.39,349.2,355.9,-3.5799866,-1.0056989,2.0,15,1.8857427587890623,True,REGULAR,USD
COST260410C00670000,2026-04-07 14:16:22+00:00,670.0,342.4,339.65,345.35,-1.8300171,-0.5316262,4.0,1,1.8110361010742184,True,REGULAR,USD
COST260410C00680000,2026-04-07 13:58:36+00:00,680.0,332.53,329.65,335.35,-1.7200012,-0.51458526,2.0,4,1.7529309228515624,True,REGULAR,USD
COST260410C00690000,2026-03-31 16:36:01+00:00,690.0,305.59,319.55,325.35,0.0,0.0,,5,1.6806656591796876,True,REGULAR,USD
COST260410C00700000,2026-03-31 15:45:51+00:00,700.0,294.88,309.55,316.75,0.0,0.0,,1,1.791016669921875,True,REGULAR,USD
COST260410C00710000,2026-03-31 15:45:51+00:00,710.0,284.92,299.55,305.6,0.0,0.0,,1,1.6035176074218749,True,REGULAR,USD
COST260410C00725000,2026-04-06 18:49:27+00:00,725.0,294.44,284.7,290.4,0.0,0.0,,3,1.5136743066406249,True,REGULAR,USD
COST260410C00730000,2026-04-06 18:49:27+00:00,730.0,289.45,279.7,285.4,0.0,0.0,,3,1.486330693359375,True,REGULAR,USD
COST260410C00735000,2026-04-06 15:25:22+00:00,735.0,280.96,274.7,281.55,0.0,0.0,,1,1.579347806396484,True,REGULAR,USD
COST260410C00740000,2026-04-06 15:25:22+00:00,740.0,275.97,269.7,276.05,0.0,0.0,,1,1.5034204516601561,True,REGULAR,USD
COST260410C00745000,2026-04-06 15:52:45+00:00,745.0,271.15,264.7,270.35,0.0,0.0,2.0,1,1.3989287866210938,True,REGULAR,USD
COST260410C00750000,2026-04-06 15:52:45+00:00,750.0,266.16,259.7,265.35,0.0,0.0,2.0,1,1.3720734521484375,True,REGULAR,USD
COST260410C00795000,2026-04-07 14:53:43+00:00,795.0,219.64,214.75,220.4,-4.8899994,-2.1778824,2.0,1,1.1467327819824216,True,REGULAR,USD
COST260410C00800000,2026-04-07 14:53:43+00:00,800.0,214.65,209.75,216.1,-4.4900055,-2.048921,2.0,1,1.183109553222656,True,REGULAR,USD
COST260410C00805000,2026-04-06 19:50:42+00:00,805.0,214.15,204.75,210.8,0.0,0.0,2.0,1,1.1315961389160156,True,REGULAR,USD
COST260410C00815000,2026-04-07 13:31:47+00:00,815.0,203.4,194.75,200.45,-0.8700104,-0.42591196,1.0,2,1.0488328808593752,True,REGULAR,USD
COST260410C00820000,2026-04-07 13:31:47+00:00,820.0,198.41,189.75,195.45,-0.95999146,-0.48151252,1.0,3,1.0234423828125,True,REGULAR,USD
COST260410C00825000,2026-04-07 15:47:54+00:00,825.0,187.59,184.75,190.45,16.649994,9.640992,2.0,2,0.99804689453125,True,REGULAR,USD
COST260410C00830000,2026-04-07 15:47:54+00:00,830.0,182.61,179.75,185.45,16.649994,9.922523,2.0,0,0.9726565234375,True,REGULAR,USD
COST260410C00835000,2026-03-24 13:36:47+00:00,835.0,131.88,174.8,180.45,0.0,0.0,,1,0.9516606396484374,True,REGULAR,USD
COST260410C00845000,2026-04-01 17:22:41+00:00,845.0,149.31,164.65,170.45,0.0,0.0,,4,0.8891612646484374,True,REGULAR,USD
COST260410C00850000,2026-04-01 17:22:41+00:00,850.0,144.35,159.8,166.65,0.0,0.0,,4,0.9567875415039062,True,REGULAR,USD
COST260410C00855000,2026-04-07 15:12:01+00:00,855.0,159.22,154.8,160.45,18.930008,13.493484,1.0,0,0.8513198461914062,True,REGULAR,USD
COST260410C00860000,2026-04-07 15:12:01+00:00,860.0,154.32,149.8,155.5,29.600006,23.733166,1.0,1,0.8300798242187499,True,REGULAR,USD
COST260410C00865000,2026-03-26 13:42:46+00:00,865.0,116.0,144.8,150.5,0.0,0.0,,1,0.8051777294921875,True,REGULAR,USD
COST260410C00870000,2026-04-06 14:00:31+00:00,870.0,144.5,139.8,145.45,0.0,0.0,1.0,1,0.7766135620117188,True,REGULAR,USD
COST260410C00880000,2026-04-01 17:05:23+00:00,880.0,115.1,129.85,135.5,0.0,0.0,,2,0.7336452416992187,True,REGULAR,USD
COST260410C00885000,2026-04-01 17:05:23+00:00,885.0,110.15,124.85,130.55,0.0,0.0,6.0,2,0.711916943359375,True,REGULAR,USD
COST260410C00890000,2026-04-07 14:11:55+00:00,890.0,123.52,119.9,125.55,38.299995,44.942497,2.0,7,0.6899445068359377,True,REGULAR,USD
COST260410C00895000,2026-03-03 14:45:43+00:00,895.0,120.55,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
COST260410C00900000,2026-04-06 16:26:32+00:00,900.0,115.75,109.95,113.65,0.0,0.0,3.0,7,0.7282742016601562,True,REGULAR,USD
COST260410C00905000,2026-03-18 14:35:56+00:00,905.0,88.4,104.95,110.6,0.0,0.0,1.0,2,0.6206092626953126,True,REGULAR,USD
COST260410C00910000,2026-04-07 15:16:41+00:00,910.0,103.72,100.05,106.0,-2.6900024,-2.52796,1.0,5,0.6202430554199221,True,REGULAR,USD
COST260410C00915000,2026-04-06 15:57:00+00:00,915.0,101.36,95.0,100.65,0.0,0.0,1.0,2,0.5751995605468749,True,REGULAR,USD
COST260410C00920000,2026-03-27 18:15:03+00:00,920.0,66.21,90.0,95.7,0.0,0.0,1.0,11,0.5522505712890625,True,REGULAR,USD
COST260410C00925000,2026-04-01 17:41:30+00:00,925.0,70.45,85.0,90.75,0.0,0.0,1.0,2,0.5290574438476563,True,REGULAR,USD
COST260410C00930000,2026-04-06 13:39:54+00:00,930.0,77.85,80.15,84.15,0.0,0.0,4.0,9,0.5954630297851562,True,REGULAR,USD
COST260410C00935000,2026-03-30 19:35:05+00:00,935.0,64.5,75.15,80.85,0.0,0.0,2.0,14,0.6561924029541018,True,REGULAR,USD
COST260410C00940000,2026-04-01 14:36:00+00:00,940.0,58.34,70.25,74.8,0.0,0.0,1.0,16,0.5732464550781251,True,REGULAR,USD
COST260410C00945000,2026-03-24 18:14:14+00:00,945.0,41.92,65.25,70.95,0.0,0.0,2.0,7,0.5970499279785157,True,REGULAR,USD
COST260410C00950000,2026-04-07 13:56:26+00:00,950.0,63.0,60.3,66.1,4.0,6.779661,6.0,21,0.5712323150634766,True,REGULAR,USD
COST260410C00955000,2026-04-06 17:16:29+00:00,955.0,61.75,55.45,61.2,0.0,0.0,2.0,10,0.5426071130371095,True,REGULAR,USD
COST260410C00960000,2026-04-06 19:35:49+00:00,960.0,59.75,50.65,55.7,0.0,0.0,2.0,9,0.48932395446777355,True,REGULAR,USD
COST260410C00965000,2026-04-02 14:07:48+00:00,965.0,45.62,45.85,52.0,0.0,0.0,3.0,15,0.5054370745849608,True,REGULAR,USD
COST260410C00967500,2026-04-06 17:05:12+00:00,967.5,49.89,43.45,49.2,0.0,0.0,1.0,3,0.4771780798339844,True,REGULAR,USD
COST260410C00970000,2026-04-07 13:31:47+00:00,970.0,49.63,41.2,47.25,-1.8400002,-3.5748982,1.0,81,0.478948081665039,True,REGULAR,USD
COST260410C00972500,2026-04-06 17:48:17+00:00,972.5,45.4,39.95,44.6,0.0,0.0,6.0,6,0.4559380578613281,True,REGULAR,USD
COST260410C00975000,2026-04-06 16:59:02+00:00,975.0,42.9,36.65,42.0,0.0,0.0,2.0,84,0.43457596679687505,True,REGULAR,USD
COST260410C00977500,2026-04-06 19:45:08+00:00,977.5,43.85,34.2,39.8,0.0,0.0,11.0,12,0.42627526855468756,True,REGULAR,USD
COST260410C00980000,2026-04-06 18:10:49+00:00,980.0,39.05,32.1,37.6,0.0,0.0,7.0,34,0.4172421557617187,True,REGULAR,USD
COST260410C00982500,2026-04-02 19:57:48+00:00,982.5,37.45,29.6,35.55,0.0,0.0,2.0,17,0.41199318481445313,True,REGULAR,USD
COST260410C00985000,2026-04-06 17:19:14+00:00,985.0,34.17,28.95,32.8,0.0,0.0,3.0,66,0.38513798461914056,True,REGULAR,USD
COST260410C00987500,2026-04-07 14:16:57+00:00,987.5,28.09,25.8,31.2,-0.2800007,-0.9869605,2.0,13,0.39148557739257805,True,REGULAR,USD
COST260410C00990000,2026-04-07 15:35:56+00:00,990.0,26.45,23.75,29.3,0.0700016,0.26535863,1.0,43,0.387701435546875,True,REGULAR,USD
COST260410C00992500,2026-04-06 18:38:41+00:00,992.5,30.13,22.1,26.4,0.0,0.0,1.0,93,0.3557193334960937,True,REGULAR,USD
COST260410C00995000,2026-04-07 15:37:54+00:00,995.0,23.75,21.5,23.7,-2.709999,-10.241872,16.0,155,0.32898620239257803,True,REGULAR,USD
COST260410C00997500,2026-04-06 18:33:08+00:00,997.5,26.7,19.6,22.0,0.0,0.0,10.0,45,0.32807068420410157,True,REGULAR,USD
COST260410C01000000,2026-04-07 15:35:56+00:00,1000.0,18.8,17.55,20.65,-5.3100014,-22.024061,2.0,171,0.33432672515869144,True,REGULAR,USD
COST260410C01002500,2026-04-07 14:29:39+00:00,1002.5,16.38,16.0,18.25,-1.6200008,-9.000005,9.0,20,0.3127510131835937,True,REGULAR,USD
COST260410C01005000,2026-04-07 15:46:32+00:00,1005.0,15.64,14.9,16.45,-5.2599993,-25.167461,11.0,205,0.30475548767089844,True,REGULAR,USD
COST260410C01007500,2026-04-07 14:29:39+00:00,1007.5,13.23,13.2,14.95,-2.6800003,-16.844753,6.0,115,0.3024361749267578,True,REGULAR,USD
COST260410C01010000,2026-04-07 15:46:32+00:00,1010.0,12.6,11.75,13.45,-4.75,-27.377522,62.0,403,0.298285825805664,True,REGULAR,USD
COST260410C01015000,2026-04-07 15:46:32+00:00,1015.0,9.81,9.05,10.55,-3.04,-23.100304,35.0,296,0.2868113311767577,False,REGULAR,USD
COST260410C01020000,2026-04-07 15:43:14+00:00,1020.0,7.75,6.75,7.5,-2.75,-26.190475,152.0,512,0.2633130310058594,False,REGULAR,USD
COST260410C01025000,2026-04-07 15:08:35+00:00,1025.0,6.03,5.0,5.8,-1.8199997,-23.18471,152.0,380,0.26392337646484376,False,REGULAR,USD
COST260410C01030000,2026-04-07 15:27:16+00:00,1030.0,3.73,3.55,4.55,-2.27,-37.833332,138.0,578,0.26868407104492187,False,REGULAR,USD
COST260410C01035000,2026-04-07 14:49:29+00:00,1035.0,3.12,2.39,3.4,-1.2800002,-29.090912,25.0,370,0.2687451055908203,False,REGULAR,USD
COST260410C01040000,2026-04-07 15:48:09+00:00,1040.0,1.9,1.9,2.4,-1.1999999,-37.5,144.0,440,0.2652661364746094,False,REGULAR,USD
COST260410C01045000,2026-04-07 15:36:36+00:00,1045.0,1.35,1.06,1.74,-0.64,-32.160805,138.0,374,0.2664868273925781,False,REGULAR,USD
COST260410C01050000,2026-04-07 15:39:15+00:00,1050.0,0.97,0.83,1.17,-0.45999992,-32.167828,189.0,707,0.26355716918945316,False,REGULAR,USD
COST260410C01055000,2026-04-07 15:43:18+00:00,1055.0,0.68,0.58,0.77,-0.31,-31.313131,93.0,325,0.26148199462890626,False,REGULAR,USD
COST260410C01060000,2026-04-07 15:10:19+00:00,1060.0,0.39,0.33,0.75,-0.44,-53.01205,38.0,367,0.28247787841796873,False,REGULAR,USD
