,2025-07-31,2024-07-31,2023-07-31,2022-07-31,2021-07-31
Tax Effect Of Unusual Items,-54836683.417085,-50700132.100396,-8126000.0,-1120000.0,
Tax Rate For Calcs,0.243719,0.250991,0.239,0.224,
Normalized EBITDA,1800000000.0,1619000000.0,1737000000.0,1506000000.0,
Total Unusual Items,-225000000.0,-202000000.0,-34000000.0,-5000000.0,
Total Unusual Items Excluding Goodwill,-225000000.0,-202000000.0,-34000000.0,-5000000.0,
Net Income From Continuing Operation Net Minority Interest,602000000.0,567000000.0,858000000.0,757000000.0,
Reconciled Depreciation,434000000.0,411000000.0,387000000.0,337000000.0,
Reconciled Cost Of Revenue,6768000000.0,6327000000.0,6101000000.0,5639000000.0,
EBITDA,1575000000.0,1417000000.0,1703000000.0,1501000000.0,
EBIT,1141000000.0,1006000000.0,1316000000.0,1164000000.0,
Net Interest Income,-328000000.0,-243000000.0,-184000000.0,-188000000.0,
Interest Expense,345000000.0,249000000.0,188000000.0,189000000.0,
Interest Income,17000000.0,6000000.0,4000000.0,1000000.0,
Normalized Income,772163316.582915,718299867.899604,883874000.0,760880000.0,
Net Income From Continuing And Discontinued Operation,602000000.0,567000000.0,858000000.0,757000000.0,
Total Expenses,8900000000.0,8410000000.0,8045000000.0,7414000000.0,
Diluted Average Shares,300000000.0,300000000.0,301000000.0,302000000.0,
Basic Average Shares,298000000.0,298000000.0,299000000.0,301000000.0,
Diluted EPS,2.01,1.89,2.85,2.51,
Basic EPS,2.02,1.9,2.87,2.51,
Diluted NI Availto Com Stockholders,602000000.0,567000000.0,858000000.0,757000000.0,
Net Income Common Stockholders,602000000.0,567000000.0,858000000.0,757000000.0,
Net Income,602000000.0,567000000.0,858000000.0,757000000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,602000000.0,567000000.0,858000000.0,757000000.0,
Net Income Discontinuous Operations,,,0.0,0.0,-6000000.0
Net Income Continuous Operations,602000000.0,567000000.0,858000000.0,757000000.0,
Tax Provision,194000000.0,190000000.0,270000000.0,218000000.0,
Pretax Income,796000000.0,757000000.0,1128000000.0,975000000.0,
Other Income Expense,-229000000.0,-226000000.0,,15000000.0,275000000.0
Other Non Operating Income Expenses,-4000000.0,-24000000.0,34000000.0,20000000.0,
Special Income Charges,-225000000.0,-202000000.0,-34000000.0,-5000000.0,
Gain On Sale Of Business,-25000000.0,0.0,-13000000.0,0.0,
Impairment Of Capital Assets,176000000.0,129000000.0,0.0,0.0,
Restructuring And Mergern Acquisition,24000000.0,73000000.0,21000000.0,5000000.0,
Net Non Operating Interest Income Expense,-328000000.0,-243000000.0,-184000000.0,-188000000.0,
Interest Expense Non Operating,345000000.0,249000000.0,188000000.0,189000000.0,
Interest Income Non Operating,17000000.0,6000000.0,4000000.0,1000000.0,
Operating Income,1353000000.0,1226000000.0,1312000000.0,1148000000.0,
Operating Expense,1766000000.0,1745000000.0,1605000000.0,1479000000.0,
Depreciation Amortization Depletion Income Statement,68000000.0,73000000.0,48000000.0,41000000.0,
Depreciation And Amortization In Income Statement,68000000.0,73000000.0,48000000.0,41000000.0,
Amortization,68000000.0,73000000.0,48000000.0,41000000.0,
Amortization Of Intangibles Income Statement,68000000.0,73000000.0,48000000.0,41000000.0,
Research And Development,100000000.0,102000000.0,92000000.0,87000000.0,
Selling General And Administration,1598000000.0,1570000000.0,1465000000.0,1351000000.0,
Selling And Marketing Expense,924000000.0,833000000.0,811000000.0,734000000.0,
General And Administrative Expense,674000000.0,737000000.0,654000000.0,617000000.0,
Other Gand A,674000000.0,737000000.0,654000000.0,617000000.0,
Salaries And Wages,,,,,-38000000.0
Gross Profit,3119000000.0,2971000000.0,2917000000.0,2627000000.0,
Cost Of Revenue,7134000000.0,6665000000.0,6440000000.0,5935000000.0,
Total Revenue,10253000000.0,9636000000.0,9357000000.0,8562000000.0,
Operating Revenue,10253000000.0,9636000000.0,9357000000.0,8562000000.0,
