,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1193,5887175,985778060,0.0081
1,2025-12-31,Blackrock Inc.,0.0761,3754354,628647833,-0.026400002
2,2025-12-31,Invesco Ltd.,0.0546,2696150,451456856,1.1583
3,2025-12-31,"Allspring Global Investments Holdings, LLC",0.0404,1995596,334152586,-0.0837
4,2025-12-31,State Street Corporation,0.0379,1871688,313404810,0.0221
5,2025-12-31,"Wellington Management Group, LLP",0.0355,1749213,292896983,-0.45169997
6,2025-12-31,"FMR, LLC",0.035099998,1733910,290334572,3.1929002
7,2025-12-31,Harris Associates L.P.,0.034,1677606,280906748,0.1388
8,2025-12-31,Dimensional Fund Advisors LP,0.0292,1442224,241493208,0.2753
9,2025-12-31,"Ariel Investments, LLC",0.028900001,1427771,239073125,-0.0418
