,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Price (T.Rowe) Associates Inc,0.124,17726838,5526784809,0.0863
1,2025-12-31,Vanguard Group Inc,0.1174,16783101,5232551211,0.2474
2,2025-12-31,Blackrock Inc.,0.08189999,11717838,3653328870,0.1936
3,2025-12-31,JPMORGAN CHASE & CO,0.0429,6130229,1911252109,-0.5204
4,2025-12-31,"FMR, LLC",0.0417,5961989,1858799084,0.0433
5,2025-12-31,State Street Corporation,0.04,5714779,1781725187,0.9372
6,2025-12-31,Capital Research Global Investors,0.0399,5700953,1777414586,0.4289
7,2025-12-31,"CAS Investment Partners, LLC",0.0322,4610200,1437345076,-0.0572
8,2025-12-31,Greenoaks Capital Partners LLC,0.0296,4235613,1320558217,-0.19530001
9,2025-12-31,"Geode Capital Management, LLC",0.0271,3880711,1209908648,0.5536
