,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0305,26805992,1686901084,-0.0028
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.024500001,21531766,1354994040,0.0226
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0211,18585408,1169579731,-0.0154
3,2025-11-30,MFS SERIES TRUST I-MFS Value Fund,0.019,16696948,1050738942,-0.025
4,2025-12-31,Dodge & Cox Funds-Dodge & Cox Stock Fund,0.018,15820300,995571483,-0.031400003
5,2026-01-31,Capital Income Builder,0.0176,15464067,973153741,0.099300005
6,2026-02-28,SELECT SECTOR SPDR TRUST-State Street Utilities Select Sector SPDR ETF,0.0163,14317831,901021109,0.0176
7,2026-01-31,AMERICAN MUTUAL FUND,0.0161,14159077,891030719,0.0555
8,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0125,10988381,691498819,-0.0094
9,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0124,10867077,683865158,0.0016
