contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DASH260410P00075000,2026-04-06 15:54:51+00:00,75.0,0.01,,2.13,0.0,0.0,,12,5.082034897460938,False,REGULAR,USD
DASH260410P00085000,2026-03-30 17:27:34+00:00,85.0,0.75,0.0,2.13,0.0,0.0,,1,3.6933601416015627,False,REGULAR,USD
DASH260410P00115000,2026-03-31 14:17:58+00:00,115.0,0.16,0.0,2.13,0.0,0.0,,2,2.1035203662109367,False,REGULAR,USD
DASH260410P00119000,2026-03-31 14:17:16+00:00,119.0,0.25,0.0,2.13,0.0,0.0,,2,1.9179691601562503,False,REGULAR,USD
DASH260410P00120000,2026-03-23 14:05:20+00:00,120.0,1.13,0.0,2.0,0.0,0.0,3.0,4,1.8427742236328122,False,REGULAR,USD
DASH260410P00124000,2026-04-07 15:16:09+00:00,124.0,0.01,0.0,0.03,-0.03,-75.0,29.0,7,0.8437515624999999,False,REGULAR,USD
DASH260410P00125000,2026-04-07 15:21:38+00:00,125.0,0.06,0.01,0.04,0.049999997,499.99988,156.0,35,0.867188828125,False,REGULAR,USD
DASH260410P00126000,2026-04-07 15:28:52+00:00,126.0,0.02,0.01,0.03,-0.030000001,-60.0,57.0,54,0.8125018749999999,False,REGULAR,USD
DASH260410P00127000,2026-04-07 15:09:29+00:00,127.0,0.18,0.01,0.05,0.15,500.0,12.0,144,0.8281267187499999,False,REGULAR,USD
DASH260410P00128000,2026-04-07 14:10:08+00:00,128.0,0.09,0.0,0.05,-0.08,-47.058823,4.0,10,0.7812521875,False,REGULAR,USD
DASH260410P00129000,2026-04-07 13:52:39+00:00,129.0,0.16,0.0,0.06,-0.07000001,-30.434786,2.0,20,0.773439765625,False,REGULAR,USD
DASH260410P00130000,2026-04-07 15:23:31+00:00,130.0,0.03,0.01,0.1,-0.020000001,-40.000004,51.0,444,0.804689453125,False,REGULAR,USD
DASH260410P00131000,2026-04-07 15:29:05+00:00,131.0,0.12,0.01,0.21,-0.1,-45.454544,78.0,4,0.85937640625,False,REGULAR,USD
DASH260410P00132000,2026-04-07 14:35:03+00:00,132.0,0.03,0.05,0.32,-0.04,-57.142857,39.0,67,0.9023447265625,False,REGULAR,USD
DASH260410P00133000,2026-04-06 19:36:21+00:00,133.0,0.09,0.0,2.15,0.0,0.0,3.0,4,1.2968785156249998,False,REGULAR,USD
DASH260410P00134000,2026-04-07 14:53:46+00:00,134.0,0.15,0.0,0.21,-0.16999999,-53.124996,68.0,11,0.7597680273437502,False,REGULAR,USD
DASH260410P00135000,2026-04-06 19:15:09+00:00,135.0,0.32,0.0,2.0,0.0,0.0,1.0,35,1.1840861108398437,False,REGULAR,USD
DASH260410P00136000,2026-04-07 14:54:45+00:00,136.0,0.16,0.07,0.54,-0.16,-50.0,29.0,7,0.84961087890625,False,REGULAR,USD
DASH260410P00137000,2026-04-06 19:37:51+00:00,137.0,0.37,0.01,1.76,0.0,0.0,10.0,10,1.0595750146484377,False,REGULAR,USD
DASH260410P00138000,2026-04-06 19:27:48+00:00,138.0,0.21,0.0,1.02,0.0,0.0,10.0,29,0.877930908203125,False,REGULAR,USD
DASH260410P00139000,2026-04-06 19:40:25+00:00,139.0,0.19,0.0,1.21,0.0,0.0,16.0,19,0.87695435546875,False,REGULAR,USD
DASH260410P00140000,2026-04-07 15:46:08+00:00,140.0,0.33,0.2,0.5,-0.07999998,-13.7931,3.0,43,0.7314479980468749,False,REGULAR,USD
DASH260410P00141000,2026-04-06 19:33:58+00:00,141.0,0.36,0.23,2.47,0.0,0.0,28.0,41,1.0219775463867187,False,REGULAR,USD
DASH260410P00142000,2026-04-07 14:51:39+00:00,142.0,0.62,0.39,0.73,0.100000024,19.230774,7.0,27,0.7421900781249999,False,REGULAR,USD
DASH260410P00143000,2026-04-07 14:32:28+00:00,143.0,0.7,0.53,1.03,-0.17000002,-19.540232,19.0,20,0.7744163183593751,False,REGULAR,USD
DASH260410P00144000,2026-04-07 14:59:06+00:00,144.0,0.96,0.67,1.15,-0.030000031,-3.030306,6.0,14,0.7695335546875001,False,REGULAR,USD
DASH260410P00145000,2026-04-07 15:46:08+00:00,145.0,1.01,0.79,1.18,0.120000005,13.483147,5.0,84,0.7460962890625,False,REGULAR,USD
DASH260410P00146000,2026-04-07 15:38:39+00:00,146.0,1.26,0.85,1.46,0.20000005,18.86793,11.0,82,0.7436549072265625,False,REGULAR,USD
DASH260410P00147000,2026-04-07 14:56:25+00:00,147.0,1.5,1.17,1.6,0.20000005,15.384619,8.0,52,0.7495142236328125,False,REGULAR,USD
DASH260410P00148000,2026-04-07 15:07:52+00:00,148.0,2.1,1.21,1.79,0.38999987,22.807009,179.0,158,0.725588681640625,False,REGULAR,USD
DASH260410P00149000,2026-04-06 18:03:58+00:00,149.0,1.85,1.57,2.23,0.0,0.0,6.0,12,0.7543969873046875,False,REGULAR,USD
DASH260410P00150000,2026-04-07 15:37:49+00:00,150.0,2.28,2.0,2.35,0.38,20.0,299.0,692,0.7521997436523438,False,REGULAR,USD
DASH260410P00152500,2026-04-07 15:05:14+00:00,152.5,3.78,2.73,3.15,1.1299999,42.641502,76.0,51,0.7382838671874999,False,REGULAR,USD
DASH260410P00155000,2026-04-07 15:37:49+00:00,155.0,4.28,3.7,4.2,0.33000016,8.354434,34.0,654,0.7336452416992187,False,REGULAR,USD
DASH260410P00157500,2026-04-07 14:56:02+00:00,157.5,5.95,5.1,5.6,0.9499998,18.999996,5.0,64,0.7568383691406251,True,REGULAR,USD
DASH260410P00160000,2026-04-07 15:07:16+00:00,160.0,8.47,6.65,7.3,3.7400002,79.06977,14.0,294,0.7846701220703125,True,REGULAR,USD
DASH260410P00162500,2026-04-07 13:33:52+00:00,162.5,9.1,8.4,8.85,0.3600006,4.1190004,5.0,38,0.789064609375,True,REGULAR,USD
DASH260410P00165000,2026-04-02 15:43:27+00:00,165.0,10.96,10.1,12.85,0.0,0.0,2.0,89,0.9738772143554688,True,REGULAR,USD
DASH260410P00170000,2026-03-31 16:41:08+00:00,170.0,19.71,14.4,17.2,0.0,0.0,12.0,36,1.0788620275878906,True,REGULAR,USD
DASH260410P00172500,2026-03-24 13:49:16+00:00,172.5,18.15,17.35,19.85,0.0,0.0,,1,1.2387733374023435,True,REGULAR,USD
DASH260410P00175000,2026-04-06 15:14:30+00:00,175.0,19.79,19.95,22.35,0.0,0.0,2.0,5,1.3474153723144529,True,REGULAR,USD
