,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0312,10229679,1190734651,0.005
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.025,8207519,955355224,0.029000001
2,2026-01-31,"Invesco QQQ Trust, Series 1",0.0216,7089562,825225027,-0.0291
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0216,7083603,824531400,-0.0093
4,2026-02-28,Fidelity Select Portfolios-Technology Portfolio,0.0134000005,4387471,510701631,-0.0956
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128,4187882,487469471,-0.0094
6,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0126,4141671,482090510,0.0017
7,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0117,3847444,447842487,-0.082100004
8,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117,3833724,446245479,-0.0185
9,2025-12-31,JANUS INVESTMENT FUND-Janus Henderson Forty Fund,0.0101,3313806,385727023,-0.2192
