contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DDOG260410P00065000,2026-04-07 15:08:09+00:00,65.0,0.02,0.0,0.01,-0.18,-90.0,6.0,0,1.8125009374999999,False,REGULAR,USD
DDOG260410P00075000,2026-03-30 14:47:43+00:00,75.0,0.05,0.0,0.22,0.0,0.0,10.0,17,1.9609376953125,False,REGULAR,USD
DDOG260410P00080000,2026-04-01 17:11:59+00:00,80.0,0.04,0.0,0.12,0.0,0.0,,19,1.5664084179687499,False,REGULAR,USD
DDOG260410P00085000,2026-04-07 14:54:18+00:00,85.0,0.03,0.0,0.05,-0.020000001,-40.000004,18.0,147,1.203128984375,False,REGULAR,USD
DDOG260410P00086000,2026-04-07 15:35:20+00:00,86.0,0.03,0.0,0.06,-0.060000002,-66.666664,23.0,35,1.1875040625,False,REGULAR,USD
DDOG260410P00087000,2026-04-02 16:34:29+00:00,87.0,0.09,0.0,0.24,0.0,0.0,101.0,62,1.3828155859374998,False,REGULAR,USD
DDOG260410P00088000,2026-04-07 13:44:14+00:00,88.0,0.05,0.0,0.27,0.0,0.0,16.0,97,1.361331318359375,False,REGULAR,USD
DDOG260410P00089000,2026-04-02 19:07:29+00:00,89.0,0.13,0.0,1.15,0.0,0.0,118.0,61,1.7402356738281248,False,REGULAR,USD
DDOG260410P00090000,2026-04-06 16:12:49+00:00,90.0,0.04,0.0,0.24,0.0,0.0,35.0,281,1.2421912890624998,False,REGULAR,USD
DDOG260410P00091000,2026-04-06 13:57:29+00:00,91.0,0.08,0.0,0.48,0.0,0.0,42.0,77,1.3496126269531248,False,REGULAR,USD
DDOG260410P00092000,2026-04-07 15:48:15+00:00,92.0,0.12,0.03,0.22,0.009999998,9.090907,185.0,12,1.16016044921875,False,REGULAR,USD
DDOG260410P00093000,2026-03-31 13:44:29+00:00,93.0,0.32,0.0,1.17,0.0,0.0,,5,1.5156274218749999,False,REGULAR,USD
DDOG260410P00094000,2026-04-06 17:57:04+00:00,94.0,0.09,0.0,0.98,0.0,0.0,2.0,5,1.3984405078125,False,REGULAR,USD
DDOG260410P00095000,2026-04-06 19:46:17+00:00,95.0,0.08,0.0,0.98,0.0,0.0,56.0,53,1.3437532812499997,False,REGULAR,USD
DDOG260410P00096000,2026-04-02 16:53:36+00:00,96.0,0.25,0.0,0.97,0.0,0.0,8.0,8,1.2851598242187499,False,REGULAR,USD
DDOG260410P00097000,2026-04-06 19:05:37+00:00,97.0,0.11,0.0,1.1,0.0,0.0,13.0,312,1.2695349023437497,False,REGULAR,USD
DDOG260410P00098000,2026-04-07 14:29:16+00:00,98.0,0.24,0.1,0.26,0.13,118.181816,1.0,84,0.9492192578124999,False,REGULAR,USD
DDOG260410P00099000,2026-04-06 15:41:23+00:00,99.0,0.21,0.02,0.36,0.0,0.0,9.0,23,0.91211025390625,False,REGULAR,USD
DDOG260410P00100000,2026-04-07 15:24:35+00:00,100.0,0.23,0.1,0.3,0.060000002,35.294117,28.0,412,0.87500125,False,REGULAR,USD
DDOG260410P00101000,2026-04-07 15:46:47+00:00,101.0,0.26,0.17,0.36,0.00999999,3.5714252,44.0,54,0.8789074609374999,False,REGULAR,USD
DDOG260410P00102000,2026-04-07 15:48:15+00:00,102.0,0.31,0.21,0.43,0.10000001,47.619053,255.0,224,0.867188828125,False,REGULAR,USD
DDOG260410P00103000,2026-04-06 19:59:35+00:00,103.0,0.35,0.29,0.5,0.0,0.0,11.0,239,0.85937640625,False,REGULAR,USD
DDOG260410P00104000,2026-04-07 15:34:40+00:00,104.0,0.45,0.3,0.5,-0.050000012,-10.000002,5.0,11,0.8105487695312499,False,REGULAR,USD
DDOG260410P00105000,2026-04-07 14:09:29+00:00,105.0,0.81,0.43,0.74,0.4,97.560974,10.0,410,0.8437515624999999,False,REGULAR,USD
DDOG260410P00106000,2026-04-07 15:32:56+00:00,106.0,0.64,0.53,0.77,0.120000005,23.076923,19.0,1421,0.813478427734375,False,REGULAR,USD
DDOG260410P00107000,2026-04-07 15:05:48+00:00,107.0,0.9,0.46,0.96,0.32,55.172417,4.0,35,0.778322529296875,False,REGULAR,USD
DDOG260410P00108000,2026-04-07 14:09:00+00:00,108.0,1.86,0.75,1.11,1.14,158.33333,4.0,351,0.7929708203125,False,REGULAR,USD
DDOG260410P00109000,2026-04-07 15:43:07+00:00,109.0,1.06,0.92,1.22,-0.24000001,-18.461538,5.0,95,0.772463212890625,False,REGULAR,USD
DDOG260410P00110000,2026-04-07 15:43:41+00:00,110.0,1.25,1.11,1.32,0.21000004,20.192312,194.0,1004,0.747072841796875,False,REGULAR,USD
DDOG260410P00111000,2026-04-07 14:01:46+00:00,111.0,2.35,1.33,1.71,1.05,80.769226,3.0,43,0.7568383691406251,False,REGULAR,USD
DDOG260410P00112000,2026-04-07 15:28:52+00:00,112.0,2.09,1.51,2.0,0.63999987,44.13792,35.0,25,0.7397486962890624,False,REGULAR,USD
DDOG260410P00113000,2026-04-07 15:18:12+00:00,113.0,2.5,1.82,2.15,0.9,56.25,16.0,265,0.7138700488281251,False,REGULAR,USD
DDOG260410P00114000,2026-04-07 15:44:34+00:00,114.0,2.48,2.15,2.71,0.37000012,17.535551,59.0,102,0.727541787109375,False,REGULAR,USD
DDOG260410P00115000,2026-04-07 15:44:34+00:00,115.0,2.98,2.58,3.15,0.49,19.678715,19.0,482,0.7290066162109375,False,REGULAR,USD
DDOG260410P00116000,2026-04-07 15:38:54+00:00,116.0,3.6,3.1,3.7,0.5999999,19.999998,3.0,566,0.7412135253906249,False,REGULAR,USD
DDOG260410P00117000,2026-04-07 13:59:45+00:00,117.0,4.49,3.6,4.2,1.0399997,30.144918,5.0,80,0.737307314453125,True,REGULAR,USD
DDOG260410P00118000,2026-04-07 13:40:16+00:00,118.0,4.9,4.05,4.9,0.9200001,23.11558,1.0,60,0.7397486962890624,True,REGULAR,USD
DDOG260410P00119000,2026-04-07 15:44:30+00:00,119.0,5.32,4.65,5.4,0.53999996,11.29707,3.0,71,0.727541787109375,True,REGULAR,USD
DDOG260410P00120000,2026-04-07 15:44:30+00:00,120.0,5.97,5.55,6.15,1.4199996,31.20878,3.0,167,0.7661156201171876,True,REGULAR,USD
DDOG260410P00121000,2026-04-06 17:12:04+00:00,121.0,6.22,6.2,8.45,0.0,0.0,2.0,27,0.9423833886718749,True,REGULAR,USD
DDOG260410P00122000,2026-04-07 14:29:11+00:00,122.0,9.22,6.9,9.3,2.5600004,38.438442,1.0,40,0.9624027197265624,True,REGULAR,USD
DDOG260410P00123000,2026-04-07 14:12:06+00:00,123.0,11.03,7.5,10.25,5.6299996,104.25925,1.0,24,0.9770510107421876,True,REGULAR,USD
DDOG260410P00124000,2026-04-06 18:54:44+00:00,124.0,8.0,8.55,11.15,0.0,0.0,1.0,63,1.0346727954101564,True,REGULAR,USD
