contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DE260410P00310000,2026-03-23 17:19:16+00:00,310.0,0.05,0.0,0.1,0.0,0.0,134.0,53,2.031254921875,False,REGULAR,USD
DE260410P00315000,2026-04-07 15:49:10+00:00,315.0,0.19,0.0,0.2,0.0,0.0,31.0,25,2.1210984472656245,False,REGULAR,USD
DE260410P00320000,2026-04-07 15:49:35+00:00,320.0,0.19,0.0,1.2,0.14,280.00003,33.0,21,2.5634801538085936,False,REGULAR,USD
DE260410P00325000,2026-04-07 15:48:52+00:00,325.0,0.19,0.0,0.2,0.0,0.0,32.0,15,2.019536201171875,False,REGULAR,USD
DE260410P00330000,2026-04-06 14:45:15+00:00,330.0,0.05,0.0,0.05,0.0,0.0,2.0,3,1.734376328125,False,REGULAR,USD
DE260410P00335000,2026-04-07 15:23:12+00:00,335.0,0.05,0.0,0.1,0.0,0.0,29.0,17,1.7890635546875,False,REGULAR,USD
DE260410P00340000,2026-04-07 15:23:20+00:00,340.0,0.05,0.0,0.1,0.0,0.0,28.0,14,1.74609501953125,False,REGULAR,USD
DE260410P00345000,2026-04-07 15:22:59+00:00,345.0,0.05,0.0,0.1,0.030000001,150.0,25.0,4,1.703126484375,False,REGULAR,USD
DE260410P00350000,2026-04-07 15:33:29+00:00,350.0,0.19,0.0,0.2,0.14,280.00003,4.0,1,1.7734386328124998,False,REGULAR,USD
DE260410P00355000,2026-04-07 14:03:41+00:00,355.0,0.05,0.0,0.3,0.0,0.0,2.0,3,1.8046884765624998,False,REGULAR,USD
DE260410P00360000,2026-04-07 13:32:44+00:00,360.0,0.05,0.0,0.3,0.0,0.0,2.0,1,1.755860595703125,False,REGULAR,USD
DE260410P00365000,2026-04-07 15:37:36+00:00,365.0,0.05,,0.2,0.0,0.0,6.0,2,1.765626171875,False,REGULAR,USD
DE260410P00370000,2026-04-07 15:29:15+00:00,370.0,0.05,,0.2,0.0,0.0,2.0,1,1.716798291015625,False,REGULAR,USD
DE260410P00375000,2026-04-07 14:04:12+00:00,375.0,0.05,0.0,0.3,0.0,0.0,2.0,15,1.61328318359375,False,REGULAR,USD
DE260410P00380000,2026-04-07 15:32:26+00:00,380.0,0.3,,0.9,0.25,499.99988,1.0,1,1.998046884765625,False,REGULAR,USD
DE260410P00385000,2026-04-07 14:48:03+00:00,385.0,0.05,0.0,0.4,-0.009999998,-16.666662,4.0,2,1.5751974365234374,False,REGULAR,USD
DE260410P00390000,2026-04-07 14:12:17+00:00,390.0,0.05,0.0,0.25,0.0,0.0,2.0,3,1.4472683886718751,False,REGULAR,USD
DE260410P00395000,2026-04-06 15:02:55+00:00,395.0,0.05,,0.1,0.0,0.0,,15,1.37109689453125,False,REGULAR,USD
DE260410P00400000,2026-04-07 13:32:25+00:00,400.0,0.05,0.0,0.2,0.0,0.0,2.0,1,1.3281283593749997,False,REGULAR,USD
DE260410P00405000,2026-04-07 14:31:52+00:00,405.0,0.05,,0.3,0.0,0.0,2.0,13,1.466799541015625,False,REGULAR,USD
DE260410P00410000,2026-04-06 16:06:24+00:00,410.0,0.1,,4.2,0.0,0.0,,3,2.2841839770507812,False,REGULAR,USD
DE260410P00415000,2026-04-07 13:41:46+00:00,415.0,0.05,0.0,0.2,0.0,0.0,2.0,9,1.203128984375,False,REGULAR,USD
DE260410P00420000,2026-04-06 19:56:16+00:00,420.0,0.05,,4.2,0.0,0.0,,3,2.1528366491699216,False,REGULAR,USD
DE260410P00425000,2026-04-06 16:46:40+00:00,425.0,0.05,,4.2,0.0,0.0,,3,2.0878954052734366,False,REGULAR,USD
DE260410P00435000,2026-04-07 13:41:56+00:00,435.0,0.05,0.0,0.1,-0.15,-75.0,3.0,1,0.9687503125,False,REGULAR,USD
DE260410P00465000,2026-04-06 19:43:54+00:00,465.0,0.07,,4.3,0.0,0.0,,6,1.5949727282714843,False,REGULAR,USD
DE260410P00480000,2026-04-07 13:42:04+00:00,480.0,0.1,,0.1,0.05,100.0,1.0,16,0.70312796875,False,REGULAR,USD
DE260410P00490000,2026-03-23 17:21:01+00:00,490.0,1.41,0.0,4.3,0.0,0.0,751.0,107,1.0695847302246095,False,REGULAR,USD
DE260410P00495000,2026-03-31 14:52:35+00:00,495.0,1.06,0.0,4.3,0.0,0.0,4.0,54,1.015629921875,False,REGULAR,USD
DE260410P00500000,2026-04-06 13:30:12+00:00,500.0,0.45,0.0,1.75,0.0,0.0,20.0,24,0.7861349511718749,False,REGULAR,USD
DE260410P00505000,2026-03-10 13:30:16+00:00,505.0,2.59,0.0,4.3,0.0,0.0,1.0,2,0.9083261120605468,False,REGULAR,USD
DE260410P00507500,2026-03-31 15:48:19+00:00,507.5,1.65,0.0,1.05,0.0,0.0,,4,0.6489292919921875,False,REGULAR,USD
DE260410P00510000,2026-04-06 14:46:35+00:00,510.0,0.38,0.0,3.0,0.0,0.0,3.0,16,0.7810080493164062,False,REGULAR,USD
DE260410P00515000,2026-04-07 15:42:22+00:00,515.0,0.3,0.0,1.95,0.050000012,20.000004,2.0,21,0.6613803393554689,False,REGULAR,USD
