contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DECK260410C00065000,2026-04-07 15:46:07+00:00,65.0,36.0,34.5,37.5,0.8499985,2.4045217,6.0,2,3.144533388671875,True,REGULAR,USD
DECK260410C00070000,2026-04-06 18:25:50+00:00,70.0,30.16,29.9,32.5,0.0,0.0,,1,2.7207063232421875,True,REGULAR,USD
DECK260410C00073000,2026-04-07 15:44:51+00:00,73.0,27.57,26.6,28.6,1.4200001,5.4302106,2.0,1,1.6796891015625,True,REGULAR,USD
DECK260410C00074000,2026-04-07 15:44:51+00:00,74.0,26.67,25.6,27.7,1.4300003,6.0058813,1.0,1,1.755860595703125,True,REGULAR,USD
DECK260410C00075000,2026-04-06 16:18:27+00:00,75.0,24.25,24.5,27.5,0.0,0.0,,1,2.318363579101562,True,REGULAR,USD
DECK260410C00076000,2026-04-06 18:23:18+00:00,76.0,23.89,23.5,26.5,0.0,0.0,,1,2.2402387744140624,True,REGULAR,USD
DECK260410C00077000,2026-04-06 18:23:18+00:00,77.0,22.9,22.5,25.5,0.0,0.0,,4,2.1630905297851566,True,REGULAR,USD
DECK260410C00078000,2026-04-06 16:18:01+00:00,78.0,21.25,21.4,24.5,0.0,0.0,,2,2.0859422851562495,True,REGULAR,USD
DECK260410C00080000,2026-04-07 14:48:46+00:00,80.0,21.24,19.5,22.5,-0.35000038,-1.6211226,4.0,30,1.93359408203125,True,REGULAR,USD
DECK260410C00085000,2026-04-01 18:15:08+00:00,85.0,17.65,14.6,17.6,0.0,0.0,4.0,6,1.607423837890625,True,REGULAR,USD
DECK260410C00086000,2026-03-30 14:03:46+00:00,86.0,9.2,14.0,16.6,0.0,0.0,,3,1.5322289013671875,True,REGULAR,USD
DECK260410C00087000,2026-04-06 17:34:37+00:00,87.0,13.12,12.6,15.6,0.0,0.0,1.0,5,1.4570339648437498,True,REGULAR,USD
DECK260410C00088000,2026-04-06 17:34:37+00:00,88.0,12.24,11.6,14.6,0.0,0.0,,1,1.3828155859374998,True,REGULAR,USD
DECK260410C00089000,2026-03-30 14:27:01+00:00,89.0,6.61,10.7,13.6,0.0,0.0,2.0,3,1.307620649414062,True,REGULAR,USD
DECK260410C00090000,2026-04-06 18:15:29+00:00,90.0,10.08,9.7,12.5,0.0,0.0,24.0,52,1.1938516870117186,True,REGULAR,USD
DECK260410C00091000,2026-04-06 18:15:29+00:00,91.0,9.19,8.7,11.7,0.0,0.0,36.0,51,1.1943399658203124,True,REGULAR,USD
DECK260410C00092000,2026-04-06 16:12:58+00:00,92.0,7.9,7.8,10.7,0.0,0.0,116.0,66,1.1176801928710938,True,REGULAR,USD
DECK260410C00093000,2026-04-07 14:42:45+00:00,93.0,8.1,7.3,9.0,0.7500005,10.204088,2.0,133,0.7773459765625,True,REGULAR,USD
DECK260410C00094000,2026-04-07 15:48:24+00:00,94.0,6.91,6.4,7.5,-0.53999996,-7.228915,11.0,84,0.42774009765625004,True,REGULAR,USD
DECK260410C00095000,2026-04-07 15:48:24+00:00,95.0,5.92,5.3,6.5,-0.73,-10.846954,75.0,80,0.3789124609375,True,REGULAR,USD
DECK260410C00096000,2026-04-07 15:45:45+00:00,96.0,5.3,4.7,5.9,-0.8499999,-13.821136,92.0,87,0.5361374511718751,True,REGULAR,USD
DECK260410C00097000,2026-04-07 15:48:11+00:00,97.0,4.69,4.4,4.9,-0.61000013,-11.509437,52.0,135,0.4682670361328125,True,REGULAR,USD
DECK260410C00098000,2026-04-07 15:50:30+00:00,98.0,3.8,3.6,4.0,-0.45000005,-10.714287,38.0,80,0.43115803222656257,True,REGULAR,USD
DECK260410C00099000,2026-04-07 15:23:25+00:00,99.0,3.02,2.85,3.3,-0.48000002,-13.714286,66.0,63,0.44043528320312497,True,REGULAR,USD
DECK260410C00100000,2026-04-07 14:54:07+00:00,100.0,2.5,2.2,2.7,-0.4000001,-13.793106,60.0,140,0.45313046875,True,REGULAR,USD
DECK260410C00101000,2026-04-07 14:23:06+00:00,101.0,1.98,0.55,2.05,-0.22000003,-10.000002,4.0,52,0.4335994140625,True,REGULAR,USD
DECK260410C00102000,2026-04-07 14:23:06+00:00,102.0,1.5,0.05,1.55,-0.100000024,-6.250001,2.0,101,0.42969320312500003,False,REGULAR,USD
DECK260410C00103000,2026-04-07 15:03:05+00:00,103.0,0.95,0.15,1.25,-0.15000004,-13.636367,384.0,97,0.454107021484375,False,REGULAR,USD
