contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DELL260410C00090000,2026-04-07 14:36:44+00:00,90.0,85.75,83.35,85.7,6.919998,8.778381,2.0,1.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00095000,2026-04-07 14:36:44+00:00,95.0,80.76,78.75,80.7,3.2700043,4.219905,2.0,1.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00100000,2026-04-02 15:07:29+00:00,100.0,72.51,73.2,76.55,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00105000,2026-04-02 15:11:18+00:00,105.0,67.42,68.35,71.35,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00110000,2026-04-06 19:55:08+00:00,110.0,63.95,63.25,66.4,0.0,0.0,2.0,24.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00111000,2026-04-07 14:30:19+00:00,111.0,64.22,62.3,65.35,1.2000008,1.9041586,2.0,3.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00112000,2026-04-07 14:30:19+00:00,112.0,63.22,61.25,64.35,1.1300011,1.8199406,2.0,3.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00113000,2026-04-07 14:36:03+00:00,113.0,62.71,60.8,63.35,1.5200005,2.4840667,4.0,8.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00114000,2026-04-07 14:36:03+00:00,114.0,61.72,59.35,62.35,1.6900024,2.8152633,4.0,1.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00115000,2026-04-06 18:52:28+00:00,115.0,59.04,58.25,61.35,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00116000,2026-04-06 16:58:57+00:00,116.0,57.82,57.25,60.35,0.0,0.0,10.0,4.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00117000,2026-04-06 16:58:57+00:00,117.0,56.84,56.35,59.35,0.0,0.0,10.0,6.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00118000,2026-04-06 15:53:00+00:00,118.0,55.9,55.35,57.75,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00119000,2026-04-07 13:41:35+00:00,119.0,55.6,54.75,56.75,0.94999695,1.7383292,5.0,15.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00120000,2026-04-07 13:41:35+00:00,120.0,54.6,53.75,55.75,0.9399986,1.7517679,5.0,14.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00121000,2026-04-06 16:24:48+00:00,121.0,53.01,52.45,55.35,0.0,0.0,2.0,3.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00122000,2026-03-30 14:42:13+00:00,122.0,46.58,51.35,54.35,0.0,0.0,5.0,31.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00123000,2026-04-07 13:38:31+00:00,123.0,51.85,50.6,52.75,0.59000015,1.1509953,3.0,5.0,1.0000000000000003e-05,True,REGULAR,USD
DELL260410C00124000,2026-04-07 13:38:31+00:00,124.0,50.85,49.75,51.75,0.97999954,1.9651084,23.0,43.0,1.0000000000000003e-05,True,REGULAR,USD
