,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5260000000.0,5296000000.0,5781000000.0,7401000000.0,
Repurchase Of Capital Stock,-3088000000.0,-5979000000.0,0.0,0.0,
Repayment Of Debt,-500000000.0,-1674000000.0,-620000000.0,-965000000.0,
Issuance Of Debt,1556000000.0,0.0,0.0,0.0,
Issuance Of Capital Stock,85000000.0,162000000.0,68000000.0,31000000.0,
Capital Expenditure,-1156000000.0,-1392000000.0,-1383000000.0,-1118000000.0,
End Cash Position,4615000000.0,2078000000.0,5864000000.0,5995000000.0,
Beginning Cash Position,2078000000.0,5864000000.0,5995000000.0,2586000000.0,
Effect Of Exchange Rate Changes,278000000.0,-108000000.0,59000000.0,-306000000.0,
Changes In Cash,2259000000.0,-3678000000.0,-190000000.0,3715000000.0,
Financing Cash Flow,-2961000000.0,-8385000000.0,-273000000.0,-2570000000.0,
Cash Flow From Continuing Financing Activities,-2961000000.0,-8385000000.0,-273000000.0,-2570000000.0,
Net Other Financing Charges,-125000000.0,-131000000.0,2533000000.0,-95000000.0,
Cash Dividends Paid,-878000000.0,-768000000.0,-1248000000.0,-818000000.0,
Net Preferred Stock Issuance,,,,0.0,0.0
Preferred Stock Issuance,,,,0.0,0.0
Net Common Stock Issuance,-3003000000.0,-5817000000.0,68000000.0,31000000.0,
Common Stock Payments,-3088000000.0,-5979000000.0,0.0,0.0,
Common Stock Issuance,85000000.0,162000000.0,68000000.0,31000000.0,
Net Issuance Payments Of Debt,1045000000.0,-1669000000.0,-1626000000.0,-1688000000.0,
Net Short Term Debt Issuance,-11000000.0,5000000.0,-1006000000.0,-723000000.0,
Net Long Term Debt Issuance,1056000000.0,-1674000000.0,-620000000.0,-965000000.0,
Long Term Debt Payments,-500000000.0,-1674000000.0,-620000000.0,-965000000.0,
Long Term Debt Issuance,1556000000.0,0.0,0.0,0.0,
Investing Cash Flow,-1196000000.0,-1981000000.0,-7081000000.0,-2234000000.0,
Cash From Discontinued Investing Activities,0.0,0.0,-33000000.0,-89000000.0,
Cash Flow From Continuing Investing Activities,-1196000000.0,-1981000000.0,-7048000000.0,-2145000000.0,
Net Other Investing Changes,33000000.0,34000000.0,44000000.0,51000000.0,
Net Investment Purchase And Sale,-115000000.0,-78000000.0,-111000000.0,-505000000.0,
Sale Of Investment,12000000.0,253000000.0,61000000.0,18000000.0,
Purchase Of Investment,-127000000.0,-331000000.0,-172000000.0,-523000000.0,
Net Business Purchase And Sale,9000000.0,-558000000.0,-5610000000.0,-582000000.0,
Sale Of Business,9000000.0,0.0,0.0,0.0,
Purchase Of Business,0.0,-558000000.0,-5610000000.0,-582000000.0,
Net PPE Purchase And Sale,-1123000000.0,-1379000000.0,-1371000000.0,-1109000000.0,
Sale Of PPE,33000000.0,13000000.0,12000000.0,9000000.0,
Purchase Of PPE,-1156000000.0,-1392000000.0,-1383000000.0,-1118000000.0,
Operating Cash Flow,6416000000.0,6688000000.0,7164000000.0,8519000000.0,
Cash From Discontinued Operating Activities,0.0,0.0,674000000.0,906000000.0,
Cash Flow From Continuing Operating Activities,6416000000.0,6688000000.0,6490000000.0,7613000000.0,
Change In Working Capital,-719000000.0,-198000000.0,-470000000.0,-1413000000.0,
Change In Other Working Capital,-440000000.0,-483000000.0,-1204000000.0,-582000000.0,
Change In Payables And Accrued Expense,50000000.0,-467000000.0,-192000000.0,79000000.0,
Change In Accrued Expense,41000000.0,-486000000.0,-43000000.0,97000000.0,
Change In Payable,9000000.0,19000000.0,-149000000.0,-18000000.0,
Change In Account Payable,9000000.0,19000000.0,-149000000.0,-18000000.0,
Change In Prepaid Assets,-55000000.0,274000000.0,419000000.0,-73000000.0,
Change In Inventory,-58000000.0,147000000.0,185000000.0,-448000000.0,
Change In Receivables,-216000000.0,331000000.0,322000000.0,-389000000.0,
Changes In Account Receivables,-216000000.0,331000000.0,322000000.0,-389000000.0,
Other Non Cash Items,,25000000.0,8000000.0,,601000000.0
Stock Based Compensation,298000000.0,288000000.0,306000000.0,295000000.0,
Asset Impairment Charge,562000000.0,265000000.0,77000000.0,0.0,
Depreciation Amortization Depletion,2447000000.0,2352000000.0,2166000000.0,2132000000.0,
Depreciation And Amortization,2447000000.0,2352000000.0,2166000000.0,2132000000.0,
Amortization Cash Flow,1697000000.0,1631000000.0,1491000000.0,1434000000.0,
Amortization Of Intangibles,1697000000.0,1631000000.0,1491000000.0,1434000000.0,
Depreciation,750000000.0,721000000.0,675000000.0,698000000.0,
Operating Gains Losses,228000000.0,57000000.0,182000000.0,271000000.0,
Gain Loss On Investment Securities,228000000.0,57000000.0,182000000.0,271000000.0,
Gain Loss On Sale Of Business,,,182000000.0,271000000.0,-406000000.0
Net Income From Continuing Operations,3600000000.0,3899000000.0,4221000000.0,6328000000.0,
