contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DLR260410C00130000,2026-04-06 18:41:36+00:00,130.0,52.14,50.3,52.8,0.0,0.0,,,2.1113328466796872,True,REGULAR,USD
DLR260410C00135000,2026-04-07 14:37:17+00:00,135.0,46.5,45.3,47.8,-0.6500015,-1.3785822,2.0,,1.9160160449218753,True,REGULAR,USD
DLR260410C00145000,2026-04-06 18:53:46+00:00,145.0,37.24,35.3,37.8,0.0,0.0,,1.0,1.541017919921875,True,REGULAR,USD
DLR260410C00146000,2026-04-06 18:53:46+00:00,146.0,36.25,34.3,36.8,0.0,0.0,,1.0,1.50390873046875,True,REGULAR,USD
DLR260410C00165000,2026-03-09 14:24:56+00:00,165.0,13.8,15.6,18.0,0.0,0.0,,1.0,0.86914193359375,True,REGULAR,USD
DLR260410C00170000,2026-03-27 16:10:41+00:00,170.0,8.4,10.6,13.2,0.0,0.0,1.0,2.0,0.7209500561523439,True,REGULAR,USD
DLR260410C00175000,2026-04-01 14:11:55+00:00,175.0,8.2,6.1,8.5,0.0,0.0,65.0,66.0,0.5664105859375,True,REGULAR,USD
DLR260410C00177500,2026-03-27 16:55:38+00:00,177.5,3.7,4.9,5.4,0.0,0.0,1.0,2.0,0.35742830078125,True,REGULAR,USD
DLR260410C00180000,2026-04-06 15:59:25+00:00,180.0,4.1,3.1,3.6,0.0,0.0,1.0,85.0,0.34009448974609374,True,REGULAR,USD
DLR260410C00182500,2026-04-07 13:47:14+00:00,182.5,1.62,1.7,2.05,-0.67999995,-29.565214,6.0,26.0,0.3103096313476562,False,REGULAR,USD
DLR260410C00185000,2026-04-06 18:44:47+00:00,185.0,1.45,0.75,1.2,0.0,0.0,5.0,12.0,0.32129584960937496,False,REGULAR,USD
DLR260410C00187500,2026-04-06 19:59:19+00:00,187.5,0.72,0.3,0.7,0.0,0.0,3.0,127.0,0.33789724609375,False,REGULAR,USD
DLR260410C00190000,2026-04-06 16:36:56+00:00,190.0,0.35,0.15,0.8,0.0,0.0,5.0,15.0,0.44385321777343745,False,REGULAR,USD
DLR260410C00192500,2026-04-02 19:44:03+00:00,192.5,0.54,0.0,0.4,0.0,0.0,10.0,13.0,0.42627526855468756,False,REGULAR,USD
DLR260410C00195000,2026-04-07 13:47:14+00:00,195.0,0.29,0.0,0.3,0.19,190.00002,4.0,12.0,0.46094289062500005,False,REGULAR,USD
DLR260410C00200000,2026-04-01 16:41:37+00:00,200.0,0.07,0.0,0.25,0.0,0.0,1.0,3.0,0.561527822265625,False,REGULAR,USD
DLR260410C00205000,2026-03-20 13:30:03+00:00,205.0,0.2,0.0,0.25,0.0,0.0,1.0,1.0,0.59570716796875,False,REGULAR,USD
