contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DOV260417P00150000,2026-03-17 15:36:28+00:00,150.0,0.16,0.0,0.95,0.0,0.0,,1,1.0273486132812502,False,REGULAR,USD
DOV260417P00165000,2026-03-10 14:43:31+00:00,165.0,0.52,0.0,0.75,0.0,0.0,,1,0.727541787109375,False,REGULAR,USD
DOV260417P00170000,2026-04-07 15:35:24+00:00,170.0,0.23,0.05,0.35,-0.17,-42.5,6.0,8,0.57617611328125,False,REGULAR,USD
DOV260417P00180000,2026-04-06 18:34:36+00:00,180.0,0.87,0.05,0.75,0.0,0.0,2.0,14,0.5664105859375,False,REGULAR,USD
DOV260417P00185000,2026-04-02 18:39:14+00:00,185.0,1.0,0.6,0.95,0.0,0.0,5.0,48,0.508793974609375,False,REGULAR,USD
DOV260417P00190000,2026-04-06 19:31:09+00:00,190.0,1.06,1.0,1.35,0.0,0.0,1.0,5,0.46484910156250003,False,REGULAR,USD
DOV260417P00195000,2026-04-06 18:53:03+00:00,195.0,1.4,1.55,1.9,0.0,0.0,24.0,72,0.4157773266601562,False,REGULAR,USD
DOV260417P00200000,2026-04-07 14:01:50+00:00,200.0,2.2,2.55,3.2,-1.5,-40.54054,1.0,1225,0.40161731201171874,False,REGULAR,USD
DOV260417P00210000,2026-04-07 14:01:50+00:00,210.0,6.95,6.9,7.5,0.5499997,8.593745,1.0,249,0.35767243896484374,True,REGULAR,USD
DOV260417P00220000,2026-03-24 17:05:19+00:00,220.0,9.0,13.1,15.9,0.0,0.0,2.0,5,0.44116769775390624,True,REGULAR,USD
