,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,882132.0,-30178.0,-30447.210471,4446330.0,
Tax Rate For Calcs,0.219,0.191,0.204344,0.21,
Normalized EBITDA,1051109000.0,1005975000.0,929704000.0,830165000.0,
Total Unusual Items,4028000.0,-158000.0,-149000.0,21173000.0,
Total Unusual Items Excluding Goodwill,4028000.0,-158000.0,-149000.0,21173000.0,
Net Income From Continuing Operation Net Minority Interest,601704000.0,584170000.0,519118000.0,452263000.0,
Reconciled Depreciation,88827000.0,87732000.0,80640000.0,80251000.0,
Reconciled Cost Of Revenue,2966434000.0,2857914000.0,2751941000.0,2888552000.0,
EBITDA,1055137000.0,1005817000.0,929555000.0,851338000.0,
EBIT,966310000.0,918085000.0,848915000.0,771087000.0,
Net Interest Income,-181092000.0,-178848000.0,-184792000.0,-195092000.0,
Interest Expense,195972000.0,195870000.0,196475000.0,198254000.0,
Interest Income,14880000.0,17022000.0,11683000.0,3162000.0,
Normalized Income,598558132.0,584297822.0,519236552.789529,435536330.0,
Net Income From Continuing And Discontinued Operation,601704000.0,584170000.0,519118000.0,452263000.0,
Total Expenses,3990048000.0,3827259000.0,3659690000.0,3790406000.0,
Total Operating Income As Reported,953974000.0,878999000.0,819519000.0,767925000.0,
Diluted Average Shares,34237646.0,34991484.0,35401313.0,36093754.0,
Basic Average Shares,33627992.0,34281927.0,35081779.0,35419718.0,
Diluted EPS,17.57,16.69,14.66,12.53,
Basic EPS,17.892951,17.040174,14.8,12.776015,
Diluted NI Availto Com Stockholders,601704000.0,584170000.0,519118000.0,452263000.0,
Net Income Common Stockholders,601704000.0,584170000.0,519118000.0,452263000.0,
Net Income,601704000.0,584170000.0,519118000.0,452263000.0,
Net Income Including Noncontrolling Interests,601704000.0,584170000.0,519118000.0,452263000.0,
Net Income Continuous Operations,601704000.0,584170000.0,519118000.0,452263000.0,
Tax Provision,168634000.0,138045000.0,133322000.0,120570000.0,
Pretax Income,770338000.0,722215000.0,652440000.0,572833000.0,
Other Income Expense,1484000.0,21906000.0,17564000.0,21173000.0,
Other Non Operating Income Expenses,-2544000.0,22064000.0,17713000.0,,36758000.0
Special Income Charges,4028000.0,-158000.0,-149000.0,21173000.0,
Restructuring And Mergern Acquisition,-4028000.0,158000.0,149000.0,-21173000.0,
Net Non Operating Interest Income Expense,-181092000.0,-178848000.0,-184792000.0,-195092000.0,
Interest Expense Non Operating,195972000.0,195870000.0,196475000.0,198254000.0,
Interest Income Non Operating,14880000.0,17022000.0,11683000.0,3162000.0,
Operating Income,949946000.0,879157000.0,819668000.0,746752000.0,
Operating Expense,1023614000.0,969345000.0,907749000.0,901854000.0,
Other Operating Expenses,,,,-21173000.0,
Selling General And Administration,1023614000.0,969345000.0,907749000.0,901854000.0,
Selling And Marketing Expense,559494000.0,509853000.0,473195000.0,485330000.0,
General And Administrative Expense,464120000.0,459492000.0,434554000.0,416524000.0,
Other Gand A,464120000.0,459492000.0,434554000.0,416524000.0,
Gross Profit,1973560000.0,1848502000.0,1727417000.0,1648606000.0,
Cost Of Revenue,2966434000.0,2857914000.0,2751941000.0,2888552000.0,
Total Revenue,4939994000.0,4706416000.0,4479358000.0,4537158000.0,
Operating Revenue,4939994000.0,4706416000.0,4479358000.0,4537158000.0,
