,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-01-31,AMERICAN MUTUAL FUND,0.026800001,5585437,833124314,0.6061
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.026700001,5553970,828430694,0.00029999999
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,5237071,781162009,0.0225
3,2026-01-31,WASHINGTON MUTUAL INVESTORS FUND,0.0186,3868743,577062074,0.0
4,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0185,3842151,573095608,-0.0152
5,2026-02-28,SELECT SECTOR SPDR TRUST-State Street Utilities Select Sector SPDR ETF,0.0167,3482240,519411249,0.0176
6,2026-01-31,Capital Income Builder,0.0145000005,3017349,450068064,0.0739
7,2026-01-31,Income Fund of America,0.0139,2899859,432543244,-0.4316
8,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128,2672509,398631696,-0.0086
9,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,2643040,394236098,0.0017
