,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031400003,24455347,3239357666,0.0002
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,19610887,2597660019,0.0221
2,2026-02-28,SELECT SECTOR SPDR TRUST-State Street Utilities Select Sector SPDR ETF,0.0168,13039286,1727185104,0.0176
3,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,10007166,1325550191,-0.0094
4,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,9896694,1310917059,0.0016
5,2025-11-30,MFS SERIES TRUST I-MFS Value Fund,0.0119,9235053,1223276027,-0.025
6,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117,9139482,1210616683,-0.0212
7,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0092,7159644,948367147,0.025999999
8,2025-11-30,VANGUARD WELLINGTON FUND,0.0073,5710211,756375110,-0.0174
9,2025-11-30,VANGUARD WORLD FUND-Vanguard Utilities Index Fund,0.0067000003,5179118,686026479,0.0363
