contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
EBAY260410P00060000,2026-04-07 13:30:09+00:00,60.0,0.7,,2.13,0.65999997,1649.9991,1.0,1,4.123051721191406,False,REGULAR,USD
EBAY260410P00065000,2026-04-07 13:30:09+00:00,65.0,0.7,,0.4,0.59999996,599.9998,1.0,1,2.3418010205078117,False,REGULAR,USD
EBAY260410P00073000,2026-03-31 13:35:38+00:00,73.0,0.17,0.0,0.75,0.0,0.0,,44,1.74609501953125,False,REGULAR,USD
EBAY260410P00074000,2026-03-30 19:58:19+00:00,74.0,0.24,0.0,0.75,0.0,0.0,,46,1.677735986328125,False,REGULAR,USD
EBAY260410P00075000,2026-04-01 19:09:53+00:00,75.0,0.04,0.0,0.63,0.0,0.0,552.0,250,1.5527366113281247,False,REGULAR,USD
EBAY260410P00076000,2026-04-02 14:52:21+00:00,76.0,0.13,0.0,0.69,0.0,0.0,108.0,191,1.517580537109375,False,REGULAR,USD
EBAY260410P00077000,2026-04-06 13:57:52+00:00,77.0,0.1,0.0,0.75,0.0,0.0,70.0,115,1.478518232421875,False,REGULAR,USD
EBAY260410P00078000,2026-04-02 19:59:58+00:00,78.0,0.15,0.0,0.75,0.0,0.0,1548.0,61,1.4140654296875002,False,REGULAR,USD
EBAY260410P00079000,2026-04-02 19:54:04+00:00,79.0,0.19,0.0,0.75,0.0,0.0,1528.0,82,1.3476595117187498,False,REGULAR,USD
EBAY260410P00080000,2026-04-06 19:18:13+00:00,80.0,0.06,0.0,0.74,0.0,0.0,1.0,199,1.2793004785156248,False,REGULAR,USD
EBAY260410P00081000,2026-04-06 14:14:42+00:00,81.0,0.06,0.0,0.74,0.0,0.0,96.0,170,1.2148476757812499,False,REGULAR,USD
EBAY260410P00082000,2026-04-06 18:07:51+00:00,82.0,0.03,0.0,0.74,0.0,0.0,138.0,322,1.15234798828125,False,REGULAR,USD
EBAY260410P00083000,2026-04-02 14:30:43+00:00,83.0,0.3,0.0,0.75,0.0,0.0,65.0,44,1.091801416015625,False,REGULAR,USD
EBAY260410P00084000,2026-04-06 19:54:12+00:00,84.0,0.05,0.0,0.62,0.0,0.0,10.0,139,0.981445498046875,False,REGULAR,USD
EBAY260410P00085000,2026-04-07 14:40:26+00:00,85.0,0.05,0.0,0.15,0.030000001,150.0,4.0,78,0.6914093359375001,False,REGULAR,USD
EBAY260410P00086000,2026-04-07 14:40:39+00:00,86.0,0.04,0.04,0.14,0.02,100.0,15.0,29,0.6601596484375001,False,REGULAR,USD
EBAY260410P00087000,2026-04-07 14:40:39+00:00,87.0,0.12,0.05,0.15,0.06,100.0,37.0,64,0.6210975390625001,False,REGULAR,USD
EBAY260410P00088000,2026-04-07 14:38:34+00:00,88.0,0.14,0.06,0.17,0.060000002,75.0,25.0,51,0.585941640625,False,REGULAR,USD
EBAY260410P00089000,2026-04-06 19:41:12+00:00,89.0,0.16,0.0,0.35,0.0,0.0,16.0,42,0.5839885351562499,False,REGULAR,USD
EBAY260410P00090000,2026-04-07 14:01:16+00:00,90.0,0.05,0.0,0.18,-0.10000001,-66.66667,3.0,149,0.5312546875,False,REGULAR,USD
EBAY260410P00091000,2026-04-06 15:18:59+00:00,91.0,0.19,0.0,0.43,0.0,0.0,3.0,22,0.6054726953125001,False,REGULAR,USD
EBAY260410P00092000,2026-04-07 15:08:28+00:00,92.0,0.25,0.14,0.37,0.030000001,13.636364,4.0,19,0.5117236328125,False,REGULAR,USD
EBAY260410P00093000,2026-04-07 15:28:48+00:00,93.0,0.33,0.3,0.51,-0.00999999,-2.9411736,101.0,1435,0.499028447265625,False,REGULAR,USD
EBAY260410P00094000,2026-04-06 19:50:51+00:00,94.0,0.53,0.48,0.7,0.0,0.0,11.0,100,0.48828636718750007,False,REGULAR,USD
EBAY260410P00095000,2026-04-07 15:03:33+00:00,95.0,0.7,0.7,0.91,0.089999974,14.754093,7.0,763,0.4672904833984375,False,REGULAR,USD
EBAY260410P00096000,2026-04-07 15:34:36+00:00,96.0,1.12,1.0,1.25,0.22000003,24.444448,13.0,92,0.4643608251953125,False,REGULAR,USD
EBAY260410P00097000,2026-04-07 15:44:50+00:00,97.0,1.64,1.35,1.64,0.28999996,21.481478,63.0,143,0.454107021484375,False,REGULAR,USD
EBAY260410P00098000,2026-04-07 15:50:14+00:00,98.0,2.0,1.92,2.18,0.32000005,19.047623,683.0,860,0.459966337890625,True,REGULAR,USD
EBAY260410P00100000,2026-04-06 18:39:43+00:00,100.0,2.56,3.5,4.1,0.0,0.0,10.0,30,0.5537154003906251,True,REGULAR,USD
EBAY260410P00101000,2026-04-06 18:39:43+00:00,101.0,3.29,4.3,5.25,0.0,0.0,,5,0.6284216845703126,True,REGULAR,USD
EBAY260410P00120000,2026-03-06 14:54:21+00:00,120.0,28.5,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
