contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ECL260417P00180000,2025-10-24 17:13:18+00:00,180.0,0.82,0.0,2.9,0.0,0.0,1.0,1,1.394045998535156,False,REGULAR,USD
ECL260417P00185000,2025-12-01 16:52:30+00:00,185.0,0.6,0.0,2.4,0.0,0.0,,10,1.2548865380859375,False,REGULAR,USD
ECL260417P00190000,2025-12-01 16:53:00+00:00,190.0,0.67,0.0,2.5,0.0,0.0,4.0,3,1.1845743896484375,False,REGULAR,USD
ECL260417P00195000,2026-03-23 14:29:47+00:00,195.0,0.55,0.0,0.95,0.0,0.0,1.0,2,0.9101571484375,False,REGULAR,USD
ECL260417P00200000,2026-03-30 19:31:21+00:00,200.0,0.42,0.0,0.95,0.0,0.0,1.0,15,0.84179845703125,False,REGULAR,USD
ECL260417P00210000,2026-03-23 15:54:54+00:00,210.0,0.53,0.0,0.75,0.0,0.0,1.0,23,0.6787141503906251,False,REGULAR,USD
ECL260417P00220000,2026-03-23 15:54:54+00:00,220.0,0.63,0.0,0.75,0.0,0.0,1.0,31,0.5537154003906251,False,REGULAR,USD
ECL260417P00230000,2026-04-02 19:57:51+00:00,230.0,0.44,0.1,0.75,0.0,0.0,2.0,59,0.5009815527343751,False,REGULAR,USD
ECL260417P00240000,2026-04-06 16:12:02+00:00,240.0,0.34,0.4,0.85,0.0,0.0,1.0,48,0.3764710791015625,False,REGULAR,USD
ECL260417P00250000,2026-04-06 19:50:06+00:00,250.0,0.75,1.55,2.0,0.0,0.0,2.0,417,0.32300481689453114,False,REGULAR,USD
ECL260417P00260000,2026-04-06 18:10:49+00:00,260.0,2.66,4.6,5.2,0.0,0.0,3.0,82,0.29395237304687494,False,REGULAR,USD
ECL260417P00270000,2026-04-02 14:45:05+00:00,270.0,7.25,9.3,11.8,0.0,0.0,1.0,315,0.30359583129882806,True,REGULAR,USD
ECL260417P00280000,2026-04-07 14:53:15+00:00,280.0,17.05,18.6,21.6,2.1299992,14.276134,1.0,67,0.4348201049804688,True,REGULAR,USD
ECL260417P00290000,2026-03-13 18:08:46+00:00,290.0,17.5,28.5,32.0,0.0,0.0,5.0,40,0.5990030334472658,True,REGULAR,USD
ECL260417P00300000,2026-03-19 19:21:22+00:00,300.0,40.01,38.1,41.0,0.0,0.0,146.0,15,0.6054726953125001,True,REGULAR,USD
ECL260417P00310000,2026-03-18 13:34:37+00:00,310.0,39.9,48.5,51.4,0.0,0.0,1.0,0,0.7578149218750001,True,REGULAR,USD
ECL260417P00330000,2026-03-13 15:50:20+00:00,330.0,54.0,68.2,71.0,0.0,0.0,1.0,0,0.8862316064453124,True,REGULAR,USD
ECL260417P00390000,2026-01-30 14:36:23+00:00,390.0,105.5,114.6,118.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
ECL260417P00400000,2026-01-30 14:36:23+00:00,400.0,115.5,124.6,128.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
ECL260417P00410000,2026-01-30 14:36:23+00:00,410.0,125.5,134.5,138.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
